time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.09,-0.0066,1.8141,-5.8933,5.8700,1.5249,5.3101,12.6543,0.0000,0.00,True,-1.2884,-1.7103,-1.6985,1.2995,1.7943,3.3805,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.09,-0.0066,1.8141,-5.8933,-5.3467,1.5278,5.3095,12.4138,0.0000,0.00,True,-1.2884,-1.7103,-1.6985,1.2995,1.7943,3.3805,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.21,-0.0302,1.8023,-5.8907,5.8700,1.5250,5.3100,12.6627,0.2663,0.00,True,-1.4104,-1.7105,-1.7254,1.4394,1.8009,3.4047,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.21,-0.0302,1.8023,-5.8907,-5.3498,1.5250,5.3098,12.4027,0.2261,15.50,True,-1.4104,-1.7105,-1.7254,1.4394,1.8009,3.4047,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8498,3.0250,6.8099
0.32,-0.0635,1.8218,-5.8881,5.8700,1.5250,5.3100,12.6764,0.3870,0.00,True,-1.5184,-1.7106,-1.7704,1.5140,1.8118,3.4288,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.32,-0.0635,1.8218,-5.8881,-5.3498,1.5250,5.3099,12.3866,0.3869,0.00,True,-1.5184,-1.7106,-1.7704,1.5140,1.8118,3.4288,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.43,-0.0996,1.8482,-5.8876,5.8700,1.5250,5.3100,12.6936,0.4473,0.00,True,-1.5714,-1.7101,-1.8090,1.4572,1.8222,3.4416,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.43,-0.0996,1.8482,-5.8876,-5.3498,1.5250,5.3099,12.3714,0.4473,0.00,True,-1.5714,-1.7101,-1.8090,1.4572,1.8222,3.4416,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.53,-0.1250,1.8700,-5.8875,5.8700,1.5250,5.3100,12.7060,0.3340,0.00,True,-1.5742,-1.7095,-1.8245,1.3562,1.8319,3.4411,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.53,-0.1250,1.8700,-5.8875,-5.3498,1.5250,5.3099,12.3612,0.3340,0.00,True,-1.5742,-1.7095,-1.8245,1.3562,1.8319,3.4411,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.63,-0.1364,1.8789,-5.8869,5.8700,1.5250,5.3100,12.7112,0.1456,0.00,True,-1.5411,-1.7090,-1.7943,1.3184,1.8364,3.4368,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.63,-0.1364,1.8789,-5.8869,-5.3498,1.5250,5.3099,12.3561,0.1456,0.00,True,-1.5411,-1.7090,-1.7943,1.3184,1.8364,3.4368,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.73,-0.1356,1.8715,-5.8900,5.8700,1.5250,5.3100,12.7133,0.0807,0.00,True,-1.4880,-1.7091,-1.7692,1.3610,1.8321,3.4306,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.73,-0.1356,1.8715,-5.8900,-5.3498,1.5250,5.3099,12.3590,0.0807,0.00,True,-1.4880,-1.7091,-1.7692,1.3610,1.8321,3.4306,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.84,-0.1317,1.8504,-5.8997,5.8700,1.5250,5.3100,12.7195,0.2360,0.00,True,-1.3922,-1.7101,-1.7828,1.4139,1.8219,3.4164,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.84,-0.1317,1.8504,-5.8997,-5.3498,1.5250,5.3099,12.3689,0.2360,0.00,True,-1.3922,-1.7101,-1.7828,1.4139,1.8219,3.4164,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.94,-0.1270,1.8236,-5.9083,5.8700,1.5250,5.3100,12.7242,0.2847,0.00,True,-1.2593,-1.7109,-1.7276,1.4157,1.8132,3.3948,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.94,-0.1270,1.8236,-5.9083,-5.3498,1.5250,5.3099,12.3780,0.2847,0.00,True,-1.2593,-1.7109,-1.7276,1.4157,1.8132,3.3948,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.05,-0.1233,1.7958,-5.9076,5.8700,1.5250,5.3100,12.7212,0.2804,0.00,True,-1.1934,-1.7122,-1.7020,1.3972,1.8013,3.3676,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.05,-0.1233,1.7958,-5.9076,-5.3498,1.5250,5.3099,12.3783,0.2804,0.00,True,-1.1934,-1.7122,-1.7020,1.3972,1.8013,3.3676,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.15,-0.1225,1.7757,-5.8920,5.8700,1.5250,5.3100,12.7066,0.2549,0.00,True,-1.2674,-1.7123,-1.7180,1.4269,1.7947,3.3389,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.15,-0.1225,1.7757,-5.8920,-5.3498,1.5250,5.3099,12.3641,0.2549,0.00,True,-1.2674,-1.7123,-1.7180,1.4269,1.7947,3.3389,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
