collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
9.01,Elephant,cube (1),-3.775,2.090,3.735
9.02,Elephant,cube (1),-3.775,2.090,3.735
9.02,Elephant,cube (1),-3.775,2.090,3.735
9.02,Elephant,cube (1),-3.775,2.090,3.735
9.03,Elephant,cube (1),-3.775,2.090,3.735
9.03,Elephant,cube (1),-3.775,2.090,3.735
9.03,Elephant,cube (1),-3.775,2.090,3.735
9.04,Elephant,cube (1),-3.775,2.090,3.735
9.04,Elephant,cube (1),-3.775,2.090,3.735
9.07,Elephant,cube (1),-3.775,2.090,3.735
9.08,Elephant,cube (1),-3.775,2.090,3.735
9.08,Elephant,cube (1),-3.775,2.090,3.735
9.09,Elephant,cube (1),-3.775,2.090,3.735
9.09,Elephant,cube (1),-3.775,2.090,3.735
9.10,Elephant,cube (1),-3.775,2.090,3.735
9.10,Elephant,cube (1),-3.775,2.090,3.735
9.10,Elephant,cube (1),-3.775,2.090,3.735
9.11,Elephant,cube (1),-3.775,2.090,3.735
9.11,Elephant,cube (1),-3.775,2.090,3.735
9.11,Elephant,cube (1),-3.775,2.090,3.735
9.12,Elephant,cube (1),-3.775,2.090,3.735
9.12,Elephant,cube (1),-3.775,2.090,3.735
9.13,Elephant,cube (1),-3.775,2.090,3.735
9.14,Elephant,cube (1),-3.775,2.090,3.735
9.14,Elephant,cube (1),-3.775,2.090,3.735
9.18,Elephant,cube (1),-3.775,2.090,3.735
9.18,Elephant,cube (1),-3.775,2.090,3.735
9.19,Elephant,cube (1),-3.775,2.090,3.735
9.19,Elephant,cube (1),-3.775,2.090,3.735
9.20,Elephant,cube (1),-3.775,2.090,3.735
9.20,Elephant,cube (1),-3.775,2.090,3.735
9.20,Elephant,cube (1),-3.775,2.090,3.735
9.21,Elephant,cube (1),-3.775,2.090,3.735
9.21,Elephant,cube (1),-3.775,2.090,3.735
9.21,Elephant,cube (1),-3.775,2.090,3.735
9.22,Elephant,cube (1),-3.775,2.090,3.735
9.22,Elephant,cube (1),-3.775,2.090,3.735
9.22,Elephant,cube (1),-3.775,2.090,3.735
9.23,Elephant,cube (1),-3.775,2.090,3.735
9.23,Elephant,cube (1),-3.775,2.090,3.735
9.24,Elephant,cube (1),-3.775,2.090,3.735
9.24,Elephant,cube (1),-3.775,2.090,3.735
9.27,Elephant,cube (1),-3.775,2.090,3.735
9.27,Elephant,cube (1),-3.775,2.090,3.735
9.28,Elephant,cube (1),-3.775,2.090,3.735
9.28,Elephant,cube (1),-3.775,2.090,3.735
9.28,Elephant,cube (1),-3.775,2.090,3.735
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.33,Elephant,cube (1),-3.775,2.090,3.735
9.33,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.37,Elephant,cube (1),-3.775,2.090,3.735
9.37,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.39,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.42,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.47,Elephant,cube (1),-3.775,2.090,3.735
9.47,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.52,Elephant,cube (1),-3.775,2.090,3.735
9.52,Elephant,cube (1),-3.775,2.090,3.735
9.52,Elephant,cube (1),-3.775,2.090,3.735
9.53,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.58,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
