time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.08,-0.0017,2.8094,-4.8286,-0.0003,2.7445,-5.4939,-0.0024,2.5024,-4.5268,0.3032,3.2563,-5.2257,-0.0007,2.3827,-5.3531,-0.0002,2.4681,-5.5805,0.3807,2.0734,-5.8456,0.0000,2.4189,-7.8533,0.0000,2.4110,-7.1828,0.0000,2.4189,-7.8533,0.0000,2.4716,-6.4517,-0.0031,0.7070,-4.4627,-0.0033,0.8928,-4.3184,-0.0033,1.1401,-4.2979,-0.0032,1.4380,-4.2847,-0.0027,2.0896,-4.4045,-0.0031,1.7219,-4.3038,0.0000,2.0463,-8.6781,-0.3805,2.2430,-8.1352,0.3805,2.2430,-8.1352,0.3805,1.3678,-7.9696,-0.3804,1.3678,-7.9696,0.0000,2.5936,-5.8348,-0.3046,3.2565,-5.2269,0.0000,2.3098,-8.5882,0.0000,1.4944,-8.6989,0.0000,1.2325,-8.6995,0.0000,1.7437,-8.6970,0.3975,2.8181,-4.8580,0.3975,2.8181,-4.8580,0.6504,3.3135,-5.6511,0.3805,2.5377,-6.0562,0.9103,3.2171,-5.9130,0.5139,2.8014,-5.4216,-0.3805,2.0734,-5.8458,0.3805,1.4905,-6.1425,-0.3806,1.4906,-6.1429,0.3804,0.3726,-6.0989,0.3975,2.8181,-4.8580,0.3805,0.3241,-8.0605,-0.4007,2.8184,-4.8596,-0.4007,2.8184,-4.8596,-0.6500,3.3139,-5.6537,-0.3805,2.5377,-6.0562,-0.9090,3.2177,-5.9166,-0.5148,2.8017,-5.4237,-0.3805,0.3727,-6.0990,-0.4007,2.8184,-4.8596,-0.3802,0.3241,-8.0606
0.18,-0.0469,2.8087,-4.8350,-0.0093,2.7243,-5.4970,-0.0668,2.5107,-4.5249,0.2830,3.2417,-5.2273,-0.0204,2.3668,-5.3460,-0.0066,2.4455,-5.5754,0.3807,2.0494,-5.8404,0.0000,2.3931,-7.8533,0.0000,2.3830,-7.1829,0.0000,2.3931,-7.8533,0.0000,2.4437,-6.4517,-0.0759,0.7558,-4.5715,-0.0849,0.9132,-4.3969,-0.0867,1.1540,-4.3371,-0.0874,1.4486,-4.2908,-0.0772,2.1016,-4.3910,-0.0853,1.7331,-4.2937,0.0000,2.0308,-8.7039,-0.3805,2.2172,-8.1352,0.3805,2.2172,-8.1352,0.3805,1.3445,-7.9569,-0.3811,1.3447,-7.9559,0.0000,2.5678,-5.8353,-0.3237,3.2458,-5.2623,0.0000,2.2840,-8.5882,0.0000,1.4806,-8.7196,0.0000,1.2191,-8.7041,0.0000,1.7293,-8.7360,0.3533,2.8140,-4.8424,0.3533,2.8140,-4.8424,0.6965,3.2857,-5.5905,0.3805,2.5112,-6.0565,1.0153,3.1828,-5.7727,0.5006,2.7799,-5.3979,-0.3804,2.0491,-5.8410,0.3805,1.4687,-6.1416,-0.3804,1.4685,-6.1424,0.3816,0.3508,-6.0976,0.3533,2.8140,-4.8424,0.3805,0.3021,-8.0611,-0.4435,2.8193,-4.8883,-0.4435,2.8193,-4.8883,-0.6920,3.2951,-5.6706,-0.3805,2.5112,-6.0565,-0.9923,3.1968,-5.8840,-0.5263,2.7869,-5.4571,-0.3805,0.3506,-6.0982,-0.4435,2.8193,-4.8883,-0.3817,0.3022,-8.0591
0.28,-0.0872,2.7801,-4.8354,-0.0178,2.6985,-5.4953,-0.1202,2.4808,-4.5277,0.2587,3.2163,-5.2101,-0.0342,2.3403,-5.3462,-0.0100,2.4200,-5.5744,0.3770,2.0290,-5.8359,0.0000,2.3815,-7.8533,0.0000,2.3683,-7.1829,0.0000,2.3815,-7.8533,0.0000,2.4245,-6.4514,-0.1029,0.7985,-4.6964,-0.1247,0.9097,-4.4903,-0.1363,1.1324,-4.3814,-0.1448,1.4198,-4.3021,-0.1356,2.0734,-4.3893,-0.1456,1.7042,-4.2949,0.0004,2.0294,-8.7248,-0.3808,2.2063,-8.1352,0.3801,2.2045,-8.1349,0.3764,1.3292,-7.9699,-0.3770,1.3450,-7.9086,0.0000,2.5439,-5.8341,-0.3456,3.2175,-5.2738,0.0000,2.2719,-8.5881,0.0012,1.4821,-8.7317,0.0014,1.2221,-8.7003,0.0008,1.7291,-8.7662,0.3129,2.7874,-4.8238,0.3129,2.7874,-4.8238,0.7179,3.2646,-5.5128,0.3805,2.4890,-6.0557,1.0708,3.1665,-5.6189,0.4865,2.7563,-5.3719,-0.3768,2.0287,-5.8365,0.3708,1.4628,-6.1635,-0.3704,1.4687,-6.1745,0.3721,0.3459,-6.0980,0.3129,2.7874,-4.8238,0.3716,0.2933,-8.1258,-0.4808,2.7890,-4.9075,-0.4808,2.7890,-4.9075,-0.7314,3.2674,-5.6656,-0.3805,2.4890,-6.0557,-1.0572,3.1711,-5.8387,-0.5365,2.7583,-5.4797,-0.3709,0.3513,-6.1184,-0.4808,2.7890,-4.9075,-0.3726,0.3010,-7.9965
0.38,-0.1062,2.7017,-4.8108,-0.0222,2.6456,-5.4716,-0.1411,2.3908,-4.5151,0.2407,3.1564,-5.1618,-0.0363,2.2820,-5.3363,-0.0087,2.3704,-5.5608,0.3703,1.9910,-5.8168,0.0000,2.3681,-7.8366,0.0000,2.3486,-7.1664,0.0000,2.3681,-7.8366,0.0001,2.3941,-6.4342,-0.0707,0.7864,-4.7604,-0.1029,0.8498,-4.5362,-0.1290,1.0477,-4.3887,-0.1502,1.3285,-4.2905,-0.1548,1.9822,-4.3797,-0.1585,1.6129,-4.2857,0.0039,2.0125,-8.7135,-0.3825,2.1949,-8.1174,0.3783,2.1834,-8.1159,0.3679,1.3012,-7.9940,-0.3704,1.3452,-7.8506,0.0001,2.5010,-5.8145,-0.3622,3.1514,-5.2381,-0.0003,2.2512,-8.5704,0.0131,1.4667,-8.7161,0.0141,1.2081,-8.6747,0.0078,1.7125,-8.7574,0.2934,2.7142,-4.7906,0.2934,2.7142,-4.7906,0.7117,3.2222,-5.4421,0.3806,2.4506,-6.0372,1.0740,3.1336,-5.5219,0.4785,2.7059,-5.3357,-0.3700,1.9940,-5.8106,0.3531,1.4577,-6.1954,-0.3536,1.4813,-6.2166,0.3546,0.3413,-6.1233,0.2934,2.7142,-4.7906,0.3543,0.2826,-8.2387,-0.4984,2.7077,-4.8907,-0.4984,2.7077,-4.8907,-0.7497,3.2101,-5.6270,-0.3803,2.4506,-6.0372,-1.0780,3.1157,-5.7963,-0.5420,2.6975,-5.4647,-0.3529,0.3795,-6.0224,-0.4984,2.7077,-4.8907,-0.3560,0.2984,-7.8889
0.48,-0.0977,2.6166,-4.7500,-0.0206,2.5894,-5.4135,-0.1261,2.2930,-4.4674,0.2407,3.0893,-5.0852,-0.0296,2.2202,-5.2935,-0.0054,2.3183,-5.5144,0.3639,1.9537,-5.7614,0.0000,2.3632,-7.7860,0.0001,2.3335,-7.1162,0.0000,2.3632,-7.7860,0.0003,2.3647,-6.3832,0.0000,0.7318,-4.7281,-0.0372,0.7687,-4.4988,-0.0761,0.9507,-4.3346,-0.1110,1.2298,-4.2356,-0.1357,1.8828,-4.3368,-0.1291,1.5137,-4.2420,0.0090,1.9862,-8.6535,-0.3854,2.1909,-8.0634,0.3750,2.1643,-8.0599,0.3589,1.2787,-7.9663,-0.3640,1.3392,-7.8034,0.0004,2.4565,-5.7612,-0.3630,3.0812,-5.1550,-0.0013,2.2285,-8.5167,0.0363,1.4395,-8.6673,0.0425,1.1804,-8.6299,0.0189,1.6864,-8.6973,0.3019,2.6324,-4.7336,0.3019,2.6324,-4.7336,0.6949,3.1728,-5.3877,0.3808,2.4115,-5.9851,1.0512,3.0926,-5.4974,0.4810,2.6491,-5.2806,-0.3627,1.9580,-5.7527,0.3361,1.4593,-6.1889,-0.3392,1.4584,-6.1744,0.3376,0.3410,-6.1596,0.3019,2.6324,-4.7336,0.3377,0.2907,-8.3141,-0.4908,2.6218,-4.8253,-0.4908,2.6218,-4.8253,-0.7382,3.1537,-5.5534,-0.3801,2.4115,-5.9849,-1.0563,3.0645,-5.7440,-0.5408,2.6355,-5.3987,-0.3349,0.4276,-5.7396,-0.4908,2.6218,-4.8253,-0.3389,0.2919,-7.7952
0.59,-0.0621,2.5236,-4.6626,-0.0130,2.5286,-5.3293,-0.0774,2.1868,-4.3949,0.2601,3.0137,-4.9886,-0.0156,2.1541,-5.2269,-0.0010,2.2628,-5.4436,0.3577,1.9057,-5.7008,0.0000,2.3667,-7.7094,0.0003,2.3235,-7.0403,0.0000,2.3667,-7.7094,0.0006,2.3363,-6.3068,0.1096,0.6435,-4.6435,0.0713,0.6692,-4.4128,0.0209,0.8435,-4.2435,-0.0299,1.1236,-4.1547,-0.0811,1.7744,-4.2709,-0.0613,1.4056,-4.1770,0.0096,1.9527,-8.5534,-0.3911,2.1984,-7.9813,0.3679,2.1434,-7.9740,0.3476,1.2688,-7.8068,-0.3590,1.3460,-7.7248,0.0009,2.4095,-5.6823,-0.3459,3.0056,-5.0333,-0.0048,2.2039,-8.4343,0.0568,1.4057,-8.5930,0.0845,1.1453,-8.5881,0.0231,1.6527,-8.5952,0.3378,2.5408,-4.6623,0.3378,2.5408,-4.6623,0.6690,3.1174,-5.3448,0.3812,2.3712,-5.9075,0.9954,3.0488,-5.5296,0.4936,2.5847,-5.2148,-0.3548,1.9463,-5.6266,0.3203,1.4592,-6.1775,-0.3218,1.4070,-5.9955,0.3212,0.3422,-6.2397,0.3378,2.5408,-4.6623,0.3212,0.3432,-8.2968,-0.4581,2.5303,-4.7210,-0.4581,2.5303,-4.7210,-0.7007,3.0992,-5.4458,-0.3797,2.3712,-5.9072,-0.9944,3.0224,-5.6766,-0.5322,2.5710,-5.2905,-0.3185,0.4316,-5.4477,-0.4581,2.5303,-4.7210,-0.3213,0.2991,-7.7152
0.69,-0.0134,2.4192,-4.5549,-0.0030,2.4603,-5.2220,-0.0139,2.0683,-4.3054,0.2905,2.9264,-4.8720,-0.0005,2.0808,-5.1401,0.0017,2.2011,-5.3511,0.3505,1.8473,-5.6375,0.0000,2.3744,-7.6086,0.0001,2.3158,-6.9407,0.0000,2.3744,-7.6086,0.0003,2.3070,-6.2071,0.2287,0.5495,-4.5614,0.1940,0.5623,-4.3291,0.1353,0.7265,-4.1525,0.0682,1.0050,-4.0697,-0.0115,1.6532,-4.1910,0.0216,1.2837,-4.1033,0.0031,1.9169,-8.4243,-0.3984,2.2125,-7.8736,0.3568,2.1203,-7.8603,0.3339,1.2940,-7.5288,-0.3548,1.3480,-7.6636,0.0004,2.3573,-5.5803,-0.3171,2.9203,-4.8819,-0.0116,2.1764,-8.3247,0.0657,1.3738,-8.4912,0.1310,1.1240,-8.5352,0.0165,1.6167,-8.4648,0.3859,2.4367,-4.5769,0.3859,2.4367,-4.5769,0.6462,3.0536,-5.2746,0.3809,2.3273,-5.8067,0.9192,3.0016,-5.5357,0.5095,2.5106,-5.1343,-0.3484,1.9622,-5.4522,0.3048,1.4484,-6.1539,-0.3044,1.3573,-5.6973,0.3047,0.3476,-6.3537,0.3859,2.4367,-4.5769,0.3057,0.4225,-8.1095,-0.4121,2.4286,-4.5898,-0.4121,2.4286,-4.5898,-0.6621,3.0403,-5.2959,-0.3801,2.3273,-5.8066,-0.9254,2.9829,-5.5657,-0.5190,2.5001,-5.1510,-0.3039,0.3707,-5.1698,-0.4121,2.4286,-4.5898,-0.3033,0.3017,-7.6540
0.79,0.0003,2.3917,-4.4355,0.0003,2.4418,-5.1022,-0.0014,2.0375,-4.1909,0.3067,2.8986,-4.7509,-0.0017,2.0613,-5.0255,-0.0012,2.1844,-5.2348,0.3482,1.8303,-5.5348,0.0000,2.3775,-7.4899,0.0000,2.3144,-6.8224,0.0000,2.3775,-7.4899,0.0000,2.2992,-6.0889,0.2322,0.5255,-4.4537,0.1993,0.5337,-4.2209,0.1413,0.6946,-4.0411,0.0739,0.9730,-3.9582,-0.0036,1.6217,-4.0787,0.0272,1.2515,-3.9935,-0.0008,1.9081,-8.2996,-0.4009,2.2182,-7.7528,0.3527,2.1137,-7.7374,0.3291,1.3485,-7.2821,-0.3548,1.3466,-7.5750,0.0000,2.3431,-5.4617,-0.3010,2.9018,-4.7506,-0.0144,2.1688,-8.2029,0.0641,1.3668,-8.3754,0.1422,1.1237,-8.4337,0.0113,1.6082,-8.3426,0.3995,2.4034,-4.4640,0.3995,2.4034,-4.4640,0.6521,3.0265,-5.1622,0.3805,2.3154,-5.6883,0.9094,2.9754,-5.4390,0.5149,2.4830,-5.0224,-0.3474,1.9918,-5.2957,0.3005,1.4428,-6.0597,-0.3002,1.3643,-5.4743,0.3002,0.3520,-6.3083,0.3995,2.4034,-4.4640,0.2997,0.4484,-7.8174,-0.3987,2.4077,-4.4636,-0.3987,2.4077,-4.4636,-0.6454,3.0334,-5.1615,-0.3805,2.3154,-5.6883,-0.9035,2.9851,-5.4380,-0.5138,2.4885,-5.0219,-0.3002,0.3496,-5.0031,-0.3987,2.4077,-4.4636,-0.3003,0.3025,-7.6409
0.89,0.0018,2.3913,-4.3149,0.0014,2.4485,-4.9810,-0.0070,2.0346,-4.0740,0.3181,2.8949,-4.6256,-0.0085,2.0673,-4.9083,-0.0058,2.1925,-5.1164,0.3482,1.8391,-5.4065,0.0000,2.3697,-7.3695,0.0000,2.3135,-6.7014,0.0000,2.3697,-7.3695,-0.0001,2.3037,-5.9678,0.1721,0.5101,-4.3339,0.1428,0.5214,-4.1008,0.0939,0.6861,-3.9217,0.0387,0.9678,-3.8408,-0.0177,1.6178,-3.9663,0.0024,1.2475,-3.8783,-0.0009,1.9136,-8.1821,-0.3991,2.2102,-7.6350,0.3558,2.1154,-7.6224,0.3300,1.4038,-7.0874,-0.3547,1.3347,-7.4778,-0.0001,2.3507,-5.3408,-0.2894,2.9110,-4.6239,-0.0125,2.1747,-8.0864,0.0562,1.3693,-8.2447,0.1250,1.1213,-8.2932,0.0093,1.6129,-8.2196,0.4010,2.3949,-4.3442,0.4010,2.3949,-4.3442,0.6653,3.0199,-5.0363,0.3804,2.3218,-5.5672,0.9209,2.9663,-5.3142,0.5169,2.4780,-4.9020,-0.3478,2.0028,-5.1711,0.3003,1.4592,-5.9369,-0.3004,1.3838,-5.3774,0.2999,0.3626,-6.1586,0.4010,2.3949,-4.3442,0.2984,0.4514,-7.5229,-0.3969,2.4160,-4.3419,-0.3969,2.4160,-4.3419,-0.6318,3.0541,-5.0326,-0.3806,2.3219,-5.5673,-0.8914,3.0142,-5.3090,-0.5114,2.5052,-4.8990,-0.3006,0.3515,-4.9462,-0.3969,2.4160,-4.3419,-0.3020,0.3033,-7.6538
0.99,0.0029,2.3883,-4.1951,0.0023,2.4589,-4.8599,-0.0131,2.0271,-3.9614,0.3295,2.8911,-4.4964,-0.0157,2.0766,-4.7948,-0.0107,2.2060,-5.0003,0.3480,1.8545,-5.2727,0.0000,2.3553,-7.2496,-0.0002,2.3118,-6.5806,0.0000,2.3553,-7.2496,-0.0003,2.3117,-5.8469,0.0858,0.4871,-4.2172,0.0640,0.5026,-3.9835,0.0305,0.6724,-3.8056,-0.0051,0.9582,-3.7282,-0.0327,1.6086,-3.8620,-0.0265,1.2389,-3.7695,-0.0004,1.9238,-8.0669,-0.3953,2.1947,-7.5200,0.3619,2.1199,-7.5120,0.3331,1.4487,-6.9271,-0.3526,1.3128,-7.4026,-0.0005,2.3635,-5.2203,-0.2775,2.9203,-4.4928,-0.0091,2.1857,-7.9730,0.0434,1.3756,-8.1054,0.0953,1.1206,-8.1353,0.0071,1.6220,-8.0943,0.4020,2.3839,-4.2253,0.4020,2.3839,-4.2253,0.6784,3.0167,-4.9054,0.3800,2.3328,-5.4464,0.9322,2.9633,-5.1850,0.5185,2.4756,-4.7816,-0.3486,1.9912,-5.0697,0.2999,1.4883,-5.8126,-0.3009,1.4004,-5.3466,0.2994,0.3826,-5.9827,0.4020,2.3839,-4.2253,0.2985,0.4461,-7.2287,-0.3952,2.4222,-4.2206,-0.3952,2.4222,-4.2206,-0.6176,3.0791,-4.8977,-0.3809,2.3330,-5.4466,-0.8786,3.0504,-5.1742,-0.5089,2.5251,-4.7755,-0.3012,0.3524,-4.9550,-0.3952,2.4222,-4.2206,-0.3014,0.3044,-7.6819
