time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.91,0.0160,1.5742,-5.5141,-5.3498,1.5250,5.3099,12.0811,1.2524,0.00,True,-1.2506,-1.7102,-1.8684,1.2540,1.5570,3.2509,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.01,0.0087,1.5763,-5.3959,5.8700,1.5250,5.3100,12.2055,1.1848,0.00,True,-1.2356,-1.7201,-1.8316,1.2466,1.5657,3.2394,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.01,0.0087,1.5763,-5.3959,-5.3498,1.5250,5.3099,11.9720,1.1848,0.00,True,-1.2356,-1.7201,-1.8316,1.2466,1.5657,3.2394,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.11,-0.0005,1.5782,-5.2827,5.8700,1.5250,5.3100,12.1108,1.1355,0.00,True,-1.2254,-1.7262,-1.7672,1.2431,1.5793,3.2191,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.11,-0.0005,1.5782,-5.2827,-5.3498,1.5250,5.3099,11.8668,1.1355,0.00,True,-1.2254,-1.7262,-1.7672,1.2431,1.5793,3.2191,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.22,-0.0100,1.5794,-5.1734,5.8700,1.5250,5.3100,12.0199,1.0974,0.00,True,-1.2237,-1.7078,-1.6924,1.2482,1.5928,3.1962,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.22,-0.0100,1.5794,-5.1734,-5.3498,1.5250,5.3099,11.7650,1.0974,0.00,True,-1.2237,-1.7078,-1.6924,1.2482,1.5928,3.1962,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.32,-0.0166,1.5788,-5.0661,5.8700,1.5250,5.3100,11.9298,1.0746,0.00,True,-1.2275,-1.7075,-1.7330,1.2612,1.6016,3.1773,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.32,-0.0166,1.5788,-5.0661,-5.3498,1.5250,5.3099,11.6665,1.0746,0.00,True,-1.2275,-1.7075,-1.7330,1.2612,1.6016,3.1773,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.42,-0.0206,1.5774,-4.9541,5.8700,1.5250,5.3100,11.8345,1.1207,0.00,True,-1.2362,-1.7081,-1.8143,1.2768,1.6038,3.1702,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.42,-0.0206,1.5774,-4.9541,-5.3498,1.5250,5.3099,11.5652,1.1207,0.00,True,-1.2362,-1.7081,-1.8143,1.2768,1.6038,3.1702,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.52,-0.0230,1.5711,-4.8318,5.8700,1.5250,5.3100,11.7297,1.2256,0.00,True,-1.2527,-1.7144,-1.8540,1.2947,1.5973,3.1811,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.52,-0.0230,1.5711,-4.8318,-5.3498,1.5250,5.3099,11.4556,1.2256,0.00,True,-1.2527,-1.7144,-1.8540,1.2947,1.5973,3.1811,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.62,-0.0242,1.5681,-4.7055,5.8700,1.5250,5.3100,11.6213,1.2628,0.00,True,-1.2692,-1.7121,-1.8723,1.3049,1.5853,3.2027,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.62,-0.0242,1.5681,-4.7055,-5.3498,1.5250,5.3099,11.3434,1.2628,0.00,True,-1.2692,-1.7121,-1.8723,1.3049,1.5853,3.2027,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.72,-0.0239,1.5739,-4.5797,5.8700,1.5250,5.3100,11.5129,1.2599,0.00,True,-1.2750,-1.7079,-1.8385,1.2989,1.5757,3.2276,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.72,-0.0239,1.5739,-4.5797,-5.3498,1.5250,5.3099,11.2326,1.2599,0.00,True,-1.2750,-1.7079,-1.8385,1.2989,1.5757,3.2276,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.83,-0.0224,1.5743,-4.4506,5.8700,1.5250,5.3100,11.4014,1.2906,0.00,True,-1.2683,-1.7096,-1.8072,1.2794,1.5622,3.2448,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.83,-0.0224,1.5743,-4.4506,-5.3498,1.5250,5.3099,11.1198,1.2906,0.00,True,-1.2683,-1.7096,-1.8072,1.2794,1.5622,3.2448,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
1.93,-0.0185,1.5785,-4.3254,5.8700,1.5250,5.3100,11.2924,1.2531,0.00,True,-1.2581,-1.7105,-1.8720,1.2587,1.5586,3.2539,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
1.93,-0.0185,1.5785,-4.3254,-5.3498,1.5250,5.3099,11.0120,1.2531,0.00,True,-1.2581,-1.7105,-1.8720,1.2587,1.5586,3.2539,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
2.03,-0.0119,1.5801,-4.2059,5.8700,1.5250,5.3100,11.1872,1.1973,0.00,True,-1.2501,-1.7098,-1.8504,1.2430,1.5629,3.2478,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
2.03,-0.0119,1.5801,-4.2059,-5.3498,1.5250,5.3099,10.9108,1.1973,0.00,True,-1.2501,-1.7098,-1.8504,1.2430,1.5629,3.2478,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
2.13,-0.0048,1.5811,-4.0936,5.8700,1.5250,5.3100,11.0880,1.1256,0.00,True,-1.2442,-1.7216,-1.7913,1.2296,1.5735,3.2308,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
2.13,-0.0048,1.5811,-4.0936,-5.3498,1.5250,5.3099,10.8165,1.1256,0.00,True,-1.2442,-1.7216,-1.7913,1.2296,1.5735,3.2308,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
2.23,0.0018,1.5814,-3.9852,5.8700,1.5250,5.3100,10.9928,1.0853,0.00,True,-1.2453,-1.7180,-1.7144,1.2218,1.5864,3.2083,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
2.23,0.0018,1.5814,-3.9852,-5.3498,1.5250,5.3099,10.7258,1.0853,0.00,True,-1.2453,-1.7180,-1.7144,1.2218,1.5864,3.2083,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
2.33,0.0098,1.5801,-3.8753,5.8700,1.5250,5.3100,10.8957,1.1021,0.00,True,-1.2540,-1.7101,-1.7236,1.2222,1.5977,3.1852,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
2.33,0.0098,1.5801,-3.8753,-5.3498,1.5250,5.3099,10.6347,1.1021,0.00,True,-1.2540,-1.7101,-1.7236,1.2222,1.5977,3.1852,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
2.43,0.0181,1.5774,-3.7667,5.8700,1.5250,5.3100,10.7997,1.0898,0.00,True,-1.2678,-1.7116,-1.7918,1.2298,1.6035,3.1696,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
2.43,0.0181,1.5774,-3.7667,-5.3498,1.5250,5.3099,10.5452,1.0898,0.00,True,-1.2678,-1.7116,-1.7918,1.2298,1.6035,3.1696,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
2.53,0.0223,1.5729,-3.6539,5.8700,1.5250,5.3100,10.7028,1.1294,0.00,True,-1.2908,-1.7126,-1.8108,1.2480,1.5995,3.1730,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
