collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.33,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.35,Elephant,cube (1),-3.775,2.090,3.735
9.36,Elephant,cube (1),-3.775,2.090,3.735
9.36,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.39,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.42,Elephant,cube (1),-3.775,2.090,3.735
9.42,Elephant,cube (1),-3.775,2.090,3.735
9.42,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.46,Elephant,cube (1),-3.775,2.090,3.735
9.46,Elephant,cube (1),-3.775,2.090,3.735
9.46,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.52,Elephant,cube (1),-3.775,2.090,3.735
9.53,Elephant,cube (1),-3.775,2.090,3.735
9.53,Elephant,cube (1),-3.775,2.090,3.735
9.53,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.56,Elephant,cube (1),-3.775,2.090,3.735
9.56,Elephant,cube (1),-3.775,2.090,3.735
9.57,Elephant,cube (1),-3.775,2.090,3.735
9.58,Elephant,cube (1),-3.775,2.090,3.735
9.58,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.62,Elephant,cube (1),-3.775,2.090,3.735
9.62,Elephant,cube (1),-3.775,2.090,3.735
9.62,Elephant,cube (1),-3.775,2.090,3.735
9.63,Elephant,cube (1),-3.775,2.090,3.735
9.63,Elephant,cube (1),-3.775,2.090,3.735
9.64,Elephant,cube (1),-3.775,2.090,3.735
9.64,Elephant,cube (1),-3.775,2.090,3.735
9.65,Elephant,cube (1),-3.775,2.090,3.735
9.65,Elephant,cube (1),-3.775,2.090,3.735
9.65,Elephant,cube (1),-3.775,2.090,3.735
9.66,Elephant,cube (1),-3.775,2.090,3.735
9.66,Elephant,cube (1),-3.775,2.090,3.735
9.67,Elephant,cube (1),-3.775,2.090,3.735
9.67,Elephant,cube (1),-3.775,2.090,3.735
9.69,Elephant,cube (1),-3.775,2.090,3.735
9.70,Elephant,cube (1),-3.775,2.090,3.735
9.70,Elephant,cube (1),-3.775,2.090,3.735
9.70,Elephant,cube (1),-3.775,2.090,3.735
9.71,Elephant,cube (1),-3.775,2.090,3.735
9.71,Elephant,cube (1),-3.775,2.090,3.735
9.71,Elephant,cube (1),-3.775,2.090,3.735
9.72,Elephant,cube (1),-3.775,2.090,3.735
9.72,Elephant,cube (1),-3.775,2.090,3.735
9.73,Elephant,cube (1),-3.775,2.090,3.735
9.73,Elephant,cube (1),-3.775,2.090,3.735
9.73,Elephant,cube (1),-3.775,2.090,3.735
9.74,Elephant,cube (1),-3.775,2.090,3.735
9.74,Elephant,cube (1),-3.775,2.090,3.735
9.74,Elephant,cube (1),-3.775,2.090,3.735
9.75,Elephant,cube (1),-3.775,2.090,3.735
9.75,Elephant,cube (1),-3.775,2.090,3.735
9.75,Elephant,cube (1),-3.775,2.090,3.735
9.76,Elephant,cube (1),-3.775,2.090,3.735
9.76,Elephant,cube (1),-3.775,2.090,3.735
9.76,Elephant,cube (1),-3.775,2.090,3.735
9.76,Elephant,cube (1),-3.775,2.090,3.735
9.77,Elephant,cube (1),-3.775,2.090,3.735
9.77,Elephant,cube (1),-3.775,2.090,3.735
9.78,Elephant,cube (1),-3.775,2.090,3.735
9.79,Elephant,cube (1),-3.775,2.090,3.735
9.80,Elephant,cube (1),-3.775,2.090,3.735
9.80,Elephant,cube (1),-3.775,2.090,3.735
