time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.09,-0.0065,1.8143,-5.8933,5.8700,1.5250,0.1490,8.4336,0.0000,0.00,True,-1.2881,-1.7103,-1.6985,1.2991,1.7943,3.3805,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3699,3.0250,1.6490
0.09,-0.0065,1.8143,-5.8933,-5.3499,1.5254,0.1490,8.0712,0.0000,0.00,True,-1.2881,-1.7103,-1.6985,1.2991,1.7943,3.3805,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0255,-1.3510,-3.8497,3.0253,1.6489
0.19,-0.0281,1.8011,-5.8909,5.8700,1.5250,0.1490,8.4466,0.2546,0.00,True,-1.4010,-1.7104,-1.7223,1.4297,1.8002,3.4028,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.19,-0.0281,1.8011,-5.8909,-5.3496,1.5268,0.1489,8.0544,0.2645,132.38,True,-1.4010,-1.7104,-1.7223,1.4297,1.8002,3.4028,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8501,0.0272,-1.3509,-3.8491,3.0264,1.6488
0.29,-0.0587,1.8189,-5.8883,5.8700,1.5250,0.1490,8.4667,0.3546,0.00,True,-1.5071,-1.7106,-1.7644,1.5120,1.8103,3.4261,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.29,-0.0587,1.8189,-5.8883,-5.3493,1.5282,0.1489,8.0326,0.3502,71.19,True,-1.5071,-1.7106,-1.7644,1.5120,1.8103,3.4261,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8502,0.0288,-1.3508,-3.8484,3.0276,1.6487
0.39,-0.0861,1.8271,-5.8891,5.8700,1.5250,0.1490,8.4868,0.2867,0.00,True,-1.5573,-1.7143,-1.7957,1.4902,1.8048,3.4342,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.39,-0.0861,1.8271,-5.8891,-5.3490,1.5296,0.1489,8.0152,0.2856,84.42,True,-1.5573,-1.7143,-1.7957,1.4902,1.8048,3.4342,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8502,0.0305,-1.3508,-3.8478,3.0288,1.6485
0.49,-0.0832,1.7819,-5.8840,5.8700,1.5250,0.1490,8.4796,0.4557,0.00,True,-1.5561,-1.7289,-1.7877,1.4881,1.7409,3.4124,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.49,-0.0832,1.7819,-5.8840,-5.3487,1.5311,0.1488,8.0115,0.4697,164.39,True,-1.5561,-1.7289,-1.7877,1.4881,1.7409,3.4124,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8503,0.0322,-1.3507,-3.8472,3.0300,1.6484
0.59,-0.0624,1.7236,-5.8467,5.8700,1.5250,0.1490,8.4369,0.7228,0.00,True,-1.5164,-1.7368,-1.7538,1.5079,1.6770,3.3826,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.59,-0.0624,1.7236,-5.8467,-5.3485,1.5325,0.1488,7.9953,0.7337,138.48,True,-1.5164,-1.7368,-1.7538,1.5079,1.6770,3.3826,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8504,0.0339,-1.3507,-3.8466,3.0311,1.6483
0.70,-0.0282,1.6623,-5.7833,5.8700,1.5250,0.1490,8.3666,0.9454,0.00,True,-1.4219,-1.7180,-1.7144,1.4595,1.6286,3.3385,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.70,-0.0282,1.6623,-5.7833,-5.3482,1.5339,0.1488,7.9692,0.9540,125.66,True,-1.4219,-1.7180,-1.7144,1.4595,1.6286,3.3385,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8504,0.0355,-1.3506,-3.8459,3.0323,1.6481
0.80,0.0044,1.6031,-5.6967,5.8700,1.5250,0.1490,8.2815,1.0995,0.00,True,-1.3106,-1.7156,-1.8053,1.3330,1.5842,3.2843,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.80,0.0044,1.6031,-5.6967,-5.3479,1.5354,0.1487,7.9259,1.1067,119.44,True,-1.3106,-1.7156,-1.8053,1.3330,1.5842,3.2843,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8505,0.0372,-1.3505,-3.8453,3.0335,1.6480
0.90,0.0185,1.5730,-5.5795,5.8700,1.5250,0.1490,8.1889,1.2180,0.00,True,-1.2584,-1.7113,-1.8717,1.2579,1.5557,3.2518,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.90,0.0185,1.5730,-5.5795,-5.3476,1.5371,0.1487,7.8491,1.2224,104.16,True,-1.2584,-1.7113,-1.8717,1.2579,1.5557,3.2518,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8506,0.0392,-1.3505,-3.8446,3.0349,1.6478
1.00,0.0124,1.5755,-5.4577,5.8700,1.5250,0.1490,8.1086,1.2193,0.00,True,-1.2424,-1.7118,-1.8530,1.2500,1.5608,3.2463,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.00,0.0124,1.5755,-5.4577,-5.3473,1.5385,0.1486,7.7562,1.2196,90.87,True,-1.2424,-1.7118,-1.8530,1.2500,1.5608,3.2463,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8506,0.0409,-1.3504,-3.8439,3.0361,1.6477
1.10,0.0042,1.5772,-5.3448,5.8700,1.5250,0.1490,8.0369,1.1320,0.00,True,-1.2294,-1.7229,-1.8015,1.2440,1.5723,3.2298,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.10,0.0042,1.5772,-5.3448,-5.3470,1.5399,0.1486,7.6691,1.1325,91.41,True,-1.2294,-1.7229,-1.8015,1.2440,1.5723,3.2298,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8507,0.0426,-1.3504,-3.8433,3.0373,1.6476
1.24,0.0040,1.5772,-5.3419,5.8700,1.5250,0.1490,8.0351,0.0295,0.00,True,-1.2291,-1.7233,-1.7998,1.2439,1.5726,3.2292,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.24,0.0040,1.5772,-5.3419,-5.3467,1.5416,0.1486,7.6665,0.0346,91.33,True,-1.2291,-1.7233,-1.7998,1.2439,1.5726,3.2292,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8507,0.0446,-1.3503,-3.8426,3.0387,1.6474
1.34,-0.0157,1.5791,-5.0943,5.8700,1.5250,0.1490,7.8827,2.4839,0.00,True,-1.2265,-1.7072,-1.7117,1.2583,1.6005,3.1804,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.34,-0.0157,1.5791,-5.0943,-5.3464,1.5430,0.1485,7.4769,2.4845,91.92,True,-1.2265,-1.7072,-1.7117,1.2583,1.6005,3.1804,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8508,0.0462,-1.3502,-3.8420,3.0399,1.6473
1.44,-0.0201,1.5772,-4.9850,5.8700,1.5250,0.1490,7.8137,1.0935,0.00,True,-1.2339,-1.7083,-1.8024,1.2733,1.6033,3.1699,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.44,-0.0201,1.5772,-4.9850,-5.3461,1.5445,0.1485,7.3974,1.0943,92.91,True,-1.2339,-1.7083,-1.8024,1.2733,1.6033,3.1699,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8508,0.0479,-1.3502,-3.8414,3.0411,1.6472
1.55,-0.0224,1.5728,-4.8664,5.8700,1.5250,0.1490,7.7381,1.1872,0.00,True,-1.2486,-1.7129,-1.8471,1.2911,1.5996,3.1775,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.55,-0.0224,1.5728,-4.8664,-5.3458,1.5462,0.1484,7.3135,1.1885,93.76,True,-1.2486,-1.7129,-1.8471,1.2911,1.5996,3.1775,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8509,0.0499,-1.3501,-3.8406,3.0425,1.6470
1.66,-0.0242,1.5681,-4.7212,5.8700,1.5250,0.1490,7.6460,1.4534,0.00,True,-1.2682,-1.7129,-1.8722,1.3047,1.5861,3.2011,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.66,-0.0242,1.5681,-4.7212,-5.3455,1.5476,0.1484,7.2131,1.4544,93.45,True,-1.2682,-1.7129,-1.8722,1.3047,1.5861,3.2011,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8509,0.0516,-1.3501,-3.8400,3.0437,1.6469
1.76,-0.0239,1.5740,-4.5929,5.8700,1.5250,0.1490,7.5648,1.2846,0.00,True,-1.2751,-1.7079,-1.8425,1.2996,1.5765,3.2266,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
