time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0071,1.8049,-5.8932,5.8700,1.5249,5.3101,12.6543,0.0000,0.00,True,-1.2914,-1.7103,-1.6987,1.3032,1.7944,3.3812,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.08,-0.0071,1.8049,-5.8932,-5.3467,1.5278,5.3095,12.4133,0.0000,0.00,True,-1.2914,-1.7103,-1.6987,1.3032,1.7944,3.3812,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.18,-0.0277,1.8009,-5.8909,5.8700,1.5250,5.3100,12.6618,0.2116,0.00,True,-1.3991,-1.7105,-1.7217,1.4277,1.8000,3.4024,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.18,-0.0277,1.8009,-5.8909,-5.3499,1.5250,5.3098,12.4040,0.1763,30.24,True,-1.3991,-1.7105,-1.7217,1.4277,1.8000,3.4024,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0249,3.8098,-3.8499,3.0251,6.8098
0.28,-0.0572,1.8180,-5.8884,5.8700,1.5250,5.3100,12.6737,0.3417,0.00,True,-1.5033,-1.7106,-1.7625,1.5107,1.8098,3.4252,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.28,-0.0572,1.8180,-5.8884,-5.3498,1.5250,5.3099,12.3895,0.3422,0.00,True,-1.5033,-1.7106,-1.7625,1.5107,1.8098,3.4252,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.39,-0.0891,1.8397,-5.8875,5.8700,1.5250,5.3100,12.6884,0.3859,0.00,True,-1.5602,-1.7103,-1.7990,1.4864,1.8193,3.4395,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.39,-0.0891,1.8397,-5.8875,-5.3498,1.5250,5.3099,12.3756,0.3859,0.00,True,-1.5602,-1.7103,-1.7990,1.4864,1.8193,3.4395,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.49,-0.1164,1.8625,-5.8876,5.8700,1.5250,5.3100,12.7019,0.3563,0.00,True,-1.5785,-1.7097,-1.8213,1.3932,1.8283,3.4422,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.49,-0.1164,1.8625,-5.8876,-5.3498,1.5250,5.3099,12.3647,0.3563,0.00,True,-1.5785,-1.7097,-1.8213,1.3932,1.8283,3.4422,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
