time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.08,-0.0017,2.8092,-4.8286,-0.0003,2.7442,-5.4939,-0.0024,2.5021,-4.5268,0.3032,3.2560,-5.2257,-0.0007,2.3825,-5.3531,-0.0002,2.4678,-5.5805,0.3807,2.0732,-5.8456,0.0000,2.4187,-7.8533,0.0000,2.4108,-7.1828,0.0000,2.4187,-7.8533,0.0000,2.4714,-6.4517,-0.0031,0.7068,-4.4627,-0.0033,0.8925,-4.3184,-0.0033,1.1398,-4.2979,-0.0032,1.4378,-4.2847,-0.0027,2.0893,-4.4045,-0.0031,1.7217,-4.3038,0.0000,2.0461,-8.6781,-0.3805,2.2427,-8.1352,0.3805,2.2427,-8.1352,0.3805,1.3676,-7.9696,-0.3804,1.3675,-7.9696,0.0000,2.5933,-5.8348,-0.3046,3.2562,-5.2269,0.0000,2.3095,-8.5882,0.0000,1.4941,-8.6989,0.0000,1.2322,-8.6995,0.0000,1.7435,-8.6970,0.3975,2.8179,-4.8580,0.3975,2.8179,-4.8580,0.6504,3.3132,-5.6511,0.3805,2.5375,-6.0562,0.9103,3.2168,-5.9130,0.5139,2.8011,-5.4216,-0.3805,2.0731,-5.8458,0.3805,1.4903,-6.1425,-0.3806,1.4903,-6.1429,0.3804,0.3724,-6.0989,0.3975,2.8179,-4.8580,0.3805,0.3239,-8.0605,-0.4007,2.8181,-4.8596,-0.4007,2.8181,-4.8596,-0.6500,3.3137,-5.6537,-0.3805,2.5375,-6.0562,-0.9090,3.2174,-5.9166,-0.5148,2.8014,-5.4237,-0.3805,0.3724,-6.0990,-0.4007,2.8181,-4.8596,-0.3802,0.3239,-8.0606
0.18,-0.0397,2.7199,-4.8132,-0.0085,2.6733,-5.4793,-0.0503,2.4047,-4.5201,0.2773,3.1804,-5.1842,-0.0111,2.3078,-5.3484,-0.0016,2.3994,-5.5732,0.3740,2.0148,-5.8333,0.0000,2.3796,-7.8446,0.0000,2.3674,-7.1742,0.0000,2.3796,-7.8446,0.0001,2.4192,-6.4424,-0.0185,0.6815,-4.6191,-0.0304,0.8135,-4.4247,-0.0390,1.0460,-4.3384,-0.0467,1.3396,-4.2867,-0.0521,1.9922,-4.3966,-0.0510,1.6239,-4.2987,0.0014,2.0126,-8.6898,-0.3815,2.2055,-8.1263,0.3794,2.1999,-8.1255,0.3726,1.3189,-7.9943,-0.3739,1.3467,-7.8901,0.0001,2.5301,-5.8234,-0.3297,3.1747,-5.2123,-0.0001,2.2680,-8.5792,0.0048,1.4619,-8.6999,0.0053,1.2006,-8.6815,0.0029,1.7106,-8.7168,0.3602,2.7333,-4.8247,0.3602,2.7333,-4.8247,0.6772,3.2526,-5.5580,0.3805,2.4782,-6.0458,0.9874,3.1662,-5.7622,0.5014,2.7331,-5.3828,-0.3736,2.0145,-5.8341,0.3628,1.4588,-6.1778,-0.3621,1.4673,-6.1925,0.3640,0.3426,-6.1032,0.3602,2.7333,-4.8247,0.3638,0.2869,-8.1742,-0.4371,2.7258,-4.8615,-0.4371,2.7258,-4.8615,-0.6948,3.2398,-5.6213,-0.3804,2.4782,-6.0457,-0.9859,3.1479,-5.8498,-0.5262,2.7235,-5.4303,-0.3628,0.3520,-6.1045,-0.4371,2.7258,-4.8615,-0.3650,0.3004,-7.9415
0.29,-0.0602,2.6431,-4.7736,-0.0129,2.6180,-5.4400,-0.0749,2.3187,-4.4910,0.2615,3.1177,-5.1223,-0.0155,2.2485,-5.3208,-0.0015,2.3472,-5.5422,0.3674,1.9764,-5.7936,0.0000,2.3686,-7.8117,0.0001,2.3479,-7.1415,0.0000,2.3686,-7.8117,0.0003,2.3870,-6.4089,0.0133,0.6785,-4.6926,-0.0106,0.7582,-4.4726,-0.0345,0.9660,-4.3389,-0.0566,1.2531,-4.2615,-0.0771,1.9061,-4.3679,-0.0697,1.5372,-4.2723,0.0061,1.9944,-8.6662,-0.3837,2.1957,-8.0912,0.3771,2.1782,-8.0888,0.3637,1.2922,-7.9984,-0.3675,1.3418,-7.8384,0.0004,2.4842,-5.7877,-0.3446,3.1081,-5.1649,-0.0006,2.2446,-8.5443,0.0231,1.4452,-8.6760,0.0259,1.1852,-8.6445,0.0126,1.6931,-8.6997,0.3398,2.6600,-4.7752,0.3398,2.6600,-4.7752,0.6853,3.2042,-5.4654,0.3808,2.4372,-6.0112,1.0173,3.1261,-5.6358,0.4940,2.6787,-5.3296,-0.3663,1.9694,-5.8090,0.3450,1.4572,-6.1910,-0.3456,1.4384,-6.1905,0.3468,0.3399,-6.1346,0.3398,2.6600,-4.7752,0.3465,0.2822,-8.2760,-0.4563,2.6475,-4.8312,-0.4563,2.6475,-4.8312,-0.7188,3.1821,-5.5641,-0.3801,2.4372,-6.0110,-1.0229,3.0940,-5.7766,-0.5320,2.6626,-5.4017,-0.3442,0.3485,-5.9383,-0.4563,2.6475,-4.8312,-0.3483,0.2943,-7.8389
0.39,-0.0598,2.5649,-4.7039,-0.0127,2.5612,-5.3708,-0.0734,2.2316,-4.4318,0.2603,3.0514,-5.0373,-0.0140,2.1881,-5.2635,-0.0004,2.2940,-5.4817,0.3611,1.9348,-5.7311,0.0000,2.3661,-7.7486,0.0003,2.3330,-7.0790,0.0000,2.3661,-7.7486,0.0005,2.3562,-6.3457,0.0796,0.6590,-4.6772,0.0468,0.7000,-4.4480,0.0062,0.8847,-4.2872,-0.0338,1.1667,-4.1990,-0.0752,1.8188,-4.3092,-0.0588,1.4497,-4.2155,0.0101,1.9704,-8.6002,-0.3877,2.1953,-8.0238,0.3723,2.1572,-8.0188,0.3537,1.2727,-7.9156,-0.3617,1.3432,-7.7658,0.0008,2.4375,-5.7222,-0.3458,3.0413,-5.0801,-0.0025,2.2198,-8.4771,0.0474,1.4225,-8.6274,0.0606,1.1621,-8.6022,0.0222,1.6702,-8.6404,0.3401,2.5831,-4.7051,0.3401,2.5831,-4.7051,0.6801,3.1505,-5.3819,0.3812,2.3962,-5.9469,1.0108,3.0793,-5.5579,0.4941,2.6201,-5.2586,-0.3586,1.9426,-5.7150,0.3284,1.4597,-6.1796,-0.3296,1.4061,-6.0883,0.3300,0.3410,-6.1844,0.3401,2.5831,-4.7051,0.3295,0.3079,-8.3231,-0.4559,2.5698,-4.7613,-0.4559,2.5698,-4.7613,-0.7162,3.1273,-5.4804,-0.3798,2.3963,-5.9466,-1.0155,3.0455,-5.7021,-0.5318,2.6029,-5.3310,-0.3263,0.3760,-5.6519,-0.4559,2.5698,-4.7613,-0.3310,0.2961,-7.7515
0.49,-0.0339,2.4734,-4.6096,-0.0070,2.4968,-5.2772,-0.0400,2.1293,-4.3510,0.2769,2.9728,-4.9325,-0.0058,2.1197,-5.1852,0.0014,2.2343,-5.3992,0.3547,1.8791,-5.6695,0.0000,2.3709,-7.6611,0.0003,2.3214,-6.9924,0.0000,2.3709,-7.6611,0.0007,2.3242,-6.2588,0.1752,0.5976,-4.6068,0.1394,0.6169,-4.3751,0.0854,0.7862,-4.2018,0.0269,1.0655,-4.1152,-0.0394,1.7154,-4.2323,-0.0122,1.3461,-4.1421,0.0073,1.9372,-8.4939,-0.3945,2.2053,-7.9298,0.3630,2.1332,-7.9199,0.3414,1.2751,-7.6823,-0.3570,1.3473,-7.6936,0.0010,2.3859,-5.6330,-0.3303,2.9649,-4.9573,-0.0077,2.1917,-8.3821,0.0623,1.3918,-8.5484,0.1070,1.1341,-8.5631,0.0211,1.6374,-8.5374,0.3658,2.4914,-4.6221,0.3658,2.4914,-4.6221,0.6628,3.0882,-5.3102,0.3814,2.3517,-5.8590,0.9648,3.0275,-5.5349,0.5031,2.5507,-5.1781,-0.3513,1.9516,-5.5439,0.3133,1.4549,-6.1657,-0.3131,1.3778,-5.8558,0.3138,0.3433,-6.2919,0.3658,2.4914,-4.6221,0.3141,0.3783,-8.2232,-0.4316,2.4810,-4.6547,-0.4316,2.4810,-4.6547,-0.6869,3.0706,-5.3652,-0.3796,2.3517,-5.8586,-0.9673,3.0024,-5.6146,-0.5246,2.5372,-5.2201,-0.3109,0.3877,-5.3350,-0.4316,2.4810,-4.6547,-0.3128,0.3007,-7.6795
0.59,-0.0003,2.3913,-4.4932,-0.0003,2.4415,-5.1598,0.0013,2.0370,-4.2485,0.3012,2.9013,-4.8081,0.0015,2.0609,-5.0831,0.0010,2.1841,-5.2925,0.3482,1.8308,-5.5905,0.0000,2.3773,-7.5476,0.0000,2.3144,-6.8801,0.0000,2.3773,-7.5476,0.0000,2.2993,-6.1466,0.2502,0.5274,-4.5113,0.2172,0.5353,-4.2785,0.1577,0.6956,-4.0987,0.0875,0.9734,-4.0158,0.0032,1.6212,-4.1365,0.0380,1.2514,-4.0513,0.0001,1.9083,-8.3575,-0.4007,2.2176,-7.8105,0.3530,2.1140,-7.7951,0.3297,1.3211,-7.3901,-0.3543,1.3484,-7.6218,0.0000,2.3429,-5.5193,-0.3065,2.8984,-4.8084,-0.0141,2.1688,-8.2606,0.0659,1.3670,-8.4333,0.1430,1.1232,-8.4899,0.0128,1.6084,-8.4005,0.3987,2.4070,-4.5213,0.3987,2.4070,-4.5213,0.6457,3.0327,-5.2191,0.3805,2.3153,-5.7459,0.9037,2.9843,-5.4956,0.5138,2.4879,-5.0795,-0.3473,1.9766,-5.3663,0.3005,1.4431,-6.1152,-0.3001,1.3536,-5.5603,0.3002,0.3511,-6.3583,0.3987,2.4070,-4.5213,0.3007,0.4455,-7.9647,-0.3995,2.4032,-4.5216,-0.3995,2.4032,-4.5216,-0.6518,3.0266,-5.2196,-0.3804,2.3153,-5.7459,-0.9092,2.9757,-5.4964,-0.5149,2.4830,-5.0799,-0.3000,0.3501,-5.0659,-0.3995,2.4032,-4.5216,-0.2996,0.3023,-7.6364
0.70,0.0010,2.3919,-4.3749,0.0008,2.4443,-5.0413,-0.0040,2.0369,-4.1314,0.3120,2.8969,-4.6888,-0.0048,2.0635,-4.9659,-0.0033,2.1873,-5.1748,0.3482,1.8332,-5.4717,0.0000,2.3750,-7.4293,0.0000,2.3141,-6.7616,0.0000,2.3750,-7.4293,0.0000,2.3007,-6.0281,0.2081,0.5201,-4.3930,0.1763,0.5294,-4.1601,0.1215,0.6918,-3.9805,0.0588,0.9715,-3.8983,-0.0101,1.6209,-4.0206,0.0162,1.2505,-3.9345,-0.0009,1.9099,-8.2400,-0.4004,2.2157,-7.6930,0.3536,2.1141,-7.6786,0.3291,1.3739,-7.1838,-0.3551,1.3426,-7.5228,0.0000,2.3458,-5.4009,-0.2957,2.9060,-4.6879,-0.0138,2.1707,-8.1436,0.0612,1.3675,-8.3115,0.1360,1.1227,-8.3664,0.0104,1.6098,-8.2812,0.4002,2.3999,-4.4037,0.4002,2.3999,-4.4037,0.6582,3.0228,-5.1000,0.3804,2.3176,-5.6275,0.9147,2.9702,-5.3772,0.5158,2.4803,-4.9619,-0.3476,2.0000,-5.2301,0.3004,1.4482,-5.9984,-0.3002,1.3741,-5.4141,0.3001,0.3556,-6.2388,0.4002,2.3999,-4.4037,0.2987,0.4496,-7.6761,-0.3979,2.4119,-4.4025,-0.3979,2.4119,-4.4025,-0.6392,3.0423,-5.0981,-0.3805,2.3177,-5.6275,-0.8980,2.9974,-5.3745,-0.5127,2.4957,-4.9604,-0.3003,0.3511,-4.9612,-0.3979,2.4119,-4.4025,-0.3016,0.3030,-7.6408
0.80,0.0025,2.3898,-4.2475,0.0019,2.4537,-4.9130,-0.0101,2.0308,-4.0102,0.3243,2.8928,-4.5535,-0.0123,2.0718,-4.8441,-0.0084,2.1992,-5.0509,0.3481,1.8468,-5.3321,0.0000,2.3626,-7.3021,-0.0001,2.3127,-6.6335,0.0000,2.3626,-7.3021,-0.0002,2.3077,-5.8999,0.1286,0.4979,-4.2682,0.1030,0.5114,-4.0347,0.0616,0.6788,-3.8562,0.0162,0.9627,-3.7770,-0.0256,1.6131,-3.9066,-0.0126,1.2430,-3.8164,-0.0006,1.9187,-8.1172,-0.3973,2.2027,-7.5701,0.3588,2.1174,-7.5598,0.3315,1.4306,-6.9934,-0.3538,1.3239,-7.4317,-0.0003,2.3571,-5.2730,-0.2830,2.9159,-4.5508,-0.0108,2.1802,-8.0224,0.0499,1.3722,-8.1679,0.1104,1.1205,-8.2074,0.0081,1.6173,-8.1496,0.4017,2.3890,-4.2773,0.4017,2.3890,-4.2773,0.6724,3.0178,-4.9634,0.3802,2.3273,-5.4994,0.9270,2.9641,-5.2422,0.5179,2.4764,-4.8343,-0.3482,1.9991,-5.1108,0.3001,1.4737,-5.8673,-0.3006,1.3927,-5.3515,0.2996,0.3725,-6.0643,0.4017,2.3890,-4.2773,0.2984,0.4506,-7.3621,-0.3959,2.4194,-4.2737,-0.3959,2.4194,-4.2737,-0.6242,3.0671,-4.9577,-0.3807,2.3274,-5.4995,-0.8846,3.0330,-5.2341,-0.5101,2.5155,-4.8298,-0.3009,0.3517,-4.9416,-0.3959,2.4194,-4.2737,-0.3018,0.3037,-7.6643
0.90,0.0031,2.3864,-4.1274,0.0027,2.4651,-4.7913,-0.0165,2.0226,-3.8981,0.3349,2.8893,-4.4229,-0.0194,2.0823,-4.7308,-0.0132,2.2141,-4.9348,0.3479,1.8640,-5.1964,0.0000,2.3465,-7.1815,-0.0003,2.3107,-6.5120,0.0000,2.3465,-7.1815,-0.0006,2.3164,-5.7784,0.0342,0.4759,-4.1512,0.0174,0.4933,-3.9172,-0.0064,0.6656,-3.7401,-0.0300,0.9532,-3.6649,-0.0405,1.6032,-3.8037,-0.0422,1.2341,-3.7084,-0.0001,1.9301,-8.0011,-0.3928,2.1847,-7.4549,0.3656,2.1234,-7.4493,0.3351,1.4591,-6.8567,-0.3510,1.2996,-7.3654,-0.0008,2.3711,-5.1520,-0.2718,2.9251,-4.4183,-0.0071,2.1925,-7.9084,0.0353,1.3802,-8.0249,0.0766,1.1222,-8.0427,0.0058,1.6277,-8.0224,0.4022,2.3780,-4.1581,0.4022,2.3780,-4.1581,0.6847,3.0161,-4.8308,0.3798,2.3393,-5.3779,0.9376,2.9633,-5.1113,0.5191,2.4753,-4.7134,-0.3490,1.9775,-5.0208,0.2996,1.5047,-5.7409,-0.3012,1.4090,-5.3409,0.2991,0.3938,-5.8734,0.4022,2.3780,-4.1581,0.2989,0.4346,-7.0727,-0.3946,2.4250,-4.1520,-0.3946,2.4250,-4.1520,-0.6105,3.0924,-4.8208,-0.3812,2.3395,-5.3782,-0.8721,3.0699,-5.0973,-0.5078,2.5358,-4.7055,-0.3015,0.3536,-4.9696,-0.3946,2.4250,-4.1520,-0.3009,0.3052,-7.6915
1.01,0.0036,2.3822,-4.0135,0.0034,2.4747,-4.6756,-0.0217,2.0141,-3.7917,0.3429,2.8857,-4.2991,-0.0248,2.0911,-4.6230,-0.0168,2.2270,-4.8242,0.3480,1.8798,-5.0673,0.0000,2.3319,-7.0664,-0.0004,2.3086,-6.3964,0.0000,2.3319,-7.0664,-0.0007,2.3237,-5.6629,-0.0561,0.4608,-4.0404,-0.0635,0.4804,-3.8062,-0.0693,0.6556,-3.6305,-0.0711,0.9451,-3.5588,-0.0523,1.5932,-3.7060,-0.0675,1.2257,-3.6062,0.0000,1.9406,-7.8891,-0.3878,2.1666,-7.3447,0.3723,2.1312,-7.3426,0.3391,1.4491,-6.7708,-0.3478,1.2773,-7.3132,-0.0011,2.3830,-5.0369,-0.2630,2.9311,-4.2926,-0.0039,2.2037,-7.7983,0.0203,1.3892,-7.8878,0.0424,1.1283,-7.8839,0.0033,1.6376,-7.9000,0.4024,2.3680,-4.0451,0.4024,2.3680,-4.0451,0.6942,3.0153,-4.7049,0.3795,2.3496,-5.2625,0.9458,2.9642,-4.9868,0.5200,2.4749,-4.5984,-0.3492,1.9451,-4.9546,0.2995,1.5288,-5.6172,-0.3012,1.4220,-5.3445,0.2992,0.4112,-5.6668,0.4024,2.3680,-4.0451,0.2996,0.4034,-6.8208,-0.3935,2.4277,-4.0365,-0.3935,2.4277,-4.0365,-0.5996,3.1123,-4.6910,-0.3814,2.3498,-5.2629,-0.8620,3.0997,-4.9675,-0.5057,2.5518,-4.5874,-0.3016,0.3540,-5.0113,-0.3935,2.4277,-4.0365,-0.3001,0.3055,-7.7016
