collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
5.78,Elephant,cube,3.873,2.354,-0.968
5.88,Elephant,cube,3.875,2.339,-0.876
5.98,Elephant,cube,3.878,2.324,-0.789
6.08,Elephant,cube,3.881,2.306,-0.698
6.18,Elephant,cube,3.885,2.286,-0.612
6.28,Elephant,cube,3.890,2.266,-0.525
6.38,Elephant,cube,3.896,2.242,-0.440
6.41,Elephant,cube,3.781,2.638,-0.408
6.42,Elephant,cube,3.782,2.638,-0.399
6.42,Elephant,cube,3.781,2.640,-0.395
6.43,Elephant,cube,3.781,2.640,-0.391
6.43,Elephant,cube,3.781,2.640,-0.389
6.43,Elephant,cube,3.781,2.640,-0.387
6.44,Elephant,cube,3.781,2.640,-0.385
6.44,Elephant,cube,3.780,2.641,-0.383
6.45,Elephant,cube,3.780,2.641,-0.378
6.45,Elephant,cube,3.780,2.641,-0.375
6.45,Elephant,cube,3.780,2.641,-0.373
6.46,Elephant,cube,3.780,2.641,-0.371
6.46,Elephant,cube,3.780,2.641,-0.368
6.46,Elephant,cube,3.779,2.643,-0.367
6.47,Elephant,cube,3.779,2.643,-0.365
6.47,Elephant,cube,3.779,2.643,-0.362
6.47,Elephant,cube,3.779,2.643,-0.360
6.48,Elephant,cube,3.779,2.643,-0.355
6.48,Elephant,cube,3.778,2.644,-0.353
6.48,Elephant,cube,3.778,2.644,-0.351
6.49,Elephant,cube,3.896,2.240,-0.355
6.49,Elephant,cube,3.772,2.664,-0.353
6.49,Elephant,cube,3.778,2.644,-0.349
6.50,Elephant,cube,3.772,2.662,-0.350
6.50,Elephant,cube,3.778,2.642,-0.346
6.51,Elephant,cube,3.774,2.657,-0.337
6.51,Elephant,cube,3.780,2.637,-0.333
6.51,Elephant,cube,3.775,2.655,-0.333
6.51,Elephant,cube,3.780,2.635,-0.329
6.51,Elephant,cube,3.775,2.654,-0.330
6.51,Elephant,cube,3.781,2.634,-0.326
6.52,Elephant,cube,3.775,2.653,-0.328
6.52,Elephant,cube,3.781,2.633,-0.324
6.52,Elephant,cube,3.775,2.651,-0.325
6.52,Elephant,cube,3.781,2.631,-0.321
6.53,Elephant,cube,3.776,2.650,-0.322
6.53,Elephant,cube,3.782,2.630,-0.319
6.53,Elephant,cube,3.776,2.648,-0.318
6.53,Elephant,cube,3.782,2.628,-0.315
6.53,Elephant,cube,3.776,2.647,-0.316
6.53,Elephant,cube,3.782,2.627,-0.312
6.54,Elephant,cube,3.777,2.646,-0.313
6.54,Elephant,cube,3.783,2.626,-0.310
6.54,Elephant,cube,3.777,2.643,-0.308
6.54,Elephant,cube,3.783,2.623,-0.304
6.55,Elephant,cube,3.778,2.641,-0.305
6.55,Elephant,cube,3.784,2.621,-0.301
6.55,Elephant,cube,3.778,2.640,-0.302
6.55,Elephant,cube,3.784,2.620,-0.298
6.57,Elephant,cube,3.778,2.638,-0.299
6.57,Elephant,cube,3.784,2.618,-0.295
6.57,Elephant,cube,3.780,2.632,-0.285
6.57,Elephant,cube,3.786,2.612,-0.282
6.58,Elephant,cube,3.781,2.630,-0.280
6.58,Elephant,cube,3.787,2.610,-0.277
6.58,Elephant,cube,3.781,2.629,-0.278
6.58,Elephant,cube,3.787,2.609,-0.274
6.58,Elephant,cube,3.781,2.627,-0.276
6.58,Elephant,cube,3.787,2.607,-0.272
6.59,Elephant,cube,3.781,2.626,-0.273
6.59,Elephant,cube,3.787,2.606,-0.270
6.59,Elephant,cube,3.895,2.245,-0.273
6.59,Elephant,cube,3.782,2.625,-0.270
6.59,Elephant,cube,3.788,2.605,-0.267
6.60,Elephant,cube,3.782,2.623,-0.267
6.60,Elephant,cube,3.788,2.603,-0.263
6.61,Elephant,cube,3.783,2.619,-0.257
6.61,Elephant,cube,3.789,2.599,-0.253
6.61,Elephant,cube,3.784,2.617,-0.253
6.61,Elephant,cube,3.790,2.597,-0.249
6.61,Elephant,cube,3.785,2.615,-0.249
6.61,Elephant,cube,3.791,2.595,-0.245
6.62,Elephant,cube,3.785,2.614,-0.246
6.62,Elephant,cube,3.791,2.594,-0.242
6.62,Elephant,cube,3.785,2.612,-0.243
6.62,Elephant,cube,3.791,2.592,-0.240
6.62,Elephant,cube,3.785,2.611,-0.241
6.62,Elephant,cube,3.791,2.591,-0.237
6.63,Elephant,cube,3.786,2.610,-0.239
6.63,Elephant,cube,3.792,2.590,-0.235
6.63,Elephant,cube,3.786,2.609,-0.237
6.63,Elephant,cube,3.792,2.589,-0.234
6.64,Elephant,cube,3.786,2.608,-0.235
6.64,Elephant,cube,3.792,2.588,-0.231
6.64,Elephant,cube,3.786,2.606,-0.233
6.64,Elephant,cube,3.792,2.586,-0.229
6.64,Elephant,cube,3.787,2.605,-0.230
6.64,Elephant,cube,3.793,2.585,-0.226
6.65,Elephant,cube,3.787,2.604,-0.228
6.65,Elephant,cube,3.793,2.584,-0.224
6.65,Elephant,cube,3.787,2.603,-0.225
6.65,Elephant,cube,3.793,2.583,-0.222
6.65,Elephant,cube,3.788,2.602,-0.224
6.65,Elephant,cube,3.794,2.582,-0.220
6.66,Elephant,cube,3.788,2.601,-0.222
6.66,Elephant,cube,3.794,2.581,-0.218
6.66,Elephant,cube,3.788,2.599,-0.219
6.66,Elephant,cube,3.794,2.579,-0.216
6.67,Elephant,cube,3.788,2.598,-0.217
6.67,Elephant,cube,3.794,2.578,-0.214
6.67,Elephant,cube,3.789,2.597,-0.215
6.67,Elephant,cube,3.795,2.577,-0.212
6.67,Elephant,cube,3.789,2.596,-0.213
6.67,Elephant,cube,3.795,2.576,-0.210
6.68,Elephant,cube,3.789,2.595,-0.210
6.68,Elephant,cube,3.796,2.575,-0.207
6.68,Elephant,cube,3.789,2.593,-0.209
6.68,Elephant,cube,3.795,2.573,-0.205
6.68,Elephant,cube,3.790,2.593,-0.207
6.68,Elephant,cube,3.796,2.573,-0.203
6.69,Elephant,cube,3.790,2.592,-0.205
6.69,Elephant,cube,3.796,2.572,-0.201
6.69,Elephant,cube,3.893,2.249,-0.205
6.69,Elephant,cube,3.790,2.591,-0.203
6.69,Elephant,cube,3.796,2.571,-0.199
6.71,Elephant,cube,3.790,2.589,-0.201
6.71,Elephant,cube,3.796,2.569,-0.197
6.73,Elephant,cube,3.792,2.582,-0.188
6.73,Elephant,cube,3.798,2.562,-0.185
6.74,Elephant,cube,3.794,2.575,-0.176
6.74,Elephant,cube,3.800,2.555,-0.173
6.74,Elephant,cube,3.794,2.574,-0.172
6.74,Elephant,cube,3.801,2.554,-0.169
6.75,Elephant,cube,3.795,2.573,-0.170
6.75,Elephant,cube,3.801,2.553,-0.167
6.75,Elephant,cube,3.795,2.572,-0.169
6.75,Elephant,cube,3.801,2.552,-0.166
6.76,Elephant,cube,3.795,2.571,-0.167
6.76,Elephant,cube,3.802,2.551,-0.163
6.76,Elephant,cube,3.796,2.570,-0.164
6.76,Elephant,cube,3.802,2.550,-0.161
6.76,Elephant,cube,3.796,2.568,-0.162
6.76,Elephant,cube,3.802,2.548,-0.159
6.77,Elephant,cube,3.796,2.567,-0.160
6.77,Elephant,cube,3.802,2.547,-0.157
6.77,Elephant,cube,3.797,2.566,-0.158
6.77,Elephant,cube,3.803,2.546,-0.155
6.77,Elephant,cube,3.797,2.565,-0.156
6.77,Elephant,cube,3.803,2.545,-0.153
6.78,Elephant,cube,3.797,2.563,-0.154
6.78,Elephant,cube,3.803,2.543,-0.151
6.78,Elephant,cube,3.797,2.562,-0.152
6.78,Elephant,cube,3.803,2.542,-0.149
6.79,Elephant,cube,3.798,2.561,-0.150
6.79,Elephant,cube,3.804,2.541,-0.147
6.79,Elephant,cube,3.798,2.560,-0.148
6.79,Elephant,cube,3.804,2.540,-0.145
6.79,Elephant,cube,3.891,2.253,-0.149
6.79,Elephant,cube,3.798,2.559,-0.147
6.79,Elephant,cube,3.804,2.539,-0.144
6.80,Elephant,cube,3.798,2.558,-0.145
6.80,Elephant,cube,3.804,2.538,-0.142
6.81,Elephant,cube,3.799,2.554,-0.138
6.81,Elephant,cube,3.806,2.534,-0.135
6.81,Elephant,cube,3.800,2.553,-0.136
6.81,Elephant,cube,3.806,2.533,-0.133
6.81,Elephant,cube,3.800,2.552,-0.134
6.81,Elephant,cube,3.806,2.532,-0.131
6.82,Elephant,cube,3.800,2.551,-0.133
6.82,Elephant,cube,3.807,2.531,-0.130
6.82,Elephant,cube,3.800,2.550,-0.131
6.82,Elephant,cube,3.807,2.530,-0.128
6.83,Elephant,cube,3.801,2.549,-0.129
6.83,Elephant,cube,3.807,2.529,-0.126
