time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.08,-0.0121,2.8044,-4.8298,-0.0024,2.7349,-5.4946,-0.0173,2.4994,-4.5259,0.2986,3.2479,-5.2260,-0.0053,2.3741,-5.3513,-0.0017,2.4579,-5.5792,0.3807,2.0630,-5.8443,0.0000,2.4080,-7.8533,0.0000,2.3997,-7.1828,0.0000,2.4080,-7.8533,0.0000,2.4603,-6.4517,-0.0216,0.7118,-4.4875,-0.0235,0.8915,-4.3358,-0.0234,1.1379,-4.3064,-0.0231,1.4354,-4.2856,-0.0200,2.0874,-4.4008,-0.0222,1.7196,-4.3009,0.0000,2.0373,-8.6833,-0.3805,2.2321,-8.1352,0.3805,2.2321,-8.1352,0.3805,1.3575,-7.9666,-0.3807,1.3576,-7.9662,0.0000,2.5827,-5.8349,-0.3091,3.2492,-5.2350,0.0000,2.2989,-8.5882,0.0000,1.4855,-8.7027,0.0000,1.2236,-8.6998,0.0000,1.7348,-8.7046,0.3874,2.8122,-4.8542,0.3874,2.8122,-4.8542,0.6606,3.3018,-5.6393,0.3805,2.5267,-6.0562,0.9342,3.2035,-5.8861,0.5110,2.7913,-5.4161,-0.3804,2.0628,-5.8447,0.3805,1.4805,-6.1422,-0.3803,1.4805,-6.1429,0.3810,0.3626,-6.0985,0.3874,2.8122,-4.8542,0.3805,0.3141,-8.0608,-0.4107,2.8138,-4.8660,-0.4107,2.8138,-4.8660,-0.6584,3.3046,-5.6589,-0.3805,2.5267,-6.0562,-0.9260,3.2075,-5.9127,-0.5176,2.7935,-5.4313,-0.3805,0.3626,-6.0988,-0.4107,2.8138,-4.8660,-0.3810,0.3141,-8.0598
0.18,-0.0435,2.8072,-4.8344,-0.0086,2.7242,-5.4968,-0.0619,2.5085,-4.5249,0.2846,3.2412,-5.2272,-0.0189,2.3664,-5.3465,-0.0061,2.4455,-5.5758,0.3807,2.0496,-5.8408,0.0000,2.3934,-7.8533,0.0000,2.3835,-7.1829,0.0000,2.3934,-7.8533,0.0000,2.4442,-6.4517,-0.0711,0.7498,-4.5632,-0.0793,0.9096,-4.3907,-0.0808,1.1511,-4.3339,-0.0812,1.4461,-4.2901,-0.0716,2.0991,-4.3918,-0.0792,1.7307,-4.2943,0.0000,2.0302,-8.7019,-0.3805,2.2175,-8.1352,0.3805,2.2175,-8.1352,0.3805,1.3446,-7.9579,-0.3810,1.3448,-7.9568,0.0000,2.5681,-5.8353,-0.3223,3.2450,-5.2596,0.0000,2.2843,-8.5882,0.0000,1.4798,-8.7180,0.0000,1.2182,-8.7038,0.0000,1.7286,-8.7330,0.3567,2.8126,-4.8435,0.3567,2.8126,-4.8435,0.6934,3.2861,-5.5955,0.3805,2.5115,-6.0564,1.0083,3.1835,-5.7845,0.5017,2.7799,-5.3997,-0.3804,2.0493,-5.8414,0.3805,1.4687,-6.1417,-0.3803,1.4685,-6.1424,0.3816,0.3508,-6.0977,0.3567,2.8126,-4.8435,0.3805,0.3021,-8.0611,-0.4403,2.8177,-4.8861,-0.4403,2.8177,-4.8861,-0.6888,3.2949,-5.6694,-0.3805,2.5115,-6.0564,-0.9862,3.1966,-5.8869,-0.5255,2.7864,-5.4546,-0.3805,0.3506,-6.0982,-0.4403,2.8177,-4.8861,-0.3817,0.3022,-8.0592
0.29,-0.0974,2.8317,-4.8455,-0.0194,2.7261,-5.5010,-0.1386,2.5437,-4.5281,0.2593,3.2503,-5.2299,-0.0424,2.3736,-5.3398,-0.0139,2.4449,-5.5703,0.3807,2.0468,-5.8350,0.0000,2.3888,-7.8533,0.0000,2.3759,-7.1829,0.0000,2.3888,-7.8533,0.0000,2.4366,-6.4518,-0.1368,0.8508,-4.6855,-0.1598,0.9720,-4.4853,-0.1696,1.1987,-4.3848,-0.1765,1.4857,-4.3037,-0.1603,2.1391,-4.3825,-0.1753,1.7698,-4.2892,0.0000,2.0407,-8.7310,-0.3805,2.2128,-8.1352,0.3805,2.2128,-8.1352,0.3805,1.3431,-7.9433,-0.3811,1.3434,-7.9420,0.0000,2.5635,-5.8359,-0.3440,3.2564,-5.3027,0.0000,2.2796,-8.5882,0.0000,1.4944,-8.7408,0.0000,1.2345,-8.7085,0.0000,1.7411,-8.7774,0.3025,2.8346,-4.8282,0.3025,2.8346,-4.8282,0.7314,3.2830,-5.5142,0.3805,2.5059,-6.0568,1.0898,3.1784,-5.5922,0.4837,2.7822,-5.3721,-0.3805,2.0465,-5.8357,0.3805,1.4688,-6.1413,-0.3805,1.4685,-6.1420,0.3818,0.3509,-6.0966,0.3025,2.8346,-4.8282,0.3805,0.3021,-8.0613,-0.4899,2.8426,-4.9238,-0.4899,2.8426,-4.9238,-0.7343,3.2979,-5.6910,-0.3805,2.5059,-6.0568,-1.0683,3.2010,-5.8475,-0.5375,2.7926,-5.4953,-0.3805,0.3506,-6.0978,-0.4899,2.8426,-4.9238,-0.3819,0.3023,-8.0588
0.39,-0.1521,2.8556,-4.8611,-0.0305,2.7279,-5.5059,-0.2162,2.5786,-4.5378,0.2320,3.2601,-5.2341,-0.0662,2.3811,-5.3351,-0.0218,2.4446,-5.5653,0.3807,2.0440,-5.8291,0.0000,2.3841,-7.8533,0.0000,2.3675,-7.1830,0.0000,2.3841,-7.8533,0.0000,2.4283,-6.4519,-0.1846,0.9595,-4.7822,-0.2250,1.0430,-4.5660,-0.2486,1.2503,-4.4316,-0.2673,1.5263,-4.3204,-0.2497,2.1791,-4.3808,-0.2703,1.8093,-4.2906,0.0000,2.0521,-8.7550,-0.3805,2.2081,-8.1352,0.3805,2.2081,-8.1352,0.3805,1.3417,-7.9286,-0.3810,1.3421,-7.9272,0.0000,2.5588,-5.8368,-0.3650,3.2656,-5.3478,0.0000,2.2749,-8.5882,0.0000,1.5117,-8.7593,0.0000,1.2539,-8.7128,0.0000,1.7548,-8.8146,0.2458,2.8579,-4.8168,0.2458,2.8579,-4.8168,0.7459,3.2852,-5.4344,0.3805,2.4999,-6.0573,1.1126,3.1864,-5.4006,0.4630,2.7868,-5.3452,-0.3805,2.0544,-5.8094,0.3805,1.4690,-6.1411,-0.3805,1.5010,-6.1583,0.3817,0.3512,-6.0958,0.2458,2.8579,-4.8168,0.3805,0.3025,-8.0613,-0.5383,2.8651,-4.9661,-0.5383,2.8651,-4.9661,-0.7688,3.2992,-5.7228,-0.3805,2.4999,-6.0573,-1.1227,3.2063,-5.8300,-0.5474,2.7961,-5.5376,-0.3805,0.3861,-6.0659,-0.5383,2.8651,-4.9661,-0.3817,0.3027,-8.0587
0.49,-0.1978,2.8749,-4.8778,-0.0399,2.7294,-5.5109,-0.2810,2.6069,-4.5513,0.2080,3.2686,-5.2393,-0.0862,2.3874,-5.3329,-0.0285,2.4445,-5.5619,0.3808,2.0414,-5.8236,0.0000,2.3798,-7.8533,0.0000,2.3589,-7.1831,0.0000,2.3798,-7.8533,0.0000,2.4199,-6.4520,-0.2182,1.0403,-4.8325,-0.2732,1.0995,-4.6116,-0.3103,1.2923,-4.4598,-0.3409,1.5604,-4.3328,-0.3244,2.2119,-4.3856,-0.3488,1.8423,-4.2955,0.0000,2.0592,-8.7692,-0.3805,2.2039,-8.1352,0.3805,2.2039,-8.1352,0.3805,1.3407,-7.9155,-0.3808,1.3410,-7.9141,0.0000,2.5545,-5.8378,-0.3815,3.2715,-5.3870,0.0000,2.2707,-8.5882,0.0000,1.5235,-8.7702,0.0000,1.2669,-8.7181,0.0000,1.7637,-8.8372,0.1969,2.8781,-4.8110,0.1969,2.8781,-4.8110,0.7406,3.2901,-5.3830,0.3805,2.4942,-6.0579,1.0935,3.2016,-5.2689,0.4438,2.7922,-5.3239,-0.3805,2.0705,-5.7744,0.3805,1.4694,-6.1412,-0.3805,1.5687,-6.1941,0.3814,0.3516,-6.0956,0.1969,2.8781,-4.8110,0.3805,0.3032,-8.0610,-0.5773,2.8819,-5.0050,-0.5773,2.8819,-5.0050,-0.7832,3.2975,-5.7648,-0.3805,2.4942,-6.0579,-1.1475,3.2111,-5.8371,-0.5540,2.7971,-5.5739,-0.3805,0.4734,-5.9665,-0.5773,2.8819,-5.0050,-0.3813,0.3034,-8.0584
0.59,-0.1822,2.7751,-4.8550,-0.0376,2.6747,-5.5000,-0.2501,2.4847,-4.5446,0.2043,3.2015,-5.2001,-0.0708,2.3210,-5.3434,-0.0207,2.3941,-5.5696,0.3735,2.0042,-5.8251,0.0000,2.3659,-7.8533,0.0000,2.3411,-7.1832,0.0000,2.3659,-7.8533,0.0000,2.3925,-6.4514,-0.1741,0.9166,-4.8029,-0.2254,0.9674,-4.5790,-0.2632,1.1570,-4.4235,-0.2925,1.4314,-4.3104,-0.2825,2.0836,-4.3911,-0.2999,1.7154,-4.2942,0.0018,2.0255,-8.7469,-0.3816,2.1920,-8.1349,0.3793,2.1857,-8.1341,0.3721,1.3111,-7.9657,-0.3732,1.3458,-7.8569,-0.0001,2.5146,-5.8346,-0.3888,3.1987,-5.3327,-0.0001,2.2539,-8.5878,0.0055,1.4832,-8.7403,0.0059,1.2240,-8.7027,0.0036,1.7263,-8.7957,0.2140,2.7841,-4.7979,0.2140,2.7841,-4.7979,0.7105,3.2441,-5.4164,0.3804,2.4587,-6.0559,1.0791,3.1554,-5.3757,0.4492,2.7378,-5.3213,-0.3738,2.0278,-5.7835,0.3618,1.4605,-6.1887,-0.3630,1.5747,-6.2552,0.3623,0.3444,-6.1125,0.2140,2.7841,-4.7979,0.3626,0.2878,-8.1899,-0.5650,2.7804,-4.9720,-0.5650,2.7804,-4.9720,-0.7552,3.2371,-5.7439,-0.3805,2.4587,-6.0559,-1.1051,3.1449,-5.8642,-0.5546,2.7330,-5.5457,-0.3627,0.5148,-5.8973,-0.5650,2.7804,-4.9720,-0.3633,0.3018,-7.9441
0.70,-0.1379,2.6670,-4.7955,-0.0291,2.6163,-5.4531,-0.1828,2.3537,-4.5037,0.2204,3.1254,-5.1298,-0.0471,2.2517,-5.3212,-0.0113,2.3419,-5.5438,0.3666,1.9685,-5.7889,0.0000,2.3607,-7.8183,0.0000,2.3289,-7.1486,0.0000,2.3607,-7.8183,0.0000,2.3673,-6.4160,-0.0793,0.7680,-4.7301,-0.1236,0.8207,-4.5052,-0.1621,1.0128,-4.3528,-0.1932,1.2943,-4.2595,-0.2014,1.9463,-4.3656,-0.2052,1.5786,-4.2652,0.0065,1.9844,-8.6711,-0.3839,2.1879,-8.0976,0.3768,2.1693,-8.0951,0.3632,1.2857,-7.9836,-0.3666,1.3406,-7.8236,0.0000,2.4734,-5.7962,-0.3792,3.1193,-5.2286,-0.0007,2.2353,-8.5507,0.0246,1.4344,-8.6579,0.0280,1.1729,-8.6437,0.0133,1.6817,-8.6872,0.2606,2.6805,-4.7602,0.2606,2.6805,-4.7602,0.6731,3.1955,-5.4379,0.3805,2.4232,-6.0189,1.0358,3.1118,-5.5206,0.4661,2.6770,-5.2980,-0.3665,1.9741,-5.7781,0.3439,1.4597,-6.1995,-0.3473,1.5077,-6.2364,0.3446,0.3423,-6.1466,0.2606,2.6805,-4.7602,0.3452,0.2843,-8.2910,-0.5269,2.6725,-4.8900,-0.5269,2.6725,-4.8900,-0.7104,3.1813,-5.6659,-0.3805,2.4232,-6.0189,-1.0257,3.0907,-5.8603,-0.5489,2.6666,-5.4653,-0.3440,0.5037,-5.7428,-0.5269,2.6725,-4.8900,-0.3464,0.2933,-7.8434
0.80,-0.0881,2.5649,-4.7146,-0.0189,2.5587,-5.3795,-0.1120,2.2326,-4.4420,0.2447,3.0490,-5.0389,-0.0252,2.1860,-5.2711,-0.0040,2.2910,-5.4891,0.3602,1.9298,-5.7338,0.0000,2.3639,-7.7550,0.0001,2.3228,-7.0858,0.0000,2.3639,-7.7550,0.0002,2.3451,-6.3525,0.0463,0.6452,-4.6527,0.0048,0.6949,-4.4266,-0.0413,0.8852,-4.2741,-0.0838,1.1698,-4.1959,-0.1195,1.8205,-4.3174,-0.1075,1.4525,-4.2190,0.0096,1.9555,-8.5807,-0.3880,2.1932,-8.0299,0.3719,2.1536,-8.0247,0.3531,1.2705,-7.9099,-0.3612,1.3432,-7.7652,0.0003,2.4326,-5.7298,-0.3597,3.0410,-5.1017,-0.0027,2.2159,-8.4832,0.0478,1.4047,-8.5868,0.0631,1.1434,-8.5926,0.0213,1.6527,-8.5888,0.3117,2.5816,-4.7026,0.3117,2.5816,-4.7026,0.6433,3.1476,-5.4080,0.3807,2.3891,-5.9540,0.9647,3.0772,-5.6008,0.4841,2.6160,-5.2508,-0.3589,1.9461,-5.7026,0.3275,1.4607,-6.1886,-0.3308,1.4360,-6.1111,0.3283,0.3420,-6.1981,0.3117,2.5816,-4.7026,0.3285,0.3122,-8.3324,-0.4821,2.5711,-4.7851,-0.4821,2.5711,-4.7851,-0.6764,3.1301,-5.5451,-0.3802,2.3891,-5.9539,-0.9492,3.0518,-5.7997,-0.5390,2.6025,-5.3571,-0.3266,0.4611,-5.5623,-0.4821,2.5711,-4.7851,-0.3296,0.2960,-7.7587
0.90,-0.0362,2.4624,-4.6147,-0.0079,2.4928,-5.2819,-0.0429,2.1156,-4.3597,0.2754,2.9651,-4.9317,-0.0070,2.1147,-5.1938,0.0007,2.2315,-5.4066,0.3537,1.8752,-5.6760,0.0000,2.3717,-7.6657,0.0002,2.3181,-6.9974,0.0000,2.3717,-7.6657,0.0004,2.3197,-6.2637,0.1802,0.5597,-4.5875,0.1409,0.5918,-4.3578,0.0842,0.7697,-4.1943,0.0241,1.0520,-4.1193,-0.0428,1.7007,-4.2445,-0.0155,1.3318,-4.1527,0.0063,1.9294,-8.4819,-0.3949,2.2066,-7.9339,0.3623,2.1322,-7.9237,0.3405,1.2766,-7.6770,-0.3566,1.3473,-7.7025,0.0005,2.3831,-5.6381,-0.3317,2.9576,-4.9578,-0.0081,2.1903,-8.3862,0.0620,1.3827,-8.5286,0.1094,1.1272,-8.5610,0.0195,1.6276,-8.5089,0.3635,2.4804,-4.6262,0.3635,2.4804,-4.6262,0.6369,3.0867,-5.3308,0.3809,2.3483,-5.8639,0.9143,3.0314,-5.5866,0.5020,2.5454,-5.1812,-0.3514,1.9532,-5.5427,0.3120,1.4541,-6.1749,-0.3126,1.3772,-5.8504,0.3123,0.3435,-6.3099,0.3635,2.4804,-4.6262,0.3132,0.3827,-8.2226,-0.4338,2.4705,-4.6605,-0.4338,2.4705,-4.6605,-0.6605,3.0707,-5.3867,-0.3800,2.3483,-5.8637,-0.9135,3.0089,-5.6652,-0.5256,2.5327,-5.2254,-0.3107,0.3924,-5.3195,-0.4338,2.4705,-4.6605,-0.3115,0.3008,-7.6871
1.00,-0.0003,2.3912,-4.4972,-0.0002,2.4414,-5.1638,0.0010,2.0370,-4.2525,0.3018,2.9009,-4.8123,0.0011,2.0608,-5.0871,0.0007,2.1839,-5.2964,0.3482,1.8305,-5.5951,0.0000,2.3775,-7.5516,0.0000,2.3144,-6.8841,0.0000,2.3775,-7.5516,0.0000,2.2991,-6.1506,0.2486,0.5273,-4.5153,0.2156,0.5352,-4.2825,0.1561,0.6956,-4.1027,0.0861,0.9733,-4.0198,0.0024,1.6213,-4.1403,0.0368,1.2514,-4.0552,-0.0001,1.9081,-8.3614,-0.4008,2.2179,-7.8144,0.3528,2.1139,-7.7990,0.3295,1.3242,-7.3875,-0.3544,1.3483,-7.6273,0.0000,2.3427,-5.5233,-0.3059,2.8986,-4.8124,-0.0142,2.1687,-8.2645,0.0656,1.3669,-8.4374,0.1432,1.1234,-8.4946,0.0124,1.6083,-8.4044,0.3988,2.4066,-4.5253,0.3988,2.4066,-4.5253,0.6464,3.0319,-5.2232,0.3805,2.3151,-5.7499,0.9043,2.9831,-5.4998,0.5139,2.4872,-5.0836,-0.3473,1.9786,-5.3684,0.3005,1.4427,-6.1198,-0.3001,1.3546,-5.5593,0.3002,0.3511,-6.3648,0.3988,2.4066,-4.5253,0.3005,0.4461,-7.9582,-0.3994,2.4037,-4.5255,-0.3994,2.4037,-4.5255,-0.6511,3.0271,-5.2237,-0.3805,2.3151,-5.7499,-0.9086,2.9765,-5.5004,-0.5148,2.4835,-5.0839,-0.3000,0.3496,-5.0680,-0.3994,2.4037,-4.5255,-0.2997,0.3023,-7.6468
