collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
9.98,Elephant,cube (1),-3.775,2.090,3.735
9.98,Elephant,cube (1),-3.775,2.090,3.735
9.99,Elephant,cube (1),-3.775,2.090,3.735
10.00,Elephant,cube (1),-3.775,2.090,3.735
10.00,Elephant,cube (1),-3.775,2.090,3.735
10.01,Elephant,cube (1),-3.775,2.090,3.735
10.02,Elephant,cube (1),-3.775,2.090,3.735
10.02,Elephant,cube (1),-3.775,2.090,3.735
10.03,Elephant,cube (1),-3.775,2.090,3.735
10.04,Elephant,cube (1),-3.775,2.090,3.735
10.04,Elephant,cube (1),-3.775,2.090,3.735
10.05,Elephant,cube (1),-3.775,2.090,3.735
10.07,Elephant,cube (1),-3.775,2.090,3.735
10.08,Elephant,cube (1),-3.775,2.090,3.735
10.09,Elephant,cube (1),-3.775,2.090,3.735
10.10,Elephant,cube (1),-3.775,2.090,3.735
10.10,Elephant,cube (1),-3.775,2.090,3.735
10.11,Elephant,cube (1),-3.775,2.090,3.735
10.12,Elephant,cube (1),-3.775,2.090,3.735
10.12,Elephant,cube (1),-3.775,2.090,3.735
10.13,Elephant,cube (1),-3.775,2.090,3.735
10.14,Elephant,cube (1),-3.775,2.090,3.735
10.14,Elephant,cube (1),-3.775,2.090,3.735
10.15,Elephant,cube (1),-3.775,2.090,3.735
10.15,Elephant,cube (1),-3.775,2.090,3.735
10.17,Elephant,cube (1),-3.775,2.090,3.735
10.18,Elephant,cube (1),-3.775,2.090,3.735
10.19,Elephant,cube (1),-3.775,2.090,3.735
10.20,Elephant,cube (1),-3.775,2.090,3.735
10.20,Elephant,cube (1),-3.775,2.090,3.735
10.21,Elephant,cube (1),-3.775,2.090,3.735
10.22,Elephant,cube (1),-3.775,2.090,3.735
10.22,Elephant,cube (1),-3.775,2.090,3.735
10.23,Elephant,cube (1),-3.775,2.090,3.735
10.24,Elephant,cube (1),-3.775,2.090,3.735
10.24,Elephant,cube (1),-3.775,2.090,3.735
10.25,Elephant,cube (1),-3.775,2.090,3.735
10.26,Elephant,cube (1),-3.775,2.090,3.735
10.28,Elephant,cube (1),-3.775,2.090,3.735
10.29,Elephant,cube (1),-3.775,2.090,3.735
10.30,Elephant,cube (1),-3.775,2.090,3.735
10.30,Elephant,cube (1),-3.775,2.090,3.735
10.31,Elephant,cube (1),-3.775,2.090,3.735
10.32,Elephant,cube (1),-3.775,2.090,3.735
10.32,Elephant,cube (1),-3.775,2.090,3.735
10.33,Elephant,cube (1),-3.775,2.090,3.735
10.34,Elephant,cube (1),-3.775,2.090,3.735
10.34,Elephant,cube (1),-3.775,2.090,3.735
10.35,Elephant,cube (1),-3.775,2.090,3.735
10.36,Elephant,cube (1),-3.775,2.090,3.735
10.36,Elephant,cube (1),-3.775,2.090,3.735
10.38,Elephant,cube (1),-3.775,2.090,3.735
10.39,Elephant,cube (1),-3.775,2.090,3.735
10.40,Elephant,cube (1),-3.775,2.090,3.735
10.41,Elephant,cube (1),-3.775,2.090,3.735
10.42,Elephant,cube (1),-3.775,2.090,3.735
10.42,Elephant,cube (1),-3.775,2.090,3.735
10.43,Elephant,cube (1),-3.775,2.090,3.735
10.44,Elephant,cube (1),-3.775,2.090,3.735
10.45,Elephant,cube (1),-3.775,2.090,3.735
10.45,Elephant,cube (1),-3.775,2.090,3.735
10.46,Elephant,cube (1),-3.775,2.090,3.735
10.47,Elephant,cube (1),-3.775,2.090,3.735
10.49,Elephant,cube (1),-3.775,2.090,3.735
10.50,Elephant,cube (1),-3.775,2.090,3.735
10.51,Elephant,cube (1),-3.775,2.090,3.735
10.52,Elephant,cube (1),-3.775,2.090,3.735
10.52,Elephant,cube (1),-3.775,2.090,3.735
10.53,Elephant,cube (1),-3.775,2.090,3.735
10.54,Elephant,cube (1),-3.775,2.090,3.735
10.54,Elephant,cube (1),-3.775,2.090,3.735
10.55,Elephant,cube (1),-3.775,2.090,3.735
10.56,Elephant,cube (1),-3.775,2.090,3.735
10.57,Elephant,cube (1),-3.775,2.090,3.735
10.57,Elephant,cube (1),-3.775,2.090,3.735
10.59,Elephant,cube (1),-3.775,2.090,3.735
10.60,Elephant,cube (1),-3.775,2.090,3.735
10.61,Elephant,cube (1),-3.775,2.090,3.735
10.61,Elephant,cube (1),-3.775,2.090,3.735
10.62,Elephant,cube (1),-3.775,2.090,3.735
10.63,Elephant,cube (1),-3.775,2.090,3.735
10.63,Elephant,cube (1),-3.775,2.090,3.735
10.64,Elephant,cube (1),-3.775,2.090,3.735
10.65,Elephant,cube (1),-3.775,2.090,3.735
10.65,Elephant,cube (1),-3.775,2.090,3.735
10.66,Elephant,cube (1),-3.775,2.090,3.735
10.67,Elephant,cube (1),-3.775,2.090,3.735
10.67,Elephant,cube (1),-3.775,2.090,3.735
10.69,Elephant,cube (1),-3.775,2.090,3.735
10.70,Elephant,cube (1),-3.775,2.090,3.735
10.71,Elephant,cube (1),-3.775,2.090,3.735
10.72,Elephant,cube (1),-3.775,2.090,3.735
10.72,Elephant,cube (1),-3.775,2.090,3.735
10.73,Elephant,cube (1),-3.775,2.090,3.735
10.74,Elephant,cube (1),-3.775,2.090,3.735
10.75,Elephant,cube (1),-3.775,2.090,3.735
10.75,Elephant,cube (1),-3.775,2.090,3.735
10.76,Elephant,cube (1),-3.775,2.090,3.735
10.77,Elephant,cube (1),-3.775,2.090,3.735
10.77,Elephant,cube (1),-3.775,2.090,3.735
10.78,Elephant,cube (1),-3.775,2.090,3.735
10.79,Elephant,cube (1),-3.775,2.090,3.735
10.80,Elephant,cube (1),-3.775,2.090,3.735
10.81,Elephant,cube (1),-3.775,2.090,3.735
10.82,Elephant,cube (1),-3.775,2.090,3.735
10.83,Elephant,cube (1),-3.775,2.090,3.735
10.84,Elephant,cube (1),-3.775,2.090,3.735
10.85,Elephant,cube (1),-3.775,2.090,3.735
10.85,Elephant,cube (1),-3.775,2.090,3.735
10.86,Elephant,cube (1),-3.775,2.090,3.735
10.87,Elephant,cube (1),-3.775,2.090,3.735
10.88,Elephant,cube (1),-3.775,2.090,3.735
10.88,Elephant,cube (1),-3.775,2.090,3.735
10.90,Elephant,cube (1),-3.775,2.090,3.735
10.91,Elephant,cube (1),-3.775,2.090,3.735
10.92,Elephant,cube (1),-3.775,2.090,3.735
10.92,Elephant,cube (1),-3.775,2.090,3.735
10.93,Elephant,cube (1),-3.775,2.090,3.735
10.94,Elephant,cube (1),-3.775,2.090,3.735
10.94,Elephant,cube (1),-3.775,2.090,3.735
10.95,Elephant,cube (1),-3.775,2.090,3.735
10.96,Elephant,cube (1),-3.775,2.090,3.735
10.97,Elephant,cube (1),-3.775,2.090,3.735
10.97,Elephant,cube (1),-3.775,2.090,3.735
10.98,Elephant,cube (1),-3.775,2.090,3.735
10.99,Elephant,cube (1),-3.775,2.090,3.735
11.01,Elephant,cube (1),-3.775,2.090,3.735
11.02,Elephant,cube (1),-3.775,2.090,3.735
11.03,Elephant,cube (1),-3.775,2.090,3.735
11.04,Elephant,cube (1),-3.775,2.090,3.735
11.04,Elephant,cube (1),-3.775,2.090,3.735
11.05,Elephant,cube (1),-3.775,2.090,3.735
11.06,Elephant,cube (1),-3.775,2.090,3.735
11.07,Elephant,cube (1),-3.775,2.090,3.735
11.07,Elephant,cube (1),-3.775,2.090,3.735
11.08,Elephant,cube (1),-3.775,2.090,3.735
11.09,Elephant,cube (1),-3.775,2.090,3.735
11.09,Elephant,cube (1),-3.775,2.090,3.735
11.11,Elephant,cube (1),-3.775,2.090,3.735
11.12,Elephant,cube (1),-3.775,2.090,3.735
11.13,Elephant,cube (1),-3.775,2.090,3.735
11.13,Elephant,cube (1),-3.775,2.090,3.735
11.14,Elephant,cube (1),-3.775,2.090,3.735
11.15,Elephant,cube (1),-3.775,2.090,3.735
11.16,Elephant,cube (1),-3.775,2.090,3.735
11.16,Elephant,cube (1),-3.775,2.090,3.735
11.17,Elephant,cube (1),-3.775,2.090,3.735
11.18,Elephant,cube (1),-3.775,2.090,3.735
11.19,Elephant,cube (1),-3.775,2.090,3.735
11.19,Elephant,cube (1),-3.775,2.090,3.735
11.20,Elephant,cube (1),-3.775,2.090,3.735
11.21,Elephant,cube (1),-3.775,2.090,3.735
11.22,Elephant,cube (1),-3.775,2.090,3.735
11.23,Elephant,cube (1),-3.775,2.090,3.735
11.24,Elephant,cube (1),-3.775,2.090,3.735
11.24,Elephant,cube (1),-3.775,2.090,3.735
11.25,Elephant,cube (1),-3.775,2.090,3.735
11.26,Elephant,cube (1),-3.775,2.090,3.735
11.27,Elephant,cube (1),-3.775,2.090,3.735
11.28,Elephant,cube (1),-3.775,2.090,3.735
11.28,Elephant,cube (1),-3.775,2.090,3.735
11.29,Elephant,cube (1),-3.775,2.090,3.735
11.30,Elephant,cube (1),-3.775,2.090,3.735
11.30,Elephant,cube (1),-3.775,2.090,3.735
11.32,Elephant,cube (1),-3.775,2.090,3.735
11.33,Elephant,cube (1),-3.775,2.090,3.735
11.34,Elephant,cube (1),-3.775,2.090,3.735
11.34,Elephant,cube (1),-3.775,2.090,3.735
11.35,Elephant,cube (1),-3.775,2.090,3.735
11.36,Elephant,cube (1),-3.775,2.090,3.735
11.37,Elephant,cube (1),-3.775,2.090,3.735
11.37,Elephant,cube (1),-3.775,2.090,3.735
11.38,Elephant,cube (1),-3.775,2.090,3.735
11.39,Elephant,cube (1),-3.775,2.090,3.735
11.39,Elephant,cube (1),-3.775,2.090,3.735
11.40,Elephant,cube (1),-3.775,2.090,3.735
11.41,Elephant,cube (1),-3.775,2.090,3.735
11.43,Elephant,cube (1),-3.775,2.090,3.735
11.45,Elephant,cube (1),-3.775,2.090,3.735
11.45,Elephant,cube (1),-3.775,2.090,3.735
11.46,Elephant,cube (1),-3.775,2.090,3.735
11.47,Elephant,cube (1),-3.775,2.090,3.735
11.47,Elephant,cube (1),-3.775,2.090,3.735
11.48,Elephant,cube (1),-3.775,2.090,3.735
