time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0073,1.8027,-5.8932,5.8700,1.5249,5.3101,12.6544,0.0000,0.00,True,-1.2927,-1.7103,-1.6987,1.3048,1.7944,3.3814,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.08,-0.0073,1.8027,-5.8932,-5.3467,1.5278,5.3095,12.4132,0.0000,0.00,True,-1.2927,-1.7103,-1.6987,1.3048,1.7944,3.3814,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.19,-0.0281,1.8011,-5.8909,5.8700,1.5250,5.3100,12.6619,0.2094,0.00,True,-1.4008,-1.7104,-1.7222,1.4295,1.8002,3.4028,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.19,-0.0281,1.8011,-5.8909,-5.3499,1.5250,5.3098,12.4038,0.1774,36.80,True,-1.4008,-1.7104,-1.7222,1.4295,1.8002,3.4028,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0249,3.8098,-3.8499,3.0251,6.8098
0.29,-0.0572,1.8180,-5.8884,5.8700,1.5250,5.3100,12.6737,0.3373,0.00,True,-1.5033,-1.7106,-1.7624,1.5107,1.8098,3.4252,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.29,-0.0572,1.8180,-5.8884,-5.3498,1.5250,5.3099,12.3895,0.3378,0.00,True,-1.5033,-1.7106,-1.7624,1.5107,1.8098,3.4252,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.39,-0.0904,1.8407,-5.8875,5.8700,1.5250,5.3100,12.6890,0.4030,0.00,True,-1.5619,-1.7103,-1.8004,1.4833,1.8197,3.4398,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.39,-0.0904,1.8407,-5.8875,-5.3498,1.5250,5.3099,12.3751,0.4030,0.00,True,-1.5619,-1.7103,-1.8004,1.4833,1.8197,3.4398,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.49,-0.1181,1.8640,-5.8876,5.8700,1.5250,5.3100,12.7027,0.3616,0.00,True,-1.5782,-1.7097,-1.8222,1.3860,1.8290,3.4421,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.49,-0.1181,1.8640,-5.8876,-5.3498,1.5250,5.3099,12.3640,0.3616,0.00,True,-1.5782,-1.7097,-1.8222,1.3860,1.8290,3.4421,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
