time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0032,1.7999,-5.8936,5.8700,1.5249,5.3101,12.6527,0.0000,0.00,True,-1.2714,-1.7102,-1.6978,1.2776,1.7938,3.3766,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.08,-0.0032,1.7999,-5.8936,-5.3467,1.5278,5.3095,12.4152,0.0000,0.00,True,-1.2714,-1.7102,-1.6978,1.2776,1.7938,3.3766,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.08,-0.0032,1.7999,-5.8936,1.3002,1.5249,14.7902,20.7266,0.0000,0.00,True,-1.2714,-1.7102,-1.6978,1.2776,1.7938,3.3766,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1998,0.0251,13.2901,2.8003,3.0248,16.2903
0.18,-0.0278,1.8009,-5.8909,5.8700,1.5250,5.3100,12.6618,0.2480,0.00,True,-1.3996,-1.7105,-1.7219,1.4282,1.8001,3.4025,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.18,-0.0278,1.8009,-5.8909,-5.3499,1.5250,5.3098,12.4039,0.2195,43.68,True,-1.3996,-1.7105,-1.7219,1.4282,1.8001,3.4025,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0249,3.8098,-3.8499,3.0251,6.8098
0.18,-0.0278,1.8009,-5.8909,1.3001,1.5250,14.7901,20.7254,0.2471,0.00,True,-1.3996,-1.7105,-1.7219,1.4282,1.8001,3.4025,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.29,-0.0532,1.8156,-5.8887,5.8700,1.5250,5.3100,12.6720,0.2940,0.00,True,-1.4927,-1.7106,-1.7573,1.5062,1.8085,3.4227,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.29,-0.0532,1.8156,-5.8887,-5.3498,1.5250,5.3099,12.3914,0.2945,0.00,True,-1.4927,-1.7106,-1.7573,1.5062,1.8085,3.4227,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.29,-0.0532,1.8156,-5.8887,1.3001,1.5250,14.7901,20.7251,0.2940,0.00,True,-1.4927,-1.7106,-1.7573,1.5062,1.8085,3.4227,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.39,-0.0673,1.7799,-5.8938,5.8700,1.5250,5.3100,12.6824,0.3879,0.00,True,-1.5352,-1.7260,-1.7758,1.5126,1.7523,3.4106,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.39,-0.0673,1.7799,-5.8938,-5.3498,1.5250,5.3099,12.3892,0.3879,0.00,True,-1.5352,-1.7260,-1.7758,1.5126,1.7523,3.4106,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
