time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.09,-0.0109,2.8044,-4.8296,-0.0021,2.7354,-5.4945,-0.0156,2.4992,-4.5260,0.2991,3.2483,-5.2260,-0.0048,2.3745,-5.3515,-0.0015,2.4585,-5.5794,0.3807,2.0636,-5.8445,0.0000,2.4087,-7.8533,0.0000,2.4004,-7.1828,0.0000,2.4087,-7.8533,0.0000,2.4610,-6.4517,-0.0196,0.7106,-4.4847,-0.0212,0.8911,-4.3338,-0.0211,1.1376,-4.3054,-0.0208,1.4352,-4.2855,-0.0180,2.0871,-4.4012,-0.0201,1.7193,-4.3012,0.0000,2.0377,-8.6826,-0.3805,2.2327,-8.1352,0.3805,2.2327,-8.1352,0.3805,1.3581,-7.9669,-0.3807,1.3582,-7.9665,0.0000,2.5833,-5.8349,-0.3085,3.2495,-5.2341,0.0000,2.2995,-8.5882,0.0000,1.4859,-8.7021,0.0000,1.2240,-8.6996,0.0000,1.7352,-8.7035,0.3885,2.8123,-4.8546,0.3885,2.8123,-4.8546,0.6593,3.3026,-5.6408,0.3805,2.5273,-6.0562,0.9313,3.2044,-5.8895,0.5113,2.7919,-5.4167,-0.3804,2.0634,-5.8449,0.3805,1.4811,-6.1422,-0.3804,1.4811,-6.1429,0.3810,0.3632,-6.0986,0.3885,2.8123,-4.8546,0.3805,0.3146,-8.0608,-0.4095,2.8138,-4.8653,-0.4095,2.8138,-4.8653,-0.6573,3.3051,-5.6584,-0.3805,2.5273,-6.0562,-0.9237,3.2080,-5.9135,-0.5173,2.7939,-5.4305,-0.3805,0.3632,-6.0988,-0.4095,2.8138,-4.8653,-0.3809,0.3147,-8.0599
0.19,-0.0474,2.8090,-4.8350,-0.0094,2.7243,-5.4971,-0.0675,2.5111,-4.5249,0.2828,3.2418,-5.2273,-0.0206,2.3669,-5.3459,-0.0067,2.4455,-5.5753,0.3807,2.0494,-5.8404,0.0000,2.3931,-7.8533,0.0000,2.3830,-7.1829,0.0000,2.3931,-7.8533,0.0000,2.4436,-6.4517,-0.0767,0.7568,-4.5728,-0.0858,0.9137,-4.3979,-0.0877,1.1545,-4.3376,-0.0884,1.4490,-4.2909,-0.0781,2.1020,-4.3909,-0.0863,1.7335,-4.2936,0.0000,2.0309,-8.7042,-0.3805,2.2171,-8.1352,0.3805,2.2171,-8.1352,0.3805,1.3445,-7.9568,-0.3811,1.3447,-7.9557,0.0000,2.5678,-5.8353,-0.3239,3.2459,-5.2627,0.0000,2.2839,-8.5882,0.0000,1.4807,-8.7198,0.0000,1.2193,-8.7041,0.0000,1.7295,-8.7365,0.3528,2.8142,-4.8422,0.3528,2.8142,-4.8422,0.6970,3.2857,-5.5897,0.3805,2.5111,-6.0565,1.0164,3.1827,-5.7708,0.5004,2.7799,-5.3976,-0.3804,2.0491,-5.8410,0.3805,1.4687,-6.1416,-0.3804,1.4685,-6.1424,0.3816,0.3508,-6.0976,0.3528,2.8142,-4.8422,0.3805,0.3021,-8.0611,-0.4440,2.8196,-4.8887,-0.4440,2.8196,-4.8887,-0.6925,3.2951,-5.6707,-0.3805,2.5111,-6.0565,-0.9933,3.1968,-5.8835,-0.5265,2.7869,-5.4576,-0.3805,0.3506,-6.0981,-0.4440,2.8196,-4.8887,-0.3818,0.3022,-8.0591
0.29,-0.0994,2.8326,-4.8460,-0.0198,2.7262,-5.5012,-0.1415,2.5450,-4.5283,0.2583,3.2506,-5.2300,-0.0433,2.3739,-5.3396,-0.0142,2.4449,-5.5701,0.3807,2.0467,-5.8348,0.0000,2.3886,-7.8533,0.0000,2.3756,-7.1829,0.0000,2.3886,-7.8533,0.0000,2.4363,-6.4518,-0.1389,0.8547,-4.6895,-0.1624,0.9745,-4.4885,-0.1727,1.2006,-4.3866,-0.1799,1.4871,-4.3043,-0.1636,2.1406,-4.3823,-0.1789,1.7713,-4.2891,0.0000,2.0411,-8.7320,-0.3805,2.2127,-8.1352,0.3805,2.2127,-8.1352,0.3805,1.3430,-7.9428,-0.3811,1.3433,-7.9414,0.0000,2.5633,-5.8359,-0.3448,3.2568,-5.3043,0.0000,2.2795,-8.5882,0.0000,1.4950,-8.7416,0.0000,1.2352,-8.7086,0.0000,1.7416,-8.7789,0.3004,2.8354,-4.8277,0.3004,2.8354,-4.8277,0.7324,3.2830,-5.5112,0.3805,2.5056,-6.0568,1.0916,3.1785,-5.5849,0.4830,2.7823,-5.3711,-0.3805,2.0464,-5.8354,0.3805,1.4688,-6.1413,-0.3805,1.4685,-6.1420,0.3818,0.3509,-6.0966,0.3004,2.8354,-4.8277,0.3805,0.3021,-8.0613,-0.4917,2.8435,-4.9253,-0.4917,2.8435,-4.9253,-0.7358,3.2980,-5.6920,-0.3805,2.5056,-6.0568,-1.0707,3.2012,-5.8464,-0.5379,2.7927,-5.4969,-0.3805,0.3507,-6.0978,-0.4917,2.8435,-4.9253,-0.3819,0.3023,-8.0588
0.39,-0.1484,2.8343,-4.8561,-0.0299,2.7165,-5.5034,-0.2091,2.5524,-4.5365,0.2314,3.2461,-5.2256,-0.0628,2.3672,-5.3374,-0.0201,2.4341,-5.5669,0.3792,2.0369,-5.8288,0.0000,2.3809,-7.8533,0.0000,2.3642,-7.1830,0.0000,2.3809,-7.8533,0.0000,2.4232,-6.4517,-0.1736,0.9383,-4.7847,-0.2132,1.0172,-4.5667,-0.2373,1.2223,-4.4290,-0.2560,1.4986,-4.3183,-0.2401,2.1516,-4.3823,-0.2591,1.7819,-4.2915,0.0001,2.0471,-8.7526,-0.3805,2.2051,-8.1352,0.3804,2.2048,-8.1351,0.3788,1.3358,-7.9397,-0.3793,1.3428,-7.9124,0.0000,2.5507,-5.8360,-0.3663,3.2501,-5.3357,0.0000,2.2717,-8.5882,0.0002,1.5062,-8.7557,0.0002,1.2484,-8.7096,0.0001,1.7495,-8.8103,0.2497,2.8382,-4.8142,0.2497,2.8382,-4.8142,0.7415,3.2766,-5.4344,0.3805,2.4929,-6.0568,1.1094,3.1785,-5.4122,0.4642,2.7758,-5.3448,-0.3790,2.0475,-5.8087,0.3764,1.4665,-6.1491,-0.3764,1.5036,-6.1721,0.3776,0.3491,-6.0945,0.2497,2.8382,-4.8142,0.3768,0.2987,-8.0877,-0.5352,2.8433,-4.9587,-0.5352,2.8433,-4.9587,-0.7682,3.2865,-5.7124,-0.3805,2.4929,-6.0568,-1.1196,3.1925,-5.8268,-0.5474,2.7824,-5.5311,-0.3765,0.3892,-6.0737,-0.5352,2.8433,-4.9587,-0.3779,0.3020,-8.0325
0.49,-0.1537,2.7496,-4.8329,-0.0318,2.6650,-5.4847,-0.2093,2.4517,-4.5271,0.2182,3.1860,-5.1814,-0.0579,2.3076,-5.3355,-0.0161,2.3862,-5.5614,0.3724,2.0002,-5.8187,0.0000,2.3670,-7.8428,0.0000,2.3456,-7.1727,0.0000,2.3670,-7.8428,0.0000,2.3951,-6.4407,-0.1356,0.8843,-4.8011,-0.1795,0.9324,-4.5750,-0.2132,1.1203,-4.4165,-0.2395,1.3946,-4.3024,-0.2348,2.0478,-4.3800,-0.2471,1.6786,-4.2862,0.0025,2.0260,-8.7373,-0.3819,2.1934,-8.1243,0.3790,2.1855,-8.1232,0.3707,1.3078,-7.9719,-0.3723,1.3460,-7.8501,0.0000,2.5108,-5.8226,-0.3792,3.1831,-5.2928,-0.0001,2.2537,-8.5771,0.0076,1.4843,-8.7360,0.0081,1.2266,-8.6895,0.0049,1.7276,-8.7906,0.2441,2.7595,-4.7897,0.2441,2.7595,-4.7897,0.7208,3.2365,-5.4042,0.3805,2.4572,-6.0445,1.0910,3.1455,-5.3955,0.4608,2.7266,-5.3221,-0.3726,2.0200,-5.7825,0.3589,1.4592,-6.1862,-0.3600,1.5483,-6.2356,0.3598,0.3431,-6.1096,0.2441,2.7595,-4.7897,0.3598,0.2856,-8.2012,-0.5405,2.7556,-4.9360,-0.5405,2.7556,-4.9360,-0.7682,3.2292,-5.6819,-0.3805,2.4572,-6.0445,-1.1140,3.1342,-5.8113,-0.5504,2.7217,-5.5106,-0.3592,0.4598,-5.9772,-0.5405,2.7556,-4.9360,-0.3610,0.3007,-7.9198
0.59,-0.1289,2.6554,-4.7751,-0.0271,2.6091,-5.4342,-0.1701,2.3401,-4.4849,0.2249,3.1165,-5.1104,-0.0430,2.2435,-5.3044,-0.0099,2.3352,-5.5269,0.3659,1.9648,-5.7738,0.0000,2.3613,-7.8018,0.0001,2.3317,-7.1320,0.0000,2.3613,-7.8018,0.0001,2.3681,-6.3992,-0.0585,0.7764,-4.7373,-0.1011,0.8168,-4.5095,-0.1406,1.0010,-4.3480,-0.1736,1.2797,-4.2471,-0.1867,1.9323,-4.3476,-0.1877,1.5639,-4.2499,0.0074,1.9931,-8.6738,-0.3843,2.1885,-8.0805,0.3764,2.1680,-8.0778,0.3620,1.2836,-7.9727,-0.3659,1.3396,-7.8116,0.0002,2.4688,-5.7785,-0.3757,3.1099,-5.2027,-0.0008,2.2335,-8.5337,0.0278,1.4465,-8.6778,0.0315,1.1870,-8.6428,0.0152,1.6928,-8.7149,0.2699,2.6694,-4.7441,0.2699,2.6694,-4.7441,0.6922,3.1890,-5.3952,0.3806,2.4206,-6.0017,1.0582,3.1051,-5.4621,0.4695,2.6697,-5.2841,-0.3655,1.9715,-5.7608,0.3417,1.4594,-6.1885,-0.3453,1.4994,-6.2132,0.3428,0.3417,-6.1410,0.2699,2.6694,-4.7441,0.3432,0.2854,-8.2901,-0.5189,2.6607,-4.8654,-0.5189,2.6607,-4.8654,-0.7374,3.1731,-5.6150,-0.3803,2.4206,-6.0017,-1.0643,3.0816,-5.7887,-0.5471,2.6585,-5.4404,-0.3413,0.4834,-5.7450,-0.5189,2.6607,-4.8654,-0.3445,0.2922,-7.8209
0.70,-0.0798,2.5543,-4.6888,-0.0170,2.5486,-5.3544,-0.1012,2.2218,-4.4162,0.2499,3.0386,-5.0159,-0.0223,2.1758,-5.2461,-0.0031,2.2810,-5.4642,0.3594,1.9217,-5.7135,0.0000,2.3642,-7.7314,0.0002,2.3233,-7.0622,0.0000,2.3642,-7.7314,0.0004,2.3424,-6.3288,0.0669,0.6597,-4.6484,0.0268,0.6959,-4.4195,-0.0211,0.8774,-4.2572,-0.0667,1.1594,-4.1715,-0.1077,1.8102,-4.2897,-0.0931,1.4419,-4.1927,0.0099,1.9564,-8.5695,-0.3890,2.1943,-8.0053,0.3706,2.1497,-7.9994,0.3512,1.2689,-7.8680,-0.3604,1.3444,-7.7404,0.0005,2.4242,-5.7054,-0.3551,3.0307,-5.0730,-0.0034,2.2114,-8.4586,0.0513,1.4070,-8.5910,0.0702,1.1459,-8.5873,0.0224,1.6546,-8.5958,0.3200,2.5710,-4.6806,0.3200,2.5710,-4.6806,0.6596,3.1366,-5.3726,0.3809,2.3828,-5.9300,0.9916,3.0652,-5.5461,0.4872,2.6058,-5.2304,-0.3574,1.9442,-5.6709,0.3250,1.4609,-6.1766,-0.3276,1.4240,-6.0664,0.3259,0.3424,-6.2027,0.3200,2.5710,-4.6806,0.3259,0.3224,-8.3164,-0.4745,2.5605,-4.7555,-0.4745,2.5605,-4.7555,-0.6933,3.1188,-5.5003,-0.3800,2.3828,-5.9298,-0.9851,3.0392,-5.7326,-0.5368,2.5923,-5.3270,-0.3239,0.4596,-5.4996,-0.4745,2.5605,-4.7555,-0.3267,0.2973,-7.7346
0.80,-0.0287,2.4498,-4.5864,-0.0062,2.4816,-5.2538,-0.0335,2.1025,-4.3321,0.2805,2.9529,-4.9051,-0.0048,2.1033,-5.1665,0.0011,2.2206,-5.3791,0.3527,1.8653,-5.6547,0.0000,2.3722,-7.6385,0.0002,2.3172,-6.9703,0.0000,2.3722,-7.6385,0.0004,2.3152,-6.2367,0.1958,0.5655,-4.5747,0.1584,0.5878,-4.3436,0.1011,0.7588,-4.1732,0.0385,1.0392,-4.0930,-0.0327,1.6879,-4.2158,-0.0035,1.3188,-4.1254,0.0053,1.9247,-8.4550,-0.3962,2.2081,-7.9057,0.3604,2.1276,-7.8944,0.3383,1.2813,-7.6176,-0.3560,1.3475,-7.6797,0.0006,2.3737,-5.6106,-0.3268,2.9460,-4.9259,-0.0092,2.1850,-8.3575,0.0634,1.3792,-8.5087,0.1169,1.1254,-8.5452,0.0185,1.6235,-8.4868,0.3709,2.4675,-4.6014,0.3709,2.4675,-4.6014,0.6427,3.0748,-5.3035,0.3810,2.3407,-5.8366,0.9240,3.0192,-5.5549,0.5046,2.5336,-5.1575,-0.3502,1.9558,-5.5035,0.3097,1.4523,-6.1602,-0.3098,1.3700,-5.7917,0.3098,0.3447,-6.3178,0.3709,2.4675,-4.6014,0.3106,0.3971,-8.1790,-0.4267,2.4584,-4.6287,-0.4267,2.4584,-4.6287,-0.6635,3.0599,-5.3483,-0.3799,2.3407,-5.8364,-0.9256,2.9981,-5.6184,-0.5234,2.5219,-5.1927,-0.3085,0.3906,-5.2510,-0.4267,2.4584,-4.6287,-0.3087,0.3010,-7.6668
0.90,-0.0001,2.3913,-4.4679,-0.0001,2.4412,-5.1345,0.0001,2.0372,-4.2231,0.3035,2.8999,-4.7832,0.0001,2.0607,-5.0577,0.0001,2.1837,-5.2671,0.3482,1.8299,-5.5669,0.0000,2.3778,-7.5223,0.0000,2.3144,-6.8548,0.0000,2.3778,-7.5223,0.0000,2.2990,-6.1213,0.2437,0.5270,-4.4861,0.2106,0.5349,-4.2533,0.1515,0.6953,-4.0735,0.0821,0.9732,-3.9905,0.0004,1.6215,-4.1108,0.0336,1.2514,-4.0258,-0.0005,1.9079,-8.3319,-0.4009,2.2184,-7.7850,0.3526,2.1137,-7.7695,0.3293,1.3328,-7.3416,-0.3546,1.3480,-7.6017,0.0000,2.3425,-5.4940,-0.3042,2.8995,-4.7833,-0.0144,2.1685,-8.2351,0.0650,1.3667,-8.4082,0.1434,1.1237,-8.4666,0.0119,1.6080,-8.3751,0.3990,2.4054,-4.4961,0.3990,2.4054,-4.4961,0.6484,3.0297,-5.1944,0.3805,2.3149,-5.7207,0.9061,2.9800,-5.4710,0.5142,2.4855,-5.0545,-0.3473,1.9837,-5.3345,0.3005,1.4420,-6.0915,-0.3001,1.3578,-5.5188,0.3002,0.3511,-6.3398,0.3990,2.4054,-4.4961,0.3002,0.4474,-7.9008,-0.3991,2.4049,-4.4962,-0.3991,2.4049,-4.4962,-0.6492,3.0289,-5.1944,-0.3805,2.3149,-5.7207,-0.9068,2.9790,-5.4711,-0.5144,2.4849,-5.0545,-0.3001,0.3490,-5.0351,-0.3991,2.4049,-4.4962,-0.3000,0.3023,-7.6360
1.00,0.0013,2.3918,-4.3484,0.0010,2.4459,-5.0147,-0.0052,2.0362,-4.1058,0.3145,2.8961,-4.6612,-0.0064,2.0650,-4.9402,-0.0043,2.1893,-5.1488,0.3482,1.8354,-5.4432,0.0000,2.3730,-7.4028,0.0000,2.3139,-6.7350,0.0000,2.3730,-7.4028,0.0000,2.3018,-6.0014,0.1941,0.5164,-4.3666,0.1632,0.5265,-4.1337,0.1106,0.6897,-3.9543,0.0507,0.9702,-3.8726,-0.0132,1.6199,-3.9961,0.0106,1.2495,-3.9093,-0.0009,1.9113,-8.2142,-0.3999,2.2137,-7.6672,0.3544,2.1146,-7.6535,0.3294,1.3866,-7.1409,-0.3551,1.3397,-7.5016,-0.0001,2.3477,-5.3743,-0.2931,2.9081,-4.6599,-0.0133,2.1722,-8.1181,0.0593,1.3682,-8.2824,0.1319,1.1221,-8.3350,0.0099,1.6109,-8.2540,0.4005,2.3980,-4.3773,0.4005,2.3980,-4.3773,0.6611,3.0215,-5.0722,0.3804,2.3192,-5.6008,0.9173,2.9684,-5.3496,0.5163,2.4793,-4.9354,-0.3477,2.0020,-5.2031,0.3003,1.4523,-5.9713,-0.3003,1.3783,-5.3947,0.3000,0.3582,-6.2048,0.4005,2.3980,-4.3773,0.2986,0.4506,-7.6106,-0.3975,2.4138,-4.3757,-0.3975,2.4138,-4.3757,-0.6361,3.0471,-5.0695,-0.3805,2.3193,-5.6008,-0.8953,3.0041,-5.3460,-0.5122,2.4996,-4.9333,-0.3004,0.3514,-4.9509,-0.3975,2.4138,-4.3757,-0.3019,0.3031,-7.6438
