collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
5.66,Elephant,cube (1),-3.775,1.650,-1.275
5.77,Elephant,cube (1),-3.775,1.650,-1.180
5.87,Elephant,cube (1),-3.775,1.650,-1.084
5.97,Elephant,cube (1),-3.775,1.650,-0.990
6.07,Elephant,cube (1),-3.775,1.650,-0.896
6.17,Elephant,cube (1),-3.775,1.650,-0.805
6.28,Elephant,cube (1),-3.775,1.650,-0.715
6.38,Elephant,cube (1),-3.775,1.650,-0.627
6.48,Elephant,cube (1),-3.775,1.650,-0.541
6.58,Elephant,cube (1),-3.775,1.650,-0.457
6.60,Elephant,cube (1),-3.775,2.090,-0.438
6.60,Elephant,cube (1),-3.775,2.090,-0.431
6.60,Elephant,cube (1),-3.775,2.090,-0.428
6.61,Elephant,cube (1),-3.775,2.090,-0.425
6.61,Elephant,cube (1),-3.775,2.090,-0.423
6.61,Elephant,cube (1),-3.775,2.090,-0.420
6.62,Elephant,cube (1),-3.775,2.090,-0.417
6.62,Elephant,cube (1),-3.775,2.090,-0.415
6.62,Elephant,cube (1),-3.775,2.088,-0.414
6.63,Elephant,cube (1),-3.775,2.087,-0.413
6.63,Elephant,cube (1),-3.775,2.085,-0.411
6.63,Elephant,cube (1),-3.775,2.084,-0.410
6.64,Elephant,cube (1),-3.775,2.090,-0.402
6.64,Elephant,cube (1),-3.775,2.090,-0.399
6.64,Elephant,cube (1),-3.775,2.090,-0.396
6.65,Elephant,cube (1),-3.775,2.090,-0.393
6.65,Elephant,cube (1),-3.775,2.090,-0.389
6.65,Elephant,cube (1),-3.775,2.090,-0.387
6.66,Elephant,cube (1),-3.775,2.090,-0.384
6.66,Elephant,cube (1),-3.775,2.090,-0.382
6.66,Elephant,cube (1),-3.775,2.090,-0.379
6.67,Elephant,cube (1),-3.775,2.070,-0.396
6.67,Elephant,cube (1),-3.775,2.090,-0.374
6.67,Elephant,cube (1),-3.775,2.090,-0.371
6.68,Elephant,cube (1),-3.775,2.090,-0.369
6.68,Elephant,cube (1),-3.775,2.090,-0.366
6.68,Elephant,cube (1),-3.775,1.650,-0.375
6.68,Elephant,cube (1),-3.775,2.090,-0.364
6.70,Elephant,cube (1),-3.775,2.090,-0.361
6.71,Elephant,cube (1),-3.775,2.090,-0.344
6.72,Elephant,cube (1),-3.775,2.090,-0.339
6.72,Elephant,cube (1),-3.775,2.090,-0.335
6.72,Elephant,cube (1),-3.775,2.090,-0.332
6.73,Elephant,cube (1),-3.775,2.090,-0.329
6.73,Elephant,cube (1),-3.775,2.090,-0.327
6.73,Elephant,cube (1),-3.775,2.090,-0.324
6.74,Elephant,cube (1),-3.775,2.090,-0.321
6.74,Elephant,cube (1),-3.775,2.090,-0.319
6.74,Elephant,cube (1),-3.775,2.090,-0.317
6.74,Elephant,cube (1),-3.775,2.090,-0.314
6.75,Elephant,cube (1),-3.775,2.090,-0.311
6.75,Elephant,cube (1),-3.775,2.090,-0.309
6.75,Elephant,cube (1),-3.775,2.090,-0.306
6.76,Elephant,cube (1),-3.775,2.090,-0.304
6.76,Elephant,cube (1),-3.775,2.090,-0.302
6.76,Elephant,cube (1),-3.775,2.090,-0.299
6.77,Elephant,cube (1),-3.775,2.090,-0.296
6.77,Elephant,cube (1),-3.775,2.090,-0.293
6.77,Elephant,cube (1),-3.775,2.090,-0.291
6.78,Elephant,cube (1),-3.775,2.090,-0.288
6.78,Elephant,cube (1),-3.775,2.090,-0.285
6.78,Elephant,cube (1),-3.775,1.650,-0.293
6.78,Elephant,cube (1),-3.775,2.090,-0.282
6.80,Elephant,cube (1),-3.775,2.090,-0.280
6.81,Elephant,cube (1),-3.775,2.090,-0.266
6.81,Elephant,cube (1),-3.775,2.090,-0.263
6.81,Elephant,cube (1),-3.775,2.090,-0.260
6.82,Elephant,cube (1),-3.775,2.090,-0.257
6.82,Elephant,cube (1),-3.775,2.090,-0.255
6.82,Elephant,cube (1),-3.775,2.090,-0.252
6.83,Elephant,cube (1),-3.775,2.090,-0.250
6.83,Elephant,cube (1),-3.775,2.090,-0.247
6.83,Elephant,cube (1),-3.775,2.090,-0.244
6.84,Elephant,cube (1),-3.775,2.090,-0.242
6.84,Elephant,cube (1),-3.775,2.090,-0.239
6.84,Elephant,cube (1),-3.775,2.090,-0.236
6.85,Elephant,cube (1),-3.775,2.090,-0.233
6.85,Elephant,cube (1),-3.775,2.090,-0.231
6.86,Elephant,cube (1),-3.775,2.090,-0.228
6.86,Elephant,cube (1),-3.775,2.090,-0.224
6.86,Elephant,cube (1),-3.775,2.090,-0.219
6.87,Elephant,cube (1),-3.775,2.090,-0.216
6.87,Elephant,cube (1),-3.775,2.090,-0.213
6.87,Elephant,cube (1),-3.775,2.090,-0.211
6.88,Elephant,cube (1),-3.775,2.090,-0.208
6.88,Elephant,cube (1),-3.775,2.090,-0.206
6.89,Elephant,cube (1),-3.775,1.650,-0.213
6.89,Elephant,cube (1),-3.775,2.090,-0.204
6.90,Elephant,cube (1),-3.775,2.090,-0.202
6.90,Elephant,cube (1),-3.775,2.090,-0.194
6.91,Elephant,cube (1),-3.775,2.090,-0.192
6.91,Elephant,cube (1),-3.775,2.090,-0.190
6.91,Elephant,cube (1),-3.775,2.090,-0.188
6.92,Elephant,cube (1),-3.775,2.090,-0.187
6.92,Elephant,cube (1),-3.775,2.090,-0.185
6.92,Elephant,cube (1),-3.775,2.090,-0.183
6.93,Elephant,cube (1),-3.775,2.090,-0.181
6.93,Elephant,cube (1),-3.775,2.090,-0.179
6.93,Elephant,cube (1),-3.775,2.090,-0.177
6.94,Elephant,cube (1),-3.775,2.090,-0.176
6.94,Elephant,cube (1),-3.775,2.090,-0.174
6.94,Elephant,cube (1),-3.775,2.090,-0.172
6.95,Elephant,cube (1),-3.775,2.090,-0.171
6.95,Elephant,cube (1),-3.775,2.090,-0.168
6.95,Elephant,cube (1),-3.775,2.090,-0.167
6.95,Elephant,cube (1),-3.775,2.090,-0.165
6.96,Elephant,cube (1),-3.775,2.090,-0.163
6.96,Elephant,cube (1),-3.775,2.090,-0.161
6.97,Elephant,cube (1),-3.775,2.090,-0.159
6.97,Elephant,cube (1),-3.775,2.090,-0.158
6.97,Elephant,cube (1),-3.775,2.090,-0.156
6.97,Elephant,cube (1),-3.775,2.090,-0.154
6.98,Elephant,cube (1),-3.775,2.090,-0.153
6.98,Elephant,cube (1),-3.775,2.090,-0.151
6.98,Elephant,cube (1),-3.775,2.090,-0.149
6.99,Elephant,cube (1),-3.775,1.650,-0.156
6.99,Elephant,cube (1),-3.775,2.090,-0.147
7.00,Elephant,cube (1),-3.775,2.090,-0.146
7.01,Elephant,cube (1),-3.775,2.090,-0.138
7.01,Elephant,cube (1),-3.775,2.090,-0.135
7.02,Elephant,cube (1),-3.775,2.090,-0.132
7.02,Elephant,cube (1),-3.775,2.090,-0.130
7.02,Elephant,cube (1),-3.775,2.090,-0.129
7.03,Elephant,cube (1),-3.775,2.090,-0.127
