time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0071,1.8027,-5.8932,5.8405,1.5614,0.1409,8.4062,0.0000,0.00,True,-1.2916,-1.7103,-1.6987,1.3034,1.7944,3.3812,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3685,0.0264,-1.3514,7.3125,3.0964,1.6332
0.08,-0.0071,1.8027,-5.8932,-5.3500,1.5249,0.1490,8.0704,0.0000,0.00,True,-1.2916,-1.7103,-1.6987,1.3034,1.7944,3.3812,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0249,-1.3510,-3.8500,3.0250,1.6489
0.18,-0.0280,1.8010,-5.8909,5.8159,1.5791,0.1453,8.4045,0.1987,40.04,True,-1.4004,-1.7105,-1.7221,1.4290,1.8001,3.4027,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3663,0.0269,-1.3512,7.2654,3.1313,1.6418
0.18,-0.0280,1.8010,-5.8909,-5.3500,1.5250,0.1490,8.0548,0.2105,0.00,True,-1.4004,-1.7105,-1.7221,1.4290,1.8001,3.4027,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.28,-0.0571,1.8179,-5.8884,5.8290,1.5647,0.1479,8.4350,0.5261,158.94,True,-1.5031,-1.7106,-1.7623,1.5106,1.8098,3.4251,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3672,0.0266,-1.3511,7.2909,3.1028,1.6470
0.28,-0.0571,1.8179,-5.8884,-5.3500,1.5250,0.1490,8.0344,0.3373,0.00,True,-1.5031,-1.7106,-1.7623,1.5106,1.8098,3.4251,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.39,-0.0894,1.8399,-5.8875,5.8719,1.5273,0.1478,8.4888,0.9579,173.04,True,-1.5606,-1.7103,-1.7993,1.4857,1.8194,3.4395,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3703,0.0276,-1.3510,7.3735,3.0269,1.6465
0.39,-0.0894,1.8399,-5.8875,-5.3500,1.5250,0.1490,8.0133,0.3908,0.00,True,-1.5606,-1.7103,-1.7993,1.4857,1.8194,3.4395,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.49,-0.1165,1.8626,-5.8876,5.8700,1.5250,0.1479,8.5076,0.3557,91.35,True,-1.5785,-1.7097,-1.8214,1.3928,1.8283,3.4422,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3692,0.0248,-1.3511,7.3708,3.0251,1.6470
0.49,-0.1165,1.8626,-5.8876,-5.3500,1.5250,0.1490,7.9965,0.3538,0.00,True,-1.5785,-1.7097,-1.8214,1.3928,1.8283,3.4422,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.59,-0.1339,1.8772,-5.8870,5.8702,1.5250,0.1480,8.5202,0.2278,0.00,True,-1.5573,-1.7091,-1.8149,1.3220,1.8355,3.4385,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3693,0.0250,-1.3511,7.3711,3.0250,1.6471
0.59,-0.1339,1.8772,-5.8870,-5.3500,1.5250,0.1490,7.9853,0.2268,0.00,True,-1.5573,-1.7091,-1.8149,1.3220,1.8355,3.4385,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.69,-0.1364,1.8763,-5.8879,5.8702,1.5250,0.1480,8.5226,0.0282,0.00,True,-1.5126,-1.7090,-1.7680,1.3383,1.8349,3.4339,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3693,0.0250,-1.3511,7.3711,3.0250,1.6471
0.69,-0.1364,1.8763,-5.8879,-5.3500,1.5250,0.1490,7.9843,0.0282,0.00,True,-1.5126,-1.7090,-1.7680,1.3383,1.8349,3.4339,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.79,-0.1336,1.8602,-5.8952,5.8702,1.5250,0.1480,8.5252,0.1791,0.00,True,-1.4382,-1.7095,-1.7774,1.3961,1.8255,3.4232,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3693,0.0250,-1.3511,7.3711,3.0250,1.6471
