time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.08,-0.0124,2.8025,-4.8298,-0.0024,2.7330,-5.4946,-0.0176,2.4976,-4.5259,0.2985,3.2460,-5.2260,-0.0054,2.3722,-5.3513,-0.0017,2.4560,-5.5792,0.3807,2.0610,-5.8443,0.0000,2.4060,-7.8533,0.0000,2.3977,-7.1828,0.0000,2.4060,-7.8533,0.0000,2.4583,-6.4517,-0.0220,0.7102,-4.4881,-0.0239,0.8898,-4.3362,-0.0239,1.1362,-4.3066,-0.0235,1.4337,-4.2856,-0.0204,2.0856,-4.4008,-0.0227,1.7178,-4.3009,0.0000,2.0353,-8.6834,-0.3805,2.2301,-8.1352,0.3805,2.2301,-8.1352,0.3805,1.3555,-7.9665,-0.3807,1.3556,-7.9661,0.0000,2.5807,-5.8349,-0.3092,3.2473,-5.2352,0.0000,2.2969,-8.5882,0.0000,1.4836,-8.7028,0.0000,1.2217,-8.6999,0.0000,1.7329,-8.7048,0.3871,2.8103,-4.8541,0.3871,2.8103,-4.8541,0.6609,3.2999,-5.6390,0.3805,2.5247,-6.0563,0.9349,3.2015,-5.8854,0.5109,2.7894,-5.4159,-0.3804,2.0608,-5.8447,0.3805,1.4786,-6.1422,-0.3803,1.4786,-6.1429,0.3810,0.3607,-6.0985,0.3871,2.8103,-4.8541,0.3805,0.3121,-8.0608,-0.4109,2.8120,-4.8662,-0.4109,2.8120,-4.8662,-0.6587,3.3027,-5.6590,-0.3805,2.5247,-6.0562,-0.9264,3.2055,-5.9125,-0.5177,2.7916,-5.4315,-0.3805,0.3607,-6.0988,-0.4109,2.8120,-4.8662,-0.3810,0.3122,-8.0598
0.19,-0.0473,2.8089,-4.8350,-0.0094,2.7243,-5.4971,-0.0674,2.5110,-4.5249,0.2828,3.2418,-5.2273,-0.0206,2.3669,-5.3460,-0.0067,2.4455,-5.5753,0.3807,2.0494,-5.8404,0.0000,2.3931,-7.8533,0.0000,2.3830,-7.1829,0.0000,2.3931,-7.8533,0.0000,2.4436,-6.4517,-0.0766,0.7566,-4.5726,-0.0857,0.9137,-4.3977,-0.0876,1.1544,-4.3375,-0.0883,1.4490,-4.2909,-0.0780,2.1019,-4.3909,-0.0862,1.7335,-4.2936,0.0000,2.0309,-8.7042,-0.3805,2.2171,-8.1352,0.3805,2.2171,-8.1352,0.3805,1.3445,-7.9568,-0.3811,1.3447,-7.9557,0.0000,2.5678,-5.8353,-0.3239,3.2459,-5.2627,0.0000,2.2840,-8.5882,0.0000,1.4807,-8.7198,0.0000,1.2192,-8.7041,0.0000,1.7294,-8.7364,0.3529,2.8142,-4.8422,0.3529,2.8142,-4.8422,0.6969,3.2857,-5.5898,0.3805,2.5111,-6.0565,1.0162,3.1827,-5.7711,0.5004,2.7799,-5.3977,-0.3804,2.0491,-5.8410,0.3805,1.4687,-6.1416,-0.3804,1.4685,-6.1424,0.3816,0.3508,-6.0976,0.3529,2.8142,-4.8422,0.3805,0.3021,-8.0611,-0.4439,2.8196,-4.8887,-0.4439,2.8196,-4.8887,-0.6924,3.2951,-5.6707,-0.3805,2.5111,-6.0565,-0.9932,3.1968,-5.8836,-0.5265,2.7869,-5.4575,-0.3805,0.3506,-6.0981,-0.4439,2.8196,-4.8887,-0.3818,0.3022,-8.0591
0.29,-0.0968,2.8314,-4.8454,-0.0193,2.7261,-5.5009,-0.1378,2.5434,-4.5280,0.2596,3.2502,-5.2299,-0.0422,2.3736,-5.3399,-0.0138,2.4449,-5.5703,0.3807,2.0469,-5.8351,0.0000,2.3888,-7.8533,0.0000,2.3759,-7.1829,0.0000,2.3888,-7.8533,0.0000,2.4367,-6.4518,-0.1362,0.8496,-4.6843,-0.1590,0.9713,-4.4843,-0.1687,1.1982,-4.3843,-0.1754,1.4852,-4.3036,-0.1593,2.1387,-4.3825,-0.1743,1.7694,-4.2892,0.0000,2.0406,-8.7307,-0.3805,2.2129,-8.1352,0.3805,2.2129,-8.1352,0.3805,1.3431,-7.9435,-0.3811,1.3434,-7.9421,0.0000,2.5635,-5.8359,-0.3438,3.2563,-5.3022,0.0000,2.2797,-8.5882,0.0000,1.4942,-8.7406,0.0000,1.2343,-8.7084,0.0000,1.7409,-8.7769,0.3031,2.8343,-4.8283,0.3031,2.8343,-4.8283,0.7311,3.2830,-5.5151,0.3805,2.5059,-6.0568,1.0892,3.1784,-5.5943,0.4839,2.7821,-5.3724,-0.3805,2.0465,-5.8357,0.3805,1.4688,-6.1413,-0.3805,1.4685,-6.1420,0.3818,0.3509,-6.0966,0.3031,2.8343,-4.8283,0.3805,0.3021,-8.0613,-0.4893,2.8424,-4.9233,-0.4893,2.8424,-4.9233,-0.7338,3.2979,-5.6907,-0.3805,2.5059,-6.0568,-1.0675,3.2010,-5.8478,-0.5374,2.7925,-5.4949,-0.3805,0.3506,-6.0978,-0.4893,2.8424,-4.9233,-0.3819,0.3023,-8.0588
0.39,-0.1534,2.8562,-4.8615,-0.0308,2.7280,-5.5061,-0.2180,2.5794,-4.5381,0.2313,3.2603,-5.2343,-0.0668,2.3813,-5.3350,-0.0220,2.4446,-5.5652,0.3807,2.0439,-5.8290,0.0000,2.3839,-7.8533,0.0000,2.3672,-7.1830,0.0000,2.3839,-7.8533,0.0000,2.4281,-6.4519,-0.1856,0.9620,-4.7841,-0.2264,1.0447,-4.5677,-0.2504,1.2515,-4.4326,-0.2694,1.5273,-4.3208,-0.2519,2.1800,-4.3808,-0.2726,1.8102,-4.2907,0.0000,2.0523,-8.7555,-0.3805,2.2080,-8.1352,0.3805,2.2080,-8.1352,0.3805,1.3417,-7.9282,-0.3810,1.3420,-7.9268,0.0000,2.5586,-5.8368,-0.3655,3.2658,-5.3489,0.0000,2.2748,-8.5882,0.0000,1.5121,-8.7597,0.0000,1.2544,-8.7129,0.0000,1.7551,-8.8154,0.2444,2.8585,-4.8166,0.2444,2.8585,-4.8166,0.7459,3.2853,-5.4326,0.3805,2.4997,-6.0573,1.1125,3.1867,-5.3963,0.4625,2.7869,-5.3446,-0.3805,2.0549,-5.8083,0.3805,1.4690,-6.1411,-0.3805,1.5027,-6.1592,0.3817,0.3512,-6.0958,0.2444,2.8585,-4.8166,0.3805,0.3025,-8.0613,-0.5394,2.8656,-4.9671,-0.5394,2.8656,-4.9671,-0.7694,3.2992,-5.7237,-0.3805,2.4997,-6.0573,-1.1237,3.2064,-5.8299,-0.5476,2.7962,-5.5386,-0.3805,0.3880,-6.0641,-0.5394,2.8656,-4.9671,-0.3817,0.3027,-8.0587
0.49,-0.1997,2.8757,-4.8786,-0.0403,2.7294,-5.5112,-0.2836,2.6081,-4.5520,0.2070,3.2689,-5.2395,-0.0870,2.3877,-5.3329,-0.0288,2.4445,-5.5618,0.3808,2.0413,-5.8234,0.0000,2.3796,-7.8533,0.0000,2.3585,-7.1831,0.0000,2.3796,-7.8533,0.0000,2.4195,-6.4520,-0.2197,1.0429,-4.8335,-0.2753,1.1014,-4.6126,-0.3129,1.2939,-4.4605,-0.3439,1.5618,-4.3331,-0.3275,2.2132,-4.3859,-0.3521,1.8437,-4.2957,0.0000,2.0593,-8.7695,-0.3805,2.2037,-8.1352,0.3805,2.2037,-8.1352,0.3805,1.3407,-7.9149,-0.3808,1.3410,-7.9136,0.0000,2.5543,-5.8378,-0.3822,3.2717,-5.3887,0.0000,2.2705,-8.5882,0.0000,1.5238,-8.7704,0.0000,1.2671,-8.7185,0.0000,1.7639,-8.8378,0.1948,2.8789,-4.8108,0.1948,2.8789,-4.8108,0.7400,3.2902,-5.3817,0.3805,2.4939,-6.0580,1.0922,3.2023,-5.2649,0.4430,2.7924,-5.3231,-0.3805,2.0709,-5.7733,0.3805,1.4695,-6.1412,-0.3805,1.5714,-6.1957,0.3814,0.3517,-6.0956,0.1948,2.8789,-4.8108,0.3805,0.3032,-8.0610,-0.5789,2.8825,-5.0067,-0.5789,2.8825,-5.0067,-0.7832,3.2974,-5.7672,-0.3805,2.4939,-6.0580,-1.1478,3.2113,-5.8383,-0.5542,2.7971,-5.5755,-0.3805,0.4777,-5.9606,-0.5789,2.8825,-5.0067,-0.3813,0.3034,-8.0583
0.60,-0.2275,2.8865,-4.8911,-0.0460,2.7302,-5.5153,-0.3229,2.6241,-4.5634,0.1917,3.2740,-5.2438,-0.0991,2.3914,-5.3333,-0.0329,2.4445,-5.5609,0.3808,2.0392,-5.8190,0.0000,2.3765,-7.8533,0.0000,2.3505,-7.1833,0.0000,2.3765,-7.8533,0.0000,2.4117,-6.4522,-0.2483,1.0580,-4.8222,-0.3118,1.1183,-4.6039,-0.3550,1.3121,-4.4550,-0.3907,1.5814,-4.3318,-0.3727,2.2319,-4.3928,-0.4004,1.8637,-4.2981,0.0000,2.0520,-8.7646,-0.3805,2.2006,-8.1352,0.3805,2.2006,-8.1352,0.3805,1.3400,-7.9055,-0.3806,1.3403,-7.9043,0.0000,2.5513,-5.8391,-0.3918,3.2742,-5.4135,0.0000,2.2674,-8.5882,0.0000,1.5143,-8.7589,0.0000,1.2554,-8.7193,0.0000,1.7548,-8.8246,0.1644,2.8909,-4.8096,0.1644,2.8909,-4.8096,0.7236,3.2908,-5.3907,0.3805,2.4891,-6.0588,1.0700,3.2099,-5.2532,0.4303,2.7963,-5.3114,-0.3805,2.0717,-5.7661,0.3805,1.4700,-6.1414,-0.3805,1.5975,-6.2168,0.3810,0.3522,-6.0961,0.1644,2.8909,-4.8096,0.3805,0.3039,-8.0604,-0.6020,2.8912,-5.0325,-0.6020,2.8912,-5.0325,-0.7620,3.2915,-5.8228,-0.3805,2.4891,-6.0588,-1.1280,3.2107,-5.8929,-0.5574,2.7967,-5.5987,-0.3805,0.5456,-5.8360,-0.6020,2.8912,-5.0325,-0.3808,0.3040,-8.0581
0.70,-0.1880,2.7784,-4.8560,-0.0388,2.6771,-5.4997,-0.2584,2.4883,-4.5457,0.2011,3.2042,-5.1988,-0.0734,2.3236,-5.3430,-0.0215,2.3964,-5.5689,0.3737,2.0049,-5.8205,0.0000,2.3654,-7.8509,0.0000,2.3364,-7.1811,0.0000,2.3654,-7.8509,-0.0001,2.3885,-6.4493,-0.1898,0.8910,-4.7672,-0.2419,0.9575,-4.5477,-0.2780,1.1567,-4.4042,-0.3053,1.4358,-4.3026,-0.2920,2.0873,-4.3926,-0.3112,1.7201,-4.2922,0.0016,2.0082,-8.7166,-0.3815,2.1914,-8.1327,0.3794,2.1856,-8.1319,0.3725,1.3120,-7.9583,-0.3734,1.3456,-7.8535,-0.0001,2.5155,-5.8334,-0.3910,3.2015,-5.3357,-0.0001,2.2537,-8.5855,0.0049,1.4595,-8.6889,0.0055,1.1978,-8.6809,0.0030,1.7053,-8.7309,0.2077,2.7873,-4.7960,0.2077,2.7873,-4.7960,0.6874,3.2443,-5.4570,0.3804,2.4578,-6.0543,1.0581,3.1549,-5.4507,0.4467,2.7402,-5.3176,-0.3741,2.0252,-5.7848,0.3626,1.4612,-6.1841,-0.3637,1.5719,-6.2563,0.3628,0.3450,-6.1089,0.2077,2.7873,-4.7960,0.3634,0.2885,-8.1820,-0.5700,2.7838,-4.9758,-0.5700,2.7838,-4.9758,-0.7149,3.2379,-5.7812,-0.3806,2.4578,-6.0544,-1.0500,3.1453,-5.9379,-0.5555,2.7357,-5.5493,-0.3639,0.5325,-5.8424,-0.5700,2.7838,-4.9758,-0.3638,0.3022,-7.9470
0.80,-0.1399,2.6632,-4.7943,-0.0296,2.6192,-5.4522,-0.1850,2.3469,-4.5058,0.2186,3.1253,-5.1233,-0.0474,2.2532,-5.3240,-0.0113,2.3457,-5.5456,0.3668,1.9703,-5.7879,0.0000,2.3618,-7.8167,0.0000,2.3271,-7.1471,0.0000,2.3618,-7.8167,-0.0001,2.3664,-6.4145,-0.0882,0.7265,-4.6980,-0.1326,0.7975,-4.4782,-0.1689,1.0005,-4.3402,-0.1975,1.2863,-4.2599,-0.2032,1.9378,-4.3725,-0.2080,1.5705,-4.2710,0.0060,1.9766,-8.6463,-0.3837,2.1889,-8.0961,0.3770,2.1712,-8.0937,0.3636,1.2874,-7.9834,-0.3669,1.3409,-7.8244,-0.0001,2.4768,-5.7955,-0.3808,3.1194,-5.2234,-0.0006,2.2374,-8.5492,0.0231,1.4253,-8.6164,0.0266,1.1636,-8.6241,0.0122,1.6737,-8.6355,0.2585,2.6768,-4.7581,0.2585,2.6768,-4.7581,0.6475,3.1994,-5.4628,0.3804,2.4251,-6.0178,0.9946,3.1167,-5.5975,0.4651,2.6790,-5.2955,-0.3671,1.9782,-5.7729,0.3447,1.4590,-6.1953,-0.3483,1.5148,-6.2343,0.3453,0.3416,-6.1393,0.2585,2.6768,-4.7581,0.3461,0.2836,-8.2825,-0.5287,2.6691,-4.8896,-0.5287,2.6691,-4.8896,-0.6775,3.1863,-5.6842,-0.3806,2.4251,-6.0179,-0.9603,3.0974,-5.9241,-0.5494,2.6689,-5.4650,-0.3449,0.4968,-5.7704,-0.5287,2.6691,-4.8896,-0.3473,0.2936,-7.8449
0.90,-0.0881,2.5585,-4.7124,-0.0191,2.5608,-5.3773,-0.1113,2.2227,-4.4440,0.2438,3.0472,-5.0306,-0.0248,2.1867,-5.2736,-0.0038,2.2945,-5.4902,0.3602,1.9320,-5.7326,0.0000,2.3657,-7.7528,0.0000,2.3228,-7.0837,0.0000,2.3657,-7.7528,0.0001,2.3459,-6.3504,0.0460,0.6063,-4.6273,0.0036,0.6714,-4.4053,-0.0419,0.8710,-4.2650,-0.0832,1.1587,-4.1982,-0.1180,1.8089,-4.3249,-0.1061,1.4409,-4.2262,0.0095,1.9566,-8.5740,-0.3878,2.1949,-8.0278,0.3721,2.1562,-8.0227,0.3535,1.2721,-7.9165,-0.3613,1.3429,-7.7695,0.0001,2.4361,-5.7281,-0.3607,3.0389,-5.0933,-0.0026,2.2187,-8.4811,0.0471,1.4057,-8.5773,0.0619,1.1443,-8.5856,0.0211,1.6536,-8.5774,0.3117,2.5757,-4.7002,0.3117,2.5757,-4.7002,0.6299,3.1518,-5.4111,0.3805,2.3916,-5.9521,0.9313,3.0855,-5.6350,0.4838,2.6173,-5.2480,-0.3593,1.9481,-5.7017,0.3277,1.4602,-6.1846,-0.3314,1.4355,-6.1073,0.3286,0.3414,-6.1916,0.3117,2.5757,-4.7002,0.3291,0.3091,-8.3283,-0.4821,2.5648,-4.7826,-0.4821,2.5648,-4.7826,-0.6632,3.1341,-5.5452,-0.3804,2.3916,-5.9521,-0.9103,3.0603,-5.8261,-0.5392,2.6033,-5.3542,-0.3268,0.4392,-5.5984,-0.4821,2.5648,-4.7826,-0.3301,0.2958,-7.7570
1.00,-0.0379,2.4626,-4.6154,-0.0084,2.4964,-5.2824,-0.0447,2.1145,-4.3622,0.2738,2.9672,-4.9293,-0.0073,2.1179,-5.1963,0.0007,2.2358,-5.4085,0.3539,1.8788,-5.6752,0.0000,2.3724,-7.6660,0.0001,2.3185,-6.9977,0.0000,2.3724,-7.6660,0.0003,2.3213,-6.2641,0.1784,0.5411,-4.5747,0.1378,0.5825,-4.3468,0.0808,0.7663,-4.1901,0.0214,1.0504,-4.1215,-0.0443,1.6988,-4.2498,-0.0174,1.3300,-4.1576,0.0067,1.9327,-8.4846,-0.3945,2.2069,-7.9347,0.3629,2.1346,-7.9247,0.3412,1.2754,-7.6907,-0.3569,1.3474,-7.7043,0.0004,2.3871,-5.6387,-0.3332,2.9593,-4.9566,-0.0077,2.1929,-8.3870,0.0616,1.3859,-8.5304,0.1067,1.1287,-8.5511,0.0200,1.6311,-8.5134,0.3619,2.4810,-4.6261,0.3619,2.4810,-4.6261,0.6365,3.0912,-5.3267,0.3808,2.3515,-5.8643,0.9092,3.0379,-5.5878,0.5013,2.5490,-5.1806,-0.3517,1.9508,-5.5502,0.3126,1.4544,-6.1713,-0.3132,1.3738,-5.8560,0.3130,0.3429,-6.2987,0.3619,2.4810,-4.6261,0.3140,0.3766,-8.2282,-0.4354,2.4706,-4.6619,-0.4354,2.4706,-4.6619,-0.6620,3.0743,-5.3849,-0.3801,2.3515,-5.8642,-0.9087,3.0142,-5.6694,-0.5263,2.5356,-5.2267,-0.3112,0.3788,-5.3446,-0.4354,2.4706,-4.6619,-0.3125,0.3008,-7.6853
