time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.08,-0.0120,2.8029,-4.8298,-0.0024,2.7335,-5.4946,-0.0171,2.4979,-4.5260,0.2987,3.2465,-5.2260,-0.0052,2.3726,-5.3513,-0.0017,2.4565,-5.5793,0.3807,2.0616,-5.8443,0.0000,2.4066,-7.8533,0.0000,2.3982,-7.1828,0.0000,2.4066,-7.8533,0.0000,2.4588,-6.4517,-0.0214,0.7102,-4.4873,-0.0233,0.8900,-4.3356,-0.0232,1.1364,-4.3063,-0.0229,1.4339,-4.2856,-0.0198,2.0859,-4.4009,-0.0220,1.7181,-4.3009,0.0000,2.0358,-8.6832,-0.3805,2.2306,-8.1352,0.3805,2.2306,-8.1352,0.3805,1.3561,-7.9666,-0.3807,1.3561,-7.9662,0.0000,2.5812,-5.8349,-0.3090,3.2477,-5.2349,0.0000,2.2975,-8.5882,0.0000,1.4840,-8.7026,0.0000,1.2222,-8.6998,0.0000,1.7334,-8.7045,0.3875,2.8107,-4.8542,0.3875,2.8107,-4.8542,0.6605,3.3004,-5.6394,0.3805,2.5252,-6.0562,0.9340,3.2021,-5.8864,0.5110,2.7899,-5.4161,-0.3804,2.0614,-5.8447,0.3805,1.4791,-6.1422,-0.3803,1.4791,-6.1429,0.3810,0.3612,-6.0985,0.3875,2.8107,-4.8542,0.3805,0.3127,-8.0608,-0.4106,2.8123,-4.8659,-0.4106,2.8123,-4.8659,-0.6583,3.3032,-5.6588,-0.3805,2.5252,-6.0562,-0.9258,3.2061,-5.9127,-0.5176,2.7921,-5.4313,-0.3805,0.3612,-6.0988,-0.4106,2.8123,-4.8659,-0.3810,0.3127,-8.0599
0.18,-0.0472,2.8089,-4.8350,-0.0093,2.7243,-5.4971,-0.0672,2.5109,-4.5249,0.2829,3.2418,-5.2273,-0.0205,2.3669,-5.3460,-0.0067,2.4455,-5.5754,0.3807,2.0494,-5.8404,0.0000,2.3931,-7.8533,0.0000,2.3830,-7.1829,0.0000,2.3931,-7.8533,0.0000,2.4436,-6.4517,-0.0764,0.7563,-4.5723,-0.0854,0.9135,-4.3975,-0.0873,1.1543,-4.3374,-0.0880,1.4488,-4.2909,-0.0778,2.1018,-4.3909,-0.0859,1.7334,-4.2937,0.0000,2.0309,-8.7041,-0.3805,2.2172,-8.1352,0.3805,2.2172,-8.1352,0.3805,1.3445,-7.9568,-0.3811,1.3447,-7.9558,0.0000,2.5678,-5.8353,-0.3238,3.2459,-5.2625,0.0000,2.2840,-8.5882,0.0000,1.4806,-8.7197,0.0000,1.2192,-8.7041,0.0000,1.7294,-8.7363,0.3530,2.8141,-4.8423,0.3530,2.8141,-4.8423,0.6968,3.2857,-5.5900,0.3805,2.5111,-6.0565,1.0159,3.1827,-5.7716,0.5005,2.7799,-5.3978,-0.3804,2.0491,-5.8410,0.3805,1.4687,-6.1416,-0.3804,1.4685,-6.1424,0.3816,0.3508,-6.0976,0.3530,2.8141,-4.8423,0.3805,0.3021,-8.0611,-0.4438,2.8195,-4.8886,-0.4438,2.8195,-4.8886,-0.6923,3.2951,-5.6707,-0.3805,2.5111,-6.0565,-0.9929,3.1968,-5.8837,-0.5264,2.7869,-5.4574,-0.3805,0.3506,-6.0982,-0.4438,2.8195,-4.8886,-0.3817,0.3022,-8.0591
0.28,-0.0967,2.8313,-4.8453,-0.0193,2.7261,-5.5009,-0.1376,2.5433,-4.5280,0.2596,3.2502,-5.2299,-0.0421,2.3735,-5.3399,-0.0138,2.4449,-5.5703,0.3807,2.0469,-5.8351,0.0000,2.3889,-7.8533,0.0000,2.3760,-7.1829,0.0000,2.3889,-7.8533,0.0000,2.4367,-6.4518,-0.1361,0.8493,-4.6840,-0.1588,0.9711,-4.4841,-0.1684,1.1981,-4.3842,-0.1752,1.4851,-4.3035,-0.1591,2.1385,-4.3825,-0.1740,1.7693,-4.2892,0.0000,2.0405,-8.7306,-0.3805,2.2129,-8.1352,0.3805,2.2129,-8.1352,0.3805,1.3431,-7.9435,-0.3811,1.3434,-7.9422,0.0000,2.5635,-5.8359,-0.3437,3.2563,-5.3021,0.0000,2.2797,-8.5882,0.0000,1.4942,-8.7405,0.0000,1.2343,-8.7084,0.0000,1.7409,-8.7768,0.3033,2.8343,-4.8284,0.3033,2.8343,-4.8284,0.7311,3.2830,-5.5153,0.3805,2.5059,-6.0568,1.0891,3.1784,-5.5948,0.4840,2.7821,-5.3725,-0.3805,2.0466,-5.8357,0.3805,1.4688,-6.1413,-0.3805,1.4685,-6.1420,0.3818,0.3509,-6.0966,0.3033,2.8343,-4.8284,0.3805,0.3021,-8.0613,-0.4892,2.8423,-4.9232,-0.4892,2.8423,-4.9232,-0.7337,3.2979,-5.6907,-0.3805,2.5059,-6.0568,-1.0674,3.2010,-5.8479,-0.5374,2.7925,-5.4948,-0.3805,0.3506,-6.0978,-0.4892,2.8423,-4.9232,-0.3819,0.3023,-8.0588
0.39,-0.1516,2.8554,-4.8609,-0.0304,2.7279,-5.5059,-0.2155,2.5783,-4.5377,0.2322,3.2600,-5.2341,-0.0660,2.3811,-5.3351,-0.0217,2.4446,-5.5653,0.3807,2.0440,-5.8292,0.0000,2.3841,-7.8533,0.0000,2.3675,-7.1830,0.0000,2.3841,-7.8533,0.0000,2.4284,-6.4519,-0.1842,0.9586,-4.7815,-0.2245,1.0424,-4.5655,-0.2480,1.2498,-4.4313,-0.2665,1.5260,-4.3202,-0.2490,2.1787,-4.3808,-0.2696,1.8090,-4.2905,0.0000,2.0520,-8.7548,-0.3805,2.2081,-8.1352,0.3805,2.2081,-8.1352,0.3805,1.3417,-7.9287,-0.3810,1.3421,-7.9273,0.0000,2.5588,-5.8367,-0.3648,3.2655,-5.3474,0.0000,2.2750,-8.5882,0.0000,1.5115,-8.7592,0.0000,1.2538,-8.7128,0.0000,1.7547,-8.8144,0.2462,2.8577,-4.8169,0.2462,2.8577,-4.8169,0.7458,3.2852,-5.4350,0.3805,2.4999,-6.0573,1.1126,3.1862,-5.4021,0.4632,2.7868,-5.3454,-0.3805,2.0542,-5.8098,0.3805,1.4690,-6.1411,-0.3805,1.5004,-6.1580,0.3817,0.3512,-6.0958,0.2462,2.8577,-4.8169,0.3805,0.3025,-8.0613,-0.5379,2.8650,-4.9657,-0.5379,2.8650,-4.9657,-0.7686,3.2992,-5.7224,-0.3805,2.4999,-6.0573,-1.1224,3.2062,-5.8301,-0.5474,2.7961,-5.5372,-0.3805,0.3854,-6.0665,-0.5379,2.8650,-4.9657,-0.3817,0.3027,-8.0587
0.49,-0.1971,2.8746,-4.8775,-0.0397,2.7293,-5.5108,-0.2799,2.6065,-4.5510,0.2084,3.2684,-5.2392,-0.0858,2.3873,-5.3329,-0.0284,2.4445,-5.5619,0.3808,2.0414,-5.8237,0.0000,2.3799,-7.8533,0.0000,2.3591,-7.1831,0.0000,2.3799,-7.8533,0.0000,2.4201,-6.4520,-0.2176,1.0393,-4.8321,-0.2724,1.0987,-4.6112,-0.3093,1.2916,-4.4596,-0.3397,1.5598,-4.3327,-0.3232,2.2114,-4.3855,-0.3476,1.8418,-4.2954,0.0000,2.0591,-8.7690,-0.3805,2.2039,-8.1352,0.3805,2.2039,-8.1352,0.3805,1.3407,-7.9157,-0.3808,1.3411,-7.9143,0.0000,2.5546,-5.8378,-0.3813,3.2714,-5.3864,0.0000,2.2707,-8.5882,0.0000,1.5234,-8.7700,0.0000,1.2668,-8.7180,0.0000,1.7636,-8.8370,0.1977,2.8777,-4.8110,0.1977,2.8777,-4.8110,0.7408,3.2900,-5.3835,0.3805,2.4943,-6.0579,1.0941,3.2013,-5.2705,0.4441,2.7921,-5.3242,-0.3805,2.0703,-5.7748,0.3805,1.4694,-6.1412,-0.3805,1.5677,-6.1935,0.3814,0.3516,-6.0956,0.1977,2.8777,-4.8110,0.3805,0.3032,-8.0610,-0.5767,2.8816,-5.0043,-0.5767,2.8816,-5.0043,-0.7832,3.2976,-5.7639,-0.3805,2.4943,-6.0579,-1.1474,3.2110,-5.8367,-0.5539,2.7971,-5.5733,-0.3805,0.4717,-5.9688,-0.5767,2.8816,-5.0043,-0.3813,0.3034,-8.0584
0.59,-0.2262,2.8860,-4.8905,-0.0458,2.7301,-5.5150,-0.3211,2.6235,-4.5628,0.1924,3.2738,-5.2436,-0.0985,2.3912,-5.3332,-0.0327,2.4445,-5.5608,0.3808,2.0393,-5.8192,0.0000,2.3767,-7.8533,0.0000,2.3511,-7.1833,0.0000,2.3767,-7.8533,0.0000,2.4122,-6.4522,-0.2464,1.0590,-4.8246,-0.3096,1.1185,-4.6060,-0.3527,1.3117,-4.4563,-0.3884,1.5805,-4.3323,-0.3706,2.2311,-4.3924,-0.3981,1.8629,-4.2981,0.0000,2.0536,-8.7662,-0.3805,2.2008,-8.1352,0.3805,2.2008,-8.1352,0.3805,1.3401,-7.9060,-0.3806,1.3404,-7.9048,0.0000,2.5514,-5.8390,-0.3914,3.2742,-5.4123,0.0000,2.2676,-8.5882,0.0000,1.5165,-8.7618,0.0000,1.2580,-8.7201,0.0000,1.7568,-8.8284,0.1658,2.8904,-4.8096,0.1658,2.8904,-4.8096,0.7251,3.2911,-5.3876,0.3805,2.4894,-6.0587,1.0711,3.2099,-5.2493,0.4309,2.7961,-5.3118,-0.3805,2.0721,-5.7658,0.3805,1.4700,-6.1414,-0.3805,1.5974,-6.2158,0.3811,0.3522,-6.0961,0.1658,2.8904,-4.8096,0.3805,0.3039,-8.0604,-0.6009,2.8909,-5.0312,-0.6009,2.8909,-5.0312,-0.7650,3.2920,-5.8184,-0.3805,2.4894,-6.0587,-1.1313,3.2111,-5.8868,-0.5572,2.7968,-5.5975,-0.3805,0.5420,-5.8446,-0.6009,2.8909,-5.0312,-0.3808,0.3040,-8.0580
0.69,-0.2321,2.8851,-4.8939,-0.0470,2.7301,-5.5172,-0.3291,2.6221,-4.5671,0.1886,3.2737,-5.2435,-0.1007,2.3909,-5.3362,-0.0332,2.4444,-5.5633,0.3808,2.0381,-5.8167,0.0000,2.3755,-7.8533,0.0000,2.3446,-7.1835,0.0000,2.3755,-7.8533,0.0000,2.4059,-6.4524,-0.2646,1.0225,-4.7833,-0.3279,1.0999,-4.5704,-0.3681,1.3040,-4.4351,-0.4008,1.5792,-4.3250,-0.3794,2.2295,-4.3975,-0.4087,1.8625,-4.2988,0.0000,2.0286,-8.7330,-0.3805,2.1995,-8.1352,0.3805,2.1995,-8.1352,0.3805,1.3397,-7.9026,-0.3805,1.3401,-7.9014,0.0000,2.5502,-5.8404,-0.3939,3.2736,-5.4165,0.0000,2.2663,-8.5882,0.0000,1.4818,-8.7034,0.0000,1.2199,-8.6979,0.0000,1.7261,-8.7532,0.1593,2.8898,-4.8101,0.1593,2.8898,-4.8101,0.7029,3.2855,-5.4440,0.3805,2.4863,-6.0596,1.0619,3.2006,-5.3475,0.4282,2.7964,-5.3106,-0.3805,2.0657,-5.7716,0.3805,1.4705,-6.1418,-0.3805,1.5920,-6.2228,0.3807,0.3526,-6.0973,0.1593,2.8898,-4.8101,0.3805,0.3041,-8.0609,-0.6058,2.8896,-5.0373,-0.6058,2.8896,-5.0373,-0.7154,3.2852,-5.8652,-0.3805,2.4863,-6.0596,-1.0690,3.2004,-5.9800,-0.5579,2.7962,-5.6034,-0.3805,0.5678,-5.7726,-0.6058,2.8896,-5.0373,-0.3805,0.3044,-8.0593
0.79,-0.2316,2.8698,-4.8906,-0.0469,2.7293,-5.5175,-0.3266,2.5993,-4.5695,0.1865,3.2680,-5.2325,-0.0985,2.3860,-5.3438,-0.0318,2.4449,-5.5698,0.3808,2.0378,-5.8176,0.0000,2.3770,-7.8533,0.0000,2.3406,-7.1838,0.0000,2.3770,-7.8533,0.0000,2.4021,-6.4527,-0.2825,0.9438,-4.7256,-0.3418,1.0494,-4.5240,-0.3744,1.2687,-4.4126,-0.4002,1.5523,-4.3239,-0.3746,2.2029,-4.4083,-0.4046,1.8364,-4.3079,0.0000,2.0096,-8.6922,-0.3805,2.2010,-8.1352,0.3805,2.2010,-8.1352,0.3805,1.3398,-7.9078,-0.3805,1.3400,-7.9072,0.0000,2.5517,-5.8420,-0.3964,3.2687,-5.4044,0.0000,2.2678,-8.5882,0.0000,1.4602,-8.6346,0.0000,1.2003,-8.6671,0.0000,1.7076,-8.6652,0.1600,2.8747,-4.8075,0.1600,2.8747,-4.8075,0.6692,3.2807,-5.5001,0.3805,2.4860,-6.0606,1.0374,3.1815,-5.5013,0.4283,2.7935,-5.3103,-0.3805,2.0681,-5.7686,0.3805,1.4695,-6.1415,-0.3805,1.5956,-6.2211,0.3805,0.3516,-6.0960,0.1600,2.8747,-4.8075,0.3805,0.3035,-8.0615,-0.6056,2.8756,-5.0332,-0.6056,2.8756,-5.0332,-0.6567,3.2823,-5.8911,-0.3805,2.4860,-6.0606,-0.9655,3.1838,-6.0919,-0.5584,2.7947,-5.6013,-0.3805,0.5574,-5.8043,-0.6056,2.8756,-5.0332,-0.3805,0.3037,-8.0608
0.89,-0.2285,2.8460,-4.8840,-0.0464,2.7297,-5.5166,-0.3194,2.5633,-4.5722,0.1843,3.2597,-5.2137,-0.0942,2.3799,-5.3550,-0.0293,2.4474,-5.5791,0.3808,2.0391,-5.8221,0.0000,2.3820,-7.8533,0.0000,2.3402,-7.1841,0.0000,2.3820,-7.8533,0.0000,2.4019,-6.4530,-0.3035,0.8443,-4.6477,-0.3555,0.9839,-4.4657,-0.3772,1.2185,-4.3877,-0.3936,1.5101,-4.3275,-0.3632,2.1610,-4.4251,-0.3935,1.7947,-4.3244,0.0000,2.0091,-8.6773,-0.3805,2.2060,-8.1352,0.3805,2.2060,-8.1352,0.3805,1.3410,-7.9229,-0.3805,1.3407,-7.9242,0.0000,2.5567,-5.8436,-0.3996,3.2617,-5.3821,0.0000,2.2728,-8.5882,0.0000,1.4604,-8.6138,0.0000,1.2023,-8.6579,0.0000,1.7087,-8.6364,0.1635,2.8511,-4.8030,0.1635,2.8511,-4.8030,0.6390,3.2830,-5.5259,0.3805,2.4891,-6.0617,0.9893,3.1744,-5.6304,0.4295,2.7904,-5.3099,-0.3805,2.0728,-5.7674,0.3805,1.4685,-6.1421,-0.3805,1.5904,-6.2092,0.3805,0.3507,-6.0973,0.1635,2.8511,-4.8030,0.3805,0.3024,-8.0603,-0.6033,2.8538,-5.0242,-0.6033,2.8538,-5.0242,-0.6179,3.2873,-5.8885,-0.3805,2.4891,-6.0617,-0.8595,3.1807,-6.1637,-0.5588,2.7938,-5.5950,-0.3805,0.5157,-5.8983,-0.6033,2.8538,-5.0242,-0.3805,0.3022,-8.0624
1.00,-0.2231,2.8168,-4.8764,-0.0455,2.7303,-5.5150,-0.3084,2.5198,-4.5767,0.1826,3.2489,-5.1910,-0.0884,2.3733,-5.3686,-0.0261,2.4512,-5.5901,0.3807,2.0415,-5.8279,0.0000,2.3887,-7.8533,0.0000,2.3415,-7.1844,0.0000,2.3887,-7.8533,0.0000,2.4034,-6.4534,-0.3279,0.7431,-4.5438,-0.3692,0.9180,-4.3920,-0.3777,1.1635,-4.3566,-0.3829,1.4607,-4.3318,-0.3471,2.1111,-4.4467,-0.3774,1.7448,-4.3457,0.0000,2.0200,-8.6889,-0.3805,2.2127,-8.1352,0.3805,2.2127,-8.1352,0.3805,1.3426,-7.9448,-0.3805,1.3424,-7.9459,0.0000,2.5634,-5.8453,-0.4027,3.2523,-5.3543,0.0000,2.2795,-8.5882,0.0000,1.4705,-8.6335,0.0000,1.2090,-8.6196,0.0000,1.7178,-8.6654,0.1695,2.8224,-4.7985,0.1695,2.8224,-4.7985,0.6345,3.2905,-5.5055,0.3805,2.4939,-6.0628,0.9626,3.1853,-5.6688,0.4316,2.7867,-5.3099,-0.3805,2.0662,-5.7854,0.3805,1.4677,-6.1421,-0.3805,1.5473,-6.1837,0.3805,0.3499,-6.0965,0.1695,2.8224,-4.7985,0.3805,0.3014,-8.0604,-0.5993,2.8269,-5.0130,-0.5993,2.8269,-5.0130,-0.6261,3.2978,-5.8571,-0.3805,2.4939,-6.0628,-0.8234,3.1956,-6.1670,-0.5592,2.7925,-5.5863,-0.3805,0.4426,-6.0071,-0.5993,2.8269,-5.0130,-0.3805,0.3012,-8.0621
