time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0010,1.8329,-5.8937,5.8650,1.5354,0.1473,8.4257,0.0000,0.00,True,-1.2623,-1.7101,-1.6980,1.2643,1.7935,3.3739,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3703,0.0281,-1.3508,7.3596,3.0426,1.6454
0.08,-0.0010,1.8329,-5.8937,-5.3499,1.5254,0.1490,8.0759,0.0000,0.00,True,-1.2623,-1.7101,-1.6980,1.2643,1.7935,3.3739,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0255,-1.3510,-3.8497,3.0253,1.6489
0.18,-0.0278,1.8009,-5.8909,5.8580,1.5532,0.1447,8.4340,0.5389,118.81,True,-1.3995,-1.7105,-1.7218,1.4281,1.8001,3.4025,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3710,0.0354,-1.3503,7.3449,3.0710,1.6397
0.18,-0.0278,1.8009,-5.8909,-5.3496,1.5268,0.1489,8.0546,0.4313,151.05,True,-1.3995,-1.7105,-1.7218,1.4281,1.8001,3.4025,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8501,0.0272,-1.3509,-3.8491,3.0264,1.6488
0.28,-0.0484,1.7868,-5.8936,5.8510,1.5710,0.1421,8.4427,0.3469,101.91,True,-1.4871,-1.7198,-1.7528,1.5015,1.7731,3.4076,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3717,0.0427,-1.3499,7.3302,3.0993,1.6340
0.28,-0.0484,1.7868,-5.8936,-5.3493,1.5282,0.1489,8.0423,0.2614,135.05,True,-1.4871,-1.7198,-1.7528,1.5015,1.7731,3.4076,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8502,0.0288,-1.3508,-3.8484,3.0276,1.6487
0.38,-0.0533,1.7442,-5.8826,5.8440,1.5888,0.1394,8.4301,0.6200,151.78,True,-1.5156,-1.7330,-1.7611,1.5169,1.7151,3.3897,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3724,0.0501,-1.3495,7.3155,3.1275,1.6283
0.38,-0.0533,1.7442,-5.8826,-5.3490,1.5296,0.1489,8.0293,0.4570,166.28,True,-1.5156,-1.7330,-1.7611,1.5169,1.7151,3.3897,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8502,0.0305,-1.3508,-3.8478,3.0288,1.6485
0.48,-0.0423,1.6968,-5.8349,5.8370,1.6067,0.1368,8.3806,0.8431,142.69,True,-1.4980,-1.7354,-1.7497,1.5133,1.6574,3.3634,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3731,0.0576,-1.3491,7.3008,3.1557,1.6226
0.48,-0.0423,1.6968,-5.8349,-5.3487,1.5311,0.1488,7.9995,0.6910,131.99,True,-1.4980,-1.7354,-1.7497,1.5133,1.6574,3.3634,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8503,0.0322,-1.3507,-3.8472,3.0300,1.6484
