time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0072,1.8050,-5.8932,5.8700,1.5250,0.1490,8.4337,0.0000,0.00,True,-1.2919,-1.7103,-1.6987,1.3038,1.7944,3.3813,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3699,3.0250,1.6490
0.08,-0.0072,1.8050,-5.8932,-5.3500,1.5250,0.1490,8.0705,0.0000,0.00,True,-1.2919,-1.7103,-1.6987,1.3038,1.7944,3.3813,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.18,-0.0258,1.7998,-5.8911,5.8700,1.5250,0.1490,8.4451,0.1944,0.00,True,-1.3901,-1.7105,-1.7188,1.4182,1.7994,3.4007,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.18,-0.0258,1.7998,-5.8911,-5.3500,1.5250,0.1490,8.0564,0.1942,0.00,True,-1.3901,-1.7105,-1.7188,1.4182,1.7994,3.4007,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.29,-0.0575,1.8182,-5.8884,5.8700,1.5250,0.1490,8.4659,0.3676,0.00,True,-1.5042,-1.7106,-1.7629,1.5110,1.8099,3.4254,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.29,-0.0575,1.8182,-5.8884,-5.3500,1.5250,0.1490,8.0341,0.3676,0.00,True,-1.5042,-1.7106,-1.7629,1.5110,1.8099,3.4254,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.39,-0.0896,1.8401,-5.8875,5.8700,1.5250,0.1490,8.4886,0.3892,0.00,True,-1.5609,-1.7103,-1.7996,1.4851,1.8195,3.4396,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.39,-0.0896,1.8401,-5.8875,-5.3500,1.5250,0.1490,8.0132,0.3892,0.00,True,-1.5609,-1.7103,-1.7996,1.4851,1.8195,3.4396,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.49,-0.1169,1.8630,-5.8876,5.8700,1.5250,0.1490,8.5087,0.3563,0.00,True,-1.5784,-1.7097,-1.8216,1.3909,1.8285,3.4422,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.49,-0.1169,1.8630,-5.8876,-5.3500,1.5250,0.1490,7.9962,0.3563,0.00,True,-1.5784,-1.7097,-1.8216,1.3909,1.8285,3.4422,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.59,-0.1010,1.8031,-5.8914,5.8700,1.5250,0.1490,8.4981,0.6207,0.00,True,-1.5507,-1.7264,-1.7843,1.4431,1.7566,3.4198,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.59,-0.1010,1.8031,-5.8914,-5.3500,1.5250,0.1490,8.0072,0.6207,0.00,True,-1.5507,-1.7264,-1.7843,1.4431,1.7566,3.4198,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.70,-0.0681,1.7310,-5.8634,5.8700,1.5250,0.1490,8.4530,0.8405,0.00,True,-1.4838,-1.7366,-1.7174,1.4892,1.6850,3.3851,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.70,-0.0681,1.7310,-5.8634,-5.3500,1.5250,0.1490,8.0056,0.8405,0.00,True,-1.4838,-1.7366,-1.7174,1.4892,1.6850,3.3851,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.80,-0.0332,1.6672,-5.8093,5.8700,1.5250,0.1490,8.3887,0.9068,0.00,True,-1.3806,-1.7230,-1.7051,1.4334,1.6360,3.3387,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.80,-0.0332,1.6672,-5.8093,-5.3500,1.5250,0.1490,7.9869,0.9068,0.00,True,-1.3806,-1.7230,-1.7051,1.4334,1.6360,3.3387,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
0.90,0.0001,1.6091,-5.7253,5.8700,1.5250,0.1490,8.3048,1.0746,0.00,True,-1.2928,-1.7168,-1.7880,1.3234,1.5928,3.2873,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
0.90,0.0001,1.6091,-5.7253,-5.3500,1.5250,0.1490,7.9459,1.0746,0.00,True,-1.2928,-1.7168,-1.7880,1.3234,1.5928,3.2873,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
1.00,0.0192,1.5727,-5.6098,5.8700,1.5250,0.1490,8.2096,1.2261,0.00,True,-1.2612,-1.7109,-1.8686,1.2593,1.5559,3.2516,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.00,0.0192,1.5727,-5.6098,-5.3500,1.5250,0.1490,7.8737,1.2261,0.00,True,-1.2612,-1.7109,-1.8686,1.2593,1.5559,3.2516,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
1.10,0.0137,1.5750,-5.4898,5.8700,1.5250,0.1490,8.1298,1.2017,0.00,True,-1.2451,-1.7100,-1.8593,1.2514,1.5593,3.2483,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.10,0.0137,1.5750,-5.4898,-5.3500,1.5250,0.1490,7.7825,1.2017,0.00,True,-1.2451,-1.7100,-1.8593,1.2514,1.5593,3.2483,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
1.20,0.0057,1.5769,-5.3736,5.8700,1.5250,0.1490,8.0556,1.1646,0.00,True,-1.2312,-1.7230,-1.8117,1.2447,1.5701,3.2330,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.20,0.0057,1.5769,-5.3736,-5.3500,1.5250,0.1490,7.6932,1.1646,0.00,True,-1.2312,-1.7230,-1.8117,1.2447,1.5701,3.2330,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
1.31,-0.0037,1.5788,-5.2648,5.8700,1.5250,0.1490,7.9882,1.0923,0.00,True,-1.2240,-1.7223,-1.7431,1.2436,1.5839,3.2117,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
1.31,-0.0037,1.5788,-5.2648,-5.3500,1.5250,0.1490,7.6089,1.0923,0.00,True,-1.2240,-1.7223,-1.7431,1.2436,1.5839,3.2117,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8500,0.0250,-1.3510,-3.8500,3.0250,1.6490
1.41,-0.0125,1.5794,-5.1569,5.8700,1.5250,0.1490,7.9221,1.0824,0.00,True,-1.2245,-1.7076,-1.6812,1.2517,1.5963,3.1894,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,-1.3510,7.3700,3.0250,1.6491
