collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
8.09,Elephant,cube (1),-3.775,1.650,3.735
8.19,Elephant,cube (1),-3.775,1.650,3.735
8.29,Elephant,cube (1),-3.775,1.650,3.735
8.40,Elephant,cube (1),-3.775,1.650,3.735
8.50,Elephant,cube (1),-3.775,1.650,3.735
8.60,Elephant,cube (1),-3.775,1.650,3.735
8.71,Elephant,cube (1),-3.775,1.650,3.735
8.81,Elephant,cube (1),-3.775,1.650,3.735
8.91,Elephant,cube (1),-3.775,1.650,3.735
9.01,Elephant,cube (1),-3.775,1.650,3.735
9.11,Elephant,cube (1),-3.775,1.650,3.735
9.13,Elephant,cube (1),-3.775,2.090,3.735
9.14,Elephant,cube (1),-3.775,2.090,3.735
9.14,Elephant,cube (1),-3.775,2.090,3.735
9.15,Elephant,cube (1),-3.775,2.090,3.735
9.15,Elephant,cube (1),-3.775,2.090,3.735
9.15,Elephant,cube (1),-3.775,2.090,3.735
9.16,Elephant,cube (1),-3.775,2.090,3.735
9.16,Elephant,cube (1),-3.775,2.090,3.735
9.16,Elephant,cube (1),-3.775,2.090,3.735
9.16,Elephant,cube (1),-3.775,2.090,3.735
9.17,Elephant,cube (1),-3.775,2.090,3.735
9.17,Elephant,cube (1),-3.775,2.090,3.735
9.18,Elephant,cube (1),-3.775,2.090,3.735
9.18,Elephant,cube (1),-3.775,2.090,3.735
9.18,Elephant,cube (1),-3.775,2.090,3.735
9.19,Elephant,cube (1),-3.775,2.090,3.735
9.19,Elephant,cube (1),-3.775,2.090,3.735
9.19,Elephant,cube (1),-3.775,2.090,3.735
9.20,Elephant,cube (1),-3.775,2.090,3.735
9.20,Elephant,cube (1),-3.775,2.090,3.735
9.20,Elephant,cube (1),-3.775,2.090,3.735
9.21,Elephant,cube (1),-3.775,2.090,3.735
9.21,Elephant,cube (1),-3.775,2.090,3.735
9.22,Elephant,cube (1),-3.775,1.650,3.735
9.22,Elephant,cube (1),-3.775,2.090,3.735
9.24,Elephant,cube (1),-3.775,2.090,3.735
9.25,Elephant,cube (1),-3.775,2.090,3.735
9.25,Elephant,cube (1),-3.775,2.090,3.735
9.25,Elephant,cube (1),-3.775,2.090,3.735
9.26,Elephant,cube (1),-3.775,2.090,3.735
9.26,Elephant,cube (1),-3.775,2.090,3.735
9.26,Elephant,cube (1),-3.775,2.090,3.735
9.27,Elephant,cube (1),-3.775,2.090,3.735
9.27,Elephant,cube (1),-3.775,2.090,3.735
9.28,Elephant,cube (1),-3.775,2.090,3.735
9.28,Elephant,cube (1),-3.775,2.090,3.735
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.29,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.30,Elephant,cube (1),-3.775,2.090,3.735
9.31,Elephant,cube (1),-3.775,2.090,3.735
9.32,Elephant,cube (1),-3.775,1.650,3.735
9.32,Elephant,cube (1),-3.775,2.090,3.735
9.33,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.34,Elephant,cube (1),-3.775,2.090,3.735
9.35,Elephant,cube (1),-3.775,2.090,3.735
9.35,Elephant,cube (1),-3.775,2.090,3.735
9.35,Elephant,cube (1),-3.775,2.090,3.735
9.36,Elephant,cube (1),-3.775,2.090,3.735
9.36,Elephant,cube (1),-3.775,2.090,3.735
9.36,Elephant,cube (1),-3.775,2.090,3.735
9.37,Elephant,cube (1),-3.775,2.090,3.735
9.37,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.38,Elephant,cube (1),-3.775,2.090,3.735
9.39,Elephant,cube (1),-3.775,2.090,3.735
9.39,Elephant,cube (1),-3.775,2.090,3.735
9.39,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.40,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.41,Elephant,cube (1),-3.775,2.090,3.735
9.42,Elephant,cube (1),-3.775,1.650,3.735
9.42,Elephant,cube (1),-3.775,2.090,3.735
9.43,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.44,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.45,Elephant,cube (1),-3.775,2.090,3.735
9.46,Elephant,cube (1),-3.775,2.090,3.735
9.46,Elephant,cube (1),-3.775,2.090,3.735
9.47,Elephant,cube (1),-3.775,2.090,3.735
9.47,Elephant,cube (1),-3.775,2.090,3.735
9.47,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.48,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.49,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.50,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.51,Elephant,cube (1),-3.775,2.090,3.735
9.52,Elephant,cube (1),-3.775,1.650,3.735
9.52,Elephant,cube (1),-3.775,2.090,3.735
9.53,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.54,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.55,Elephant,cube (1),-3.775,2.090,3.735
9.56,Elephant,cube (1),-3.775,2.090,3.735
9.56,Elephant,cube (1),-3.775,2.090,3.735
9.56,Elephant,cube (1),-3.775,2.090,3.735
9.57,Elephant,cube (1),-3.775,2.090,3.735
9.57,Elephant,cube (1),-3.775,2.090,3.735
9.57,Elephant,cube (1),-3.775,2.090,3.735
9.58,Elephant,cube (1),-3.775,2.090,3.735
9.58,Elephant,cube (1),-3.775,2.090,3.735
9.58,Elephant,cube (1),-3.775,2.090,3.735
9.59,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.60,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.61,Elephant,cube (1),-3.775,2.090,3.735
9.62,Elephant,cube (1),-3.775,2.090,3.735
9.62,Elephant,cube (1),-3.775,1.650,3.735
9.62,Elephant,cube (1),-3.775,2.090,3.735
