collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
9.19,Elephant,cube,4.295,1.650,3.735
9.29,Elephant,cube,4.295,1.650,3.735
9.39,Elephant,cube,4.295,1.650,3.735
9.49,Elephant,cube,4.295,1.650,3.735
9.59,Elephant,cube,4.295,1.650,3.735
9.70,Elephant,cube,4.295,1.650,3.735
9.73,Elephant,cube,4.295,2.090,3.735
9.73,Elephant,cube,4.295,2.090,3.735
9.73,Elephant,cube,4.295,2.090,3.735
9.74,Elephant,cube,4.295,2.090,3.735
9.74,Elephant,cube,4.295,2.090,3.735
9.75,Elephant,cube,4.295,2.090,3.735
9.75,Elephant,cube,4.295,2.090,3.735
9.76,Elephant,cube,4.295,2.090,3.735
9.76,Elephant,cube,4.295,2.090,3.735
9.76,Elephant,cube,4.295,2.090,3.735
9.77,Elephant,cube,4.295,2.090,3.735
9.77,Elephant,cube,4.295,2.090,3.735
9.77,Elephant,cube,4.295,2.090,3.735
9.78,Elephant,cube,4.295,2.090,3.735
9.78,Elephant,cube,4.295,2.090,3.735
9.78,Elephant,cube,4.295,2.090,3.735
9.79,Elephant,cube,4.295,2.090,3.735
9.79,Elephant,cube,4.295,2.090,3.735
9.79,Elephant,cube,4.295,2.090,3.735
9.79,Elephant,cube,4.295,2.090,3.735
9.80,Elephant,cube,4.295,1.650,3.735
9.80,Elephant,cube,4.295,2.090,3.735
9.82,Elephant,cube,4.295,2.090,3.735
9.83,Elephant,cube,4.295,2.090,3.735
9.83,Elephant,cube,4.295,2.090,3.735
9.84,Elephant,cube,4.295,2.090,3.735
9.84,Elephant,cube,4.295,2.090,3.735
9.84,Elephant,cube,4.295,2.090,3.735
9.84,Elephant,cube,4.295,2.090,3.735
9.85,Elephant,cube,4.295,2.090,3.735
9.86,Elephant,cube,4.295,2.090,3.735
9.87,Elephant,cube,4.295,2.090,3.735
9.87,Elephant,cube,4.295,2.090,3.735
9.87,Elephant,cube,4.295,2.090,3.735
9.87,Elephant,cube,4.295,2.090,3.735
9.88,Elephant,cube,4.295,2.090,3.735
9.88,Elephant,cube,4.295,2.090,3.735
9.88,Elephant,cube,4.295,2.090,3.735
9.89,Elephant,cube,4.295,2.090,3.735
9.89,Elephant,cube,4.295,2.090,3.735
9.89,Elephant,cube,4.295,2.090,3.735
9.89,Elephant,cube,4.295,2.090,3.735
9.90,Elephant,cube,4.295,2.090,3.735
9.90,Elephant,cube,4.295,1.650,3.735
9.90,Elephant,cube,4.295,2.090,3.735
9.93,Elephant,cube,4.295,2.090,3.735
9.94,Elephant,cube,4.295,2.090,3.735
9.95,Elephant,cube,4.295,2.090,3.735
9.95,Elephant,cube,4.295,2.090,3.735
9.95,Elephant,cube,4.295,2.090,3.735
9.96,Elephant,cube,4.295,2.090,3.735
9.96,Elephant,cube,4.295,2.090,3.735
9.97,Elephant,cube,4.295,2.090,3.735
9.97,Elephant,cube,4.295,2.090,3.735
9.97,Elephant,cube,4.295,2.090,3.735
9.98,Elephant,cube,4.295,2.090,3.735
9.98,Elephant,cube,4.295,2.090,3.735
9.99,Elephant,cube,4.295,2.090,3.735
9.99,Elephant,cube,4.295,2.090,3.735
10.00,Elephant,cube,4.295,2.090,3.735
10.02,Elephant,cube,4.295,1.650,3.735
10.02,Elephant,cube,4.295,2.090,3.735
10.04,Elephant,cube,4.295,2.090,3.735
10.05,Elephant,cube,4.295,2.090,3.735
10.05,Elephant,cube,4.295,2.090,3.735
10.06,Elephant,cube,4.295,2.090,3.735
10.06,Elephant,cube,4.295,2.090,3.735
10.06,Elephant,cube,4.295,2.090,3.735
10.07,Elephant,cube,4.295,2.090,3.735
10.07,Elephant,cube,4.295,2.090,3.735
10.07,Elephant,cube,4.295,2.090,3.735
10.08,Elephant,cube,4.295,2.090,3.735
10.08,Elephant,cube,4.295,2.090,3.735
10.08,Elephant,cube,4.295,2.090,3.735
10.09,Elephant,cube,4.295,2.090,3.735
10.09,Elephant,cube,4.295,2.090,3.735
10.09,Elephant,cube,4.295,2.090,3.735
10.10,Elephant,cube,4.295,2.090,3.735
10.10,Elephant,cube,4.295,2.090,3.735
10.10,Elephant,cube,4.295,2.090,3.735
10.11,Elephant,cube,4.295,2.090,3.735
10.11,Elephant,cube,4.295,2.090,3.735
10.11,Elephant,cube,4.295,2.090,3.735
10.11,Elephant,cube,4.295,2.090,3.735
10.12,Elephant,cube,4.295,1.650,3.735
10.12,Elephant,cube,4.295,2.090,3.735
10.15,Elephant,cube,4.295,2.090,3.735
10.15,Elephant,cube,4.295,2.090,3.735
10.17,Elephant,cube,4.295,2.090,3.735
10.18,Elephant,cube,4.295,2.090,3.735
10.18,Elephant,cube,4.295,2.090,3.735
10.18,Elephant,cube,4.295,2.090,3.735
10.19,Elephant,cube,4.295,2.090,3.735
10.19,Elephant,cube,4.295,2.090,3.735
10.19,Elephant,cube,4.295,2.090,3.735
10.20,Elephant,cube,4.295,2.090,3.735
10.20,Elephant,cube,4.295,2.090,3.735
10.21,Elephant,cube,4.295,2.090,3.735
10.21,Elephant,cube,4.295,2.090,3.735
10.22,Elephant,cube,4.295,2.090,3.735
10.22,Elephant,cube,4.295,1.650,3.735
10.22,Elephant,cube,4.295,2.090,3.735
10.24,Elephant,cube,4.295,2.090,3.735
10.25,Elephant,cube,4.295,2.090,3.735
10.25,Elephant,cube,4.295,2.090,3.735
10.25,Elephant,cube,4.295,2.090,3.735
10.26,Elephant,cube,4.295,2.090,3.735
10.26,Elephant,cube,4.295,2.090,3.735
10.26,Elephant,cube,4.295,2.090,3.735
10.27,Elephant,cube,4.295,2.090,3.735
10.27,Elephant,cube,4.295,2.090,3.735
10.27,Elephant,cube,4.295,2.090,3.735
10.28,Elephant,cube,4.295,2.090,3.735
10.28,Elephant,cube,4.295,2.090,3.735
10.28,Elephant,cube,4.295,2.090,3.735
10.29,Elephant,cube,4.295,2.090,3.735
10.29,Elephant,cube,4.295,2.090,3.735
10.30,Elephant,cube,4.295,2.090,3.735
10.30,Elephant,cube,4.295,2.090,3.735
10.30,Elephant,cube,4.295,2.090,3.735
10.32,Elephant,cube,4.295,1.650,3.735
10.32,Elephant,cube,4.295,2.090,3.735
10.35,Elephant,cube,4.295,2.090,3.735
10.36,Elephant,cube,4.295,2.090,3.735
10.36,Elephant,cube,4.295,2.090,3.735
10.37,Elephant,cube,4.295,2.090,3.735
10.37,Elephant,cube,4.295,2.090,3.735
10.37,Elephant,cube,4.295,2.090,3.735
10.38,Elephant,cube,4.295,2.090,3.735
