collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
5.62,Elephant,cube (1),-3.758,1.683,-1.194
5.72,Elephant,cube (1),-3.758,1.683,-1.100
5.83,Elephant,cube (1),-3.757,1.682,-1.002
5.93,Elephant,cube (1),-3.757,1.681,-0.909
6.03,Elephant,cube (1),-3.757,1.680,-0.817
6.13,Elephant,cube (1),-3.757,1.680,-0.731
6.23,Elephant,cube (1),-3.756,1.679,-0.640
6.34,Elephant,cube (1),-3.756,1.678,-0.555
6.44,Elephant,cube (1),-3.756,1.677,-0.470
6.45,Elephant,cube (1),-3.750,2.116,-0.447
6.46,Elephant,cube (1),-3.750,2.148,-0.410
6.46,Elephant,cube (1),-3.750,2.116,-0.440
6.46,Elephant,cube (1),-3.750,2.116,-0.437
6.47,Elephant,cube (1),-3.750,2.116,-0.435
6.47,Elephant,cube (1),-3.750,2.116,-0.431
6.47,Elephant,cube (1),-3.750,2.116,-0.428
6.48,Elephant,cube (1),-3.750,2.116,-0.426
6.48,Elephant,cube (1),-3.750,2.139,-0.400
6.49,Elephant,cube (1),-3.750,2.137,-0.399
6.49,Elephant,cube (1),-3.750,2.116,-0.417
6.49,Elephant,cube (1),-3.750,2.134,-0.396
6.49,Elephant,cube (1),-3.750,2.133,-0.395
6.50,Elephant,cube (1),-3.750,2.132,-0.394
6.50,Elephant,cube (1),-3.750,2.131,-0.392
6.51,Elephant,cube (1),-3.750,2.129,-0.391
6.51,Elephant,cube (1),-3.750,2.128,-0.389
6.51,Elephant,cube (1),-3.750,2.127,-0.388
6.51,Elephant,cube (1),-3.750,2.126,-0.387
6.52,Elephant,cube (1),-3.750,2.116,-0.393
6.52,Elephant,cube (1),-3.750,2.123,-0.384
6.52,Elephant,cube (1),-3.750,2.122,-0.383
6.53,Elephant,cube (1),-3.750,2.120,-0.381
6.53,Elephant,cube (1),-3.750,2.116,-0.383
6.54,Elephant,cube (1),-3.750,2.117,-0.378
6.54,Elephant,cube (1),-3.750,2.116,-0.377
6.54,Elephant,cube (1),-3.756,1.677,-0.385
6.54,Elephant,cube (1),-3.750,2.115,-0.376
6.55,Elephant,cube (1),-3.750,2.114,-0.374
6.56,Elephant,cube (1),-3.750,2.108,-0.369
6.56,Elephant,cube (1),-3.750,2.107,-0.368
6.57,Elephant,cube (1),-3.750,2.106,-0.366
6.59,Elephant,cube (1),-3.750,2.117,-0.351
6.59,Elephant,cube (1),-3.750,2.117,-0.333
6.60,Elephant,cube (1),-3.750,2.117,-0.329
6.60,Elephant,cube (1),-3.750,2.117,-0.326
6.61,Elephant,cube (1),-3.750,2.117,-0.323
6.61,Elephant,cube (1),-3.750,2.117,-0.320
6.61,Elephant,cube (1),-3.750,2.117,-0.318
6.61,Elephant,cube (1),-3.750,2.117,-0.315
6.62,Elephant,cube (1),-3.750,2.117,-0.313
6.62,Elephant,cube (1),-3.749,2.117,-0.310
6.62,Elephant,cube (1),-3.749,2.117,-0.308
6.63,Elephant,cube (1),-3.749,2.117,-0.305
6.64,Elephant,cube (1),-3.749,2.117,-0.300
6.64,Elephant,cube (1),-3.755,1.677,-0.306
6.64,Elephant,cube (1),-3.750,2.076,-0.335
6.65,Elephant,cube (1),-3.749,2.117,-0.292
6.66,Elephant,cube (1),-3.749,2.117,-0.282
6.66,Elephant,cube (1),-3.749,2.117,-0.279
6.66,Elephant,cube (1),-3.749,2.117,-0.277
6.67,Elephant,cube (1),-3.749,2.117,-0.274
6.67,Elephant,cube (1),-3.749,2.117,-0.272
6.67,Elephant,cube (1),-3.749,2.117,-0.269
6.68,Elephant,cube (1),-3.749,2.117,-0.266
