time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0010,1.8329,-5.8937,5.8700,1.5249,5.3101,12.6526,0.0000,0.00,True,-1.2623,-1.7101,-1.6980,1.2643,1.7935,3.3739,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.08,-0.0010,1.8329,-5.8937,-5.3467,1.5278,5.3095,12.4171,0.0000,0.00,True,-1.2623,-1.7101,-1.6980,1.2643,1.7935,3.3739,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.18,-0.0178,1.7487,-5.8926,5.8700,1.5250,5.3100,12.6576,0.8596,0.00,True,-1.3833,-1.7268,-1.7128,1.4038,1.7413,3.3694,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.18,-0.0178,1.7487,-5.8926,-5.3499,1.5250,5.3098,12.4087,0.8260,37.37,True,-1.3833,-1.7268,-1.7128,1.4038,1.7413,3.3694,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0249,3.8098,-3.8499,3.0251,6.8098
0.29,-0.0236,1.7052,-5.8635,5.8700,1.5250,5.3100,12.6339,0.5266,0.00,True,-1.4436,-1.7375,-1.7280,1.4649,1.6842,3.3547,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.29,-0.0236,1.7052,-5.8635,-5.3498,1.5250,5.3099,12.3792,0.5264,0.00,True,-1.4436,-1.7375,-1.7280,1.4649,1.6842,3.3547,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.39,-0.0178,1.6638,-5.8027,5.8700,1.5250,5.3100,12.5769,0.7376,0.00,True,-1.4391,-1.7261,-1.7304,1.4664,1.6422,3.3336,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.39,-0.0178,1.6638,-5.8027,-5.3498,1.5250,5.3099,12.3264,0.7377,0.00,True,-1.4391,-1.7261,-1.7304,1.4664,1.6422,3.3336,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.49,0.0009,1.6159,-5.7179,5.8700,1.5250,5.3100,12.4928,0.9916,0.00,True,-1.3659,-1.7170,-1.7758,1.3899,1.5954,3.2969,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.49,0.0009,1.6159,-5.7179,-5.3498,1.5250,5.3099,12.2576,0.9916,0.00,True,-1.3659,-1.7170,-1.7758,1.3899,1.5954,3.2969,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
